estimator,cond,composition,shape_3_1
NEW,steady_r10_s1,1.1973118044568785,1.5210319237684973
NEW,steady_r10_s2,,1.5594687075053768
NEW,steady_r8_s1,4.480058638454977,0.16923702993110087
NEW,steady_r8_s2,,1.4898635652859347
OLD,bursty_r10_s1,1.1378769644480518,0.9096079841250834
OLD,bursty_r10_s2,7.5910706217287,8.048210224009216
OLD,bursty_r2_s1,,0.9259016861715319
OLD,bursty_r2_s2,0.7767079620840566,0.6256417504768549
OLD,bursty_r4_s1,0.9965424221529712,0.7844057830151172
OLD,bursty_r4_s2,1.3559735680508285,1.2954881630149753
OLD,bursty_r6_s1,,0.9024132714149725
OLD,bursty_r6_s2,0.5717766549196225,1.6722042383301472
OLD,bursty_r8_s1,1.2527739932193946,0.810921258465705
OLD,bursty_r8_s2,10.556605271191668,10.643478466987043
OLD,steady_r10_s1,2.5903287994652473,1.7198675334668496
OLD,steady_r10_s2,,1.5193168653569626
OLD,steady_r2_s1,1.0119911473940544,1.1433009588506036
OLD,steady_r2_s2,,1.3207275759839265
OLD,steady_r4_s1,1.193287016432055,1.1673413372232135
OLD,steady_r4_s2,1.0618562463171035,1.094759725985777
OLD,steady_r6_s1,0.969454990912587,1.0795012632854655
OLD,steady_r6_s2,1.1200048485058651,1.1640785817836317
OLD,steady_r8_s1,1.306057685401626,0.8154566656357726
OLD,steady_r8_s2,1.3514960701838439,1.1846957366211368
