estimator,workload,rate,seed,cond,residency,coloc_seconds,n_requests,slo_pass,attainment,qwen7b_tpot_p50,qwen7b_tpot_p95,qwen7b_tpot_p99,qwen7b_itl_p99,llama8b_tpot_p50,llama8b_tpot_p95,llama8b_itl_p99,agg_tpot_p50,ttft_p95,ttft_p99
OLD,bursty,2,1,bursty_r2_s1,LARGE_COLOCATED,150.6,298,287,0.9631,0.030580332723714538,0.03464693076470319,0.04571346853908743,0.09530857563018799,0.03134402998012903,0.033848741063017475,0.09393835067749023,0.02897041631500106,0.19924933910369866,2.7025490069389284
OLD,bursty,2,1,bursty_r2_s1,LARGE_SEPARATED,150.6,591,525,0.8883,0.017259393419538225,0.03249807227711651,0.04223452011744178,0.07639298439025799,0.019924240861027863,0.031169758449133743,0.08036535501480102,0.01816134876675076,3.882941961288452,18.961633586883547
OLD,bursty,2,2,bursty_r2_s2,LARGE_COLOCATED,90.2,179,174,0.9721,0.01638700970974953,0.02902940795535132,0.03489604238479857,0.06721615791320801,0.016259573488281533,0.029443977840485122,0.07371933937072754,0.014842811521593032,0.18404443264007547,2.396320104598999
OLD,bursty,2,2,bursty_r2_s2,LARGE_SEPARATED,90.2,649,598,0.9214,0.018439383733840214,0.03068634420633316,0.045967926532030114,0.0980367660522461,0.018227153881029648,0.03173553262826903,0.0907281732559204,0.01823462149947162,1.406697416305543,6.3942866706847905
OLD,bursty,4,1,bursty_r4_s1,LARGE_COLOCATED,181.0,691,512,0.741,0.03449327343453963,0.049065749609717435,0.05966200679540634,0.1563229465484619,0.03673431065377839,0.055108308241419164,0.1592184019088745,0.027127830605757863,0.25834882259368896,2.8723441600799724
OLD,bursty,4,1,bursty_r4_s1,LARGE_SEPARATED,181.0,1051,918,0.8735,0.02551177591085434,0.03704100812474887,0.05432951368391516,0.1264026165008545,0.01834421922385944,0.03214805234562267,0.09107953310012817,0.02170248878629584,2.1481966972351074,7.924817204475403
OLD,bursty,4,2,bursty_r4_s2,LARGE_COLOCATED,291.5,1104,979,0.8868,0.018106904896822842,0.04966404189749092,0.05606130313928115,0.10618677139282226,0.018314360311279847,0.04580864449357657,0.10767912864685059,0.01772811415599956,0.4187583565711971,4.381554257869736
OLD,bursty,4,2,bursty_r4_s2,LARGE_SEPARATED,291.5,465,423,0.9097,0.030020127118347898,0.036626113567155665,0.04374091893434533,0.1327322769165039,0.02207423902693249,0.03362000106196655,0.11767315864562988,0.02743128550949917,0.3109724044799809,9.459906024932875
OLD,bursty,6,1,bursty_r6_s1,LARGE_COLOCATED,35.1,216,175,0.8102,0.01882650123702155,0.032060474157333374,0.03223853707313538,0.08616175174713135,0.021301552653312683,0.09347682577190972,0.20010262966156006,0.019467214416728648,1.319953203201294,7.618512105941768
OLD,bursty,6,1,bursty_r6_s1,LARGE_SEPARATED,35.1,2368,1668,0.7044,0.021370947981874146,0.04280983476589123,0.05258665331478774,0.1442890167236328,0.029704183340072632,0.06469399831865136,0.15905261039733887,0.024216634113443936,48.44890452623368,55.31161896705627
OLD,bursty,6,2,bursty_r6_s2,LARGE_COLOCATED,210.9,1265,1159,0.9162,0.021631581442696706,0.05321504306048157,0.1918246760964383,0.16158838748931886,0.019786862277260644,0.03519133326186929,0.11041402339935302,0.01945191138499492,0.3241457462310779,5.379503469467145
OLD,bursty,6,2,bursty_r6_s2,LARGE_SEPARATED,210.9,1257,978,0.778,0.03557039442516509,0.09306963235139824,0.2035275498558494,0.2141568899154663,0.01994433348206268,0.03289348537507265,0.1063978910446167,0.022567045120965867,6.696634244918826,12.957351837158205
OLD,bursty,8,1,bursty_r8_s1,LARGE_COLOCATED,61.7,476,136,0.2857,0.03809863328933716,0.05874188229189082,0.07417088790943749,0.21216368436813354,0.050226930528879166,0.11854835170859711,0.3079783368110657,0.04249647643091609,9.845112562179565,15.599809885025024
