estimator,workload,rate,seed,cond,cycle,timestamp,replay_match,n_valid,global_best_peak_kvpr,best_separated_peak_kvpr,best_colocated_peak_kvpr,optimum_is_colocated,separated_penalty,colocated_penalty,plan_colocated,residency_colocated,plan_shape,residency_shape,rank1_model,wrate_model_3,wrate_model_4,wrate_model_5,wrate_model_6
OLD,bursty,2,1,bursty_r2_s1,1,1787589176.5197194,True,14,0.0003764869446019669,0.0003764869446019669,0.0006560606105247041,False,0.0,0.742585287302089,False,False,2+2,2+2,model_5,4.0866264912914075e-09,0.009315701003431038,0.02204134134008621,0.01068736982011299
OLD,bursty,2,1,bursty_r2_s1,2,1787589181.5263846,False,14,0.004018438888583129,0.004018438888583129,0.0043095398009447665,False,0.0,0.07244129385386211,False,False,2+2,2+2,model_4,-3.824859483846975e-08,0.2376137065792454,0.21498876174306766,3.8248594902423605e-08
OLD,bursty,2,1,bursty_r2_s1,3,1787589186.5372047,True,14,0.005858017149406909,0.005858017149406909,0.007535254054202568,False,0.0,0.28631478229207125,False,True,3+1,1+3,model_5,6.410055591387753e-08,0.21657019067668304,0.37590850281985155,5.968919491727842e-07
OLD,bursty,2,1,bursty_r2_s1,4,1787589191.5441415,True,14,0.017826838102600485,0.017826838102600485,0.022930927260442848,False,0.0,0.286314888174017,False,True,3+1,1+3,model_5,1.0090455882995352e-07,0.34091622323706894,1.1439468083221462,1.9105962740240123e-06
OLD,bursty,2,1,bursty_r2_s1,5,1787589196.5699031,False,14,0.010127148711448807,0.010127148711448807,0.01032682472903221,False,0.0,0.019716903866304224,False,True,2+2,1+3,model_4,2.0216887126038764e-07,0.5988263026259697,0.5151706971373526,7.037004221832621e-07
OLD,bursty,2,1,bursty_r2_s1,6,1787589201.5772471,True,14,0.0077790183554823636,0.00965806573885331,0.0077790183554823636,True,0.24155327799768772,0.0,True,True,1+3,1+3,model_4,1.1126912077889709e-07,0.5710893397380294,0.28353816406355564,3.873006111931865e-07
OLD,bursty,2,1,bursty_r2_s1,7,1787589206.5848277,False,14,0.010489899014825482,0.01132410963178908,0.010489899014825482,True,0.07952513325291312,0.0,True,True,1+3,1+3,model_4,2.053613865514884e-07,0.6696036193716165,0.5233059270557142,7.148127866632437e-07
OLD,bursty,2,1,bursty_r2_s1,8,1787589211.592747,False,14,0.011694573060165778,0.011694573060165778,0.01211038245803991,False,0.0,0.035555756993854416,False,True,2+2,1+3,model_4,2.3708568865761173e-07,0.6915093298339979,0.6041464184018425,8.252373281947278e-07
OLD,bursty,2,1,bursty_r2_s1,9,1787589216.6108265,True,14,0.012622389190770548,0.012622389190770548,0.013633492674982041,False,0.0,0.08010396993231748,False,False,3+1,2+2,model_5,0.05411371154751409,0.6232478888867652,0.6801296815554532,5.331015611176326e-07
OLD,bursty,2,1,bursty_r2_s1,10,1787589221.614698,True,14,0.022559328509940257,0.022559328509940257,0.034126189442036305,False,0.0,0.512730728088798,False,False,3+1,2+2,model_5,0.23140685928108948,0.4500747408313007,1.4476303480353265,0.2548132666687581
OLD,bursty,2,1,bursty_r2_s1,11,1787589226.622913,True,14,0.02980315615125055,0.02980315615125055,0.043047554232817274,False,0.0,0.4443958221857984,False,False,3+1,2+2,model_5,0.08033074294137943,0.3511382837900523,1.9124662018541736,0.2350350290337539
OLD,bursty,2,1,bursty_r2_s1,12,1787589231.6310604,True,14,0.022914908681713513,0.022914908681713513,0.033997691277334145,False,0.0,0.483649433194769,False,False,3+1,2+2,model_5,0.086716635823624,0.2670299897755086,1.4704478998783155,0.22558536302338125
OLD,bursty,2,1,bursty_r2_s1,13,1787589236.639385,True,14,0.017146582607153616,0.017146582607153616,0.031126797758242772,False,0.0,0.8153353628178107,False,False,3+1,2+2,model_5,0.11909496729004156,0.13366908921692722,1.1002948663242813,0.4525189390293063
OLD,bursty,2,1,bursty_r2_s1,14,1787589241.647845,True,14,0.028851986581166316,0.028851986581166316,0.047983705388498006,False,0.0,0.6630988390872289,False,False,3+1,2+2,model_5,0.11909496152068488,0.07404893455582995,1.8514297248519909,0.5423198904468685
OLD,bursty,2,1,bursty_r2_s1,15,1787589246.676737,True,14,0.019810423657063463,0.019810423657063463,0.03355389709067131,False,0.0,0.6937495972584903,False,False,3+1,3+1,model_5,0.1725359717187945,2.615860061894182e-07,1.2712333383844143,0.4026604887443486
OLD,bursty,2,1,bursty_r2_s1,16,1787589251.6842747,True,14,0.02130788049875041,0.03131396889854452,0.02130788049875041,True,0.46959566909439504,0.0,True,False,1+3,3+1,model_3,1.5553662754162632,1.1707123666604424e-06,0.6475094440649494,0.29111816797427925
OLD,bursty,2,1,bursty_r2_s1,17,1787589256.6926873,True,14,0.01576401451570565,0.025118921432486844,0.01576401451570565,True,0.5934342998391,0.0,True,False,1+3,3+1,model_3,1.154714063275439,9.923544717349575e-07,0.3373382573196273,0.326468274553097
OLD,bursty,2,1,bursty_r2_s1,18,1787589261.7262154,True,14,0.025870616912044564,0.03699562233994614,0.025870616912044564,True,0.43002474450936323,0.0,True,False,1+3,3+1,model_3,1.8950226888072643,2.526303661098961e-06,0.2570097724244074,0.31243054463962927
OLD,bursty,2,1,bursty_r2_s1,19,1787589266.7358692,True,14,0.036393791723276475,0.04893530623240841,0.036393791723276475,True,0.3446058768619793,0.0,True,False,1+3,3+1,model_3,2.665845243730002,3.4530615133088194e-06,0.20904591816915924,0.21971301889234657
OLD,bursty,2,1,bursty_r2_s1,35,1787589346.9406736,True,14,0.017141336432869678,0.017406913709410082,0.017141336432869678,True,0.01549338218641705,0.0,True,False,2+2,2+2,model_6,0.6284107233390642,0.305319024491401,0.13115828741321156,0.7239667422124862
OLD,bursty,2,1,bursty_r2_s1,36,1787589351.951881,True,14,0.014041030268420808,0.016789184235866117,0.014041030268420808,True,0.19572309972339327,0.0,True,False,2+2,2+2,model_6,0.4977765543031739,0.4487863377765382,0.13115818702909676,0.5439725542954279
OLD,bursty,2,1,bursty_r2_s1,37,1787589356.9847126,True,14,0.013909494420080363,0.013909494420080363,0.017672322453299083,False,0.0,0.2705222720235277,False,False,3+1,2+2,model_6,0.16614966640481452,0.4016625348339986,0.16012706240582222,0.7214871174812192
OLD,bursty,2,1,bursty_r2_s1,38,1787589361.997098,True,14,0.018546953944327205,0.018546953944327205,0.02907137350084154,False,0.0,0.5674473332982717,False,False,2+2,2+2,model_6,2.5471802989259913e-07,0.4707063350933988,0.611211386498829,0.8390640470138557
OLD,bursty,2,1,bursty_r2_s1,39,1787589367.0068662,True,14,0.010399708099349494,0.010399708099349494,0.015642772328164842,False,0.0,0.5041549415356478,False,False,2+2,2+2,model_6,-2.1475035428383232e-07,0.4118297453544467,0.19482666441756769,0.5855399191878745
