Real trace file: /root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r20_s42.pkl
[PRISM_DIRECT] 8498 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed42
Generated 8498 requests
Request model_5#47 arrives at 1778792.573791765, sleeping for 0 seconds
Request model_1#7 arrives at 1778792.57455996, sleeping for 0 seconds
Request model_1#8 arrives at 1778792.575181024, sleeping for 0 seconds
Request model_5#48 arrives at 1778792.575799189, sleeping for 0.07762076891958714 seconds
Request model_5#49 arrives at 1778792.653786561, sleeping for 0.050967562245205045 seconds
Request model_5#50 arrives at 1778792.705580785, sleeping for 0.1212332674767822 seconds
Request model_5#51 arrives at 1778792.827156755, sleeping for 0.15116368816234171 seconds
Request model_1#9 arrives at 1778792.978916332, sleeping for 0.026839594589546323 seconds
Request model_1#10 arrives at 1778793.006636751, sleeping for 0.03743686177767813 seconds
Request model_3#8 arrives at 1778793.044346179, sleeping for 0.006360578583553433 seconds
Request model_3#9 arrives at 1778793.051047845, sleeping for 0.02279164455831051 seconds
Request model_2#5 arrives at 1778793.075850574, sleeping for 0.02971178782172501 seconds
Request model_5#52 arrives at 1778793.106566224, sleeping for 0.010253559099510312 seconds
Request model_5#53 arrives at 1778793.117261497, sleeping for 0.014917341293767095 seconds
Request model_5#54 arrives at 1778793.132947174, sleeping for 0.0928706475533545 seconds
Request model_6#12 arrives at 1778793.226677364, sleeping for 0.1256007885094732 seconds
Request model_5#55 arrives at 1778793.352713895, sleeping for 0.056470317067578435 seconds
Request model_5#56 arrives at 1778793.409728534, sleeping for 0.02193121425807476 seconds
Request model_5#57 arrives at 1778793.43252017, sleeping for 0.042729107895866036 seconds
Request model_5#58 arrives at 1778793.476223389, sleeping for 0.031233712332323194 seconds
Request model_5#59 arrives at 1778793.507944635, sleeping for 0.0031983191147446632 seconds
Request model_1#11 arrives at 1778793.512112944, sleeping for 0.0011915648356080055 seconds
Request model_5#60 arrives at 1778793.514090637, sleeping for 0.06720216362737119 seconds
Request model_5#61 arrives at 1778793.582792336, sleeping for 0.09990320610813797 seconds
Request model_5#62 arrives at 1778793.683798836, sleeping for 0.05252776783891022 seconds
Request model_6#13 arrives at 1778793.737858166, sleeping for 0.02460744744166732 seconds
Request model_6#14 arrives at 1778793.762808496, sleeping for 0.08310218271799386 seconds
Request model_5#63 arrives at 1778793.846245606, sleeping for 0.004131577908992767 seconds
Request model_5#64 arrives at 1778793.851527922, sleeping for 0.05847379704937339 seconds
Request model_5#65 arrives at 1778793.910674066, sleeping for 0.02083000959828496 seconds
Request model_5#66 arrives at 1778793.931931601, sleeping for 0.0050103007815778255 seconds
Request model_5#67 arrives at 1778793.937274308, sleeping for 0.0013021435588598251 seconds
Request model_1#12 arrives at 1778793.939278071, sleeping for 0.025138372089713812 seconds
Request model_5#68 arrives at 1778793.9654914, sleeping for 0.04186484939418733 seconds
Request model_5#69 arrives at 1778794.008195882, sleeping for 0.08554906048811972 seconds
Request model_5#70 arrives at 1778794.094475951, sleeping for 0.030307702254503965 seconds
Request model_5#71 arrives at 1778794.125757565, sleeping for 0.025680330116301775 seconds
Request model_5#72 arrives at 1778794.152063134, sleeping for 0.030952648725360632 seconds
Request model_5#73 arrives at 1778794.183454259, sleeping for 0.012103231623768806 seconds
Request model_5#74 arrives at 1778794.19679197, sleeping for 0.18304041330702603 seconds
Request model_5#75 arrives at 1778794.380325163, sleeping for 0.152421313803643 seconds
Request model_5#76 arrives at 1778794.53366189, sleeping for 0 seconds
Request model_5#77 arrives at 1778794.533964533, sleeping for 0.004443785408511758 seconds
Request model_5#78 arrives at 1778794.538755675, sleeping for 0.05745263607241213 seconds
Request model_5#79 arrives at 1778794.596399289, sleeping for 0.0304802474565804 seconds
Request model_5#80 arrives at 1778794.627644132, sleeping for 0.001980129163712263 seconds
Request model_5#81 arrives at 1778794.630308391, sleeping for 0.0023317092563956976 seconds
Request model_1#13 arrives at 1778794.63306352, sleeping for 0.10247310693375766 seconds
Request model_5#82 arrives at 1778794.735833552, sleeping for 0.012706403620541096 seconds
Request model_1#14 arrives at 1778794.749084172, sleeping for 0.059127374552190304 seconds
Request model_6#15 arrives at 1778794.81034964, sleeping for 0.07028224086388946 seconds
Request model_5#83 arrives at 1778794.881583197, sleeping for 0.12065907963551581 seconds
Request model_1#15 arrives at 1778795.003056596, sleeping for 0.050104684894904494 seconds
Request model_5#84 arrives at 1778795.053429311, sleeping for 0.08001971966587007 seconds
Request model_5#85 arrives at 1778795.133741759, sleeping for 0.009992953389883041 seconds
Request model_5#86 arrives at 1778795.145085666, sleeping for 0.03133625374175608 seconds
Request model_6#16 arrives at 1778795.177331997, sleeping for 0.03233352233655751 seconds
Request model_5#87 arrives at 1778795.210630664, sleeping for 0.01042751339264214 seconds
Request model_5#88 arrives at 1778795.222066032, sleeping for 0.008743689628317952 seconds
Request model_5#89 arrives at 1778795.231350895, sleeping for 0.14168706955388188 seconds
Request model_5#90 arrives at 1778795.373790548, sleeping for 0 seconds
Request model_5#91 arrives at 1778795.460313349, sleeping for 0 seconds
Request model_5#92 arrives at 1778795.460934253, sleeping for 0 seconds
Request model_5#93 arrives at 1778795.461760539, sleeping for 0 seconds
Request model_5#94 arrives at 1778795.462488894, sleeping for 0.048117600614205 seconds
Request model_5#95 arrives at 1778795.510909785, sleeping for 0.08605882269330323 seconds
Request model_5#96 arrives at 1778795.598226671, sleeping for 0.0527598496992141 seconds
Request model_5#97 arrives at 1778795.652525872, sleeping for 0.08792130299843848 seconds
Request model_6#17 arrives at 1778795.741844882, sleeping for 0.08506788476370275 seconds
Request model_1#16 arrives at 1778795.827363106, sleeping for 0.0024519870057702065 seconds
Request model_5#98 arrives at 1778795.830616518, sleeping for 0.04413518845103681 seconds
Request model_5#99 arrives at 1778795.875326763, sleeping for 0.0652906522154808 seconds
Request model_6#18 arrives at 1778795.941356684, sleeping for 0.08943624002858996 seconds
Request model_5#100 arrives at 1778796.03156144, sleeping for 0.08484816737473011 seconds
Request model_5#101 arrives at 1778796.116949103, sleeping for 0.01232595182955265 seconds
Request model_5#102 arrives at 1778796.130103513, sleeping for 0.029103565029799938 seconds
Request model_3#10 arrives at 1778796.159856807, sleeping for 0.020017362432554364 seconds
Request model_5#103 arrives at 1778796.180570678, sleeping for 0.0009870650246739388 seconds
Request model_5#104 arrives at 1778796.182250019, sleeping for 0.02407187013886869 seconds
Request model_5#105 arrives at 1778796.206905428, sleeping for 0.00686901924200356 seconds
Request model_2#6 arrives at 1778796.214649841, sleeping for 0.05111460410989821 seconds
Request model_5#106 arrives at 1778796.266311374, sleeping for 0.01830970565788448 seconds
Request model_5#107 arrives at 1778796.286002588, sleeping for 0.012214765418320894 seconds
Request model_5#108 arrives at 1778796.298624204, sleeping for 0.03756711655296385 seconds
Request model_6#19 arrives at 1778796.337253808, sleeping for 0.13274490949697793 seconds
Request model_5#109 arrives at 1778796.471086882, sleeping for 0.09128579287789762 seconds
Request model_5#110 arrives at 1778796.562795458, sleeping for 0.12701085931621492 seconds
Request model_5#111 arrives at 1778796.690691982, sleeping for 0.11809864640235901 seconds
Request model_5#112 arrives at 1778796.809422182, sleeping for 0.07382059888914227 seconds
Request model_5#113 arrives at 1778796.88376164, sleeping for 0.10297445533797145 seconds
Request model_5#114 arrives at 1778796.987073605, sleeping for 0.0034005246125161648 seconds
Request model_3#11 arrives at 1778796.991380985, sleeping for 0.02211101376451552 seconds
Request model_5#115 arrives at 1778797.013851668, sleeping for 0.01164430845528841 seconds
Request model_6#20 arrives at 1778797.026115612, sleeping for 0.039616506081074476 seconds
Request model_5#116 arrives at 1778797.066319687, sleeping for 0.029949790565297008 seconds
Request model_5#117 arrives at 1778797.097852662, sleeping for 0.07757685449905694 seconds
Request model_5#118 arrives at 1778797.176098316, sleeping for 0.01533085573464632 seconds
Request model_5#119 arrives at 1778797.191831844, sleeping for 0.06316041573882103 seconds
Request model_5#120 arrives at 1778797.255662729, sleeping for 0.06070704013109207 seconds
Request model_5#121 arrives at 1778797.316937738, sleeping for 0.026681032264605165 seconds
Request model_5#122 arrives at 1778797.345248121, sleeping for 0.025130210211500525 seconds
Request model_6#21 arrives at 1778797.37139158, sleeping for 0.008634159807115793 seconds
Request model_6#22 arrives at 1778797.382183763, sleeping for 0.06931568076834083 seconds
Request model_5#123 arrives at 1778797.452069591, sleeping for 0.028129028622061014 seconds
Request model_6#23 arrives at 1778797.48120679, sleeping for 0.053024918073788285 seconds
Request model_5#124 arrives at 1778797.535210298, sleeping for 0.0436386214569211 seconds
Request model_6#24 arrives at 1778797.579929774, sleeping for 0.03831726987846196 seconds
Request model_5#125 arrives at 1778797.618742559, sleeping for 0.07330390135757625 seconds
Request model_5#126 arrives at 1778797.692444862, sleeping for 0.01812110492028296 seconds
Request model_6#25 arrives at 1778797.712085316, sleeping for 0.04550228244625032 seconds
Request model_1#17 arrives at 1778797.757799938, sleeping for 0.18541825865395367 seconds
Request model_5#127 arrives at 1778797.943607707, sleeping for 0.1400325819849968 seconds
Request model_5#128 arrives at 1778798.084108857, sleeping for 0.06893819198012352 seconds
Request model_5#129 arrives at 1778798.153794542, sleeping for 0.06104844179935753 seconds
Request model_5#130 arrives at 1778798.215826606, sleeping for 0.03228065650910139 seconds
Request model_5#131 arrives at 1778798.249113033, sleeping for 0.09520758036524057 seconds
Request model_6#26 arrives at 1778798.344828237, sleeping for 0.028672190150246024 seconds
Request model_5#132 arrives at 1778798.374130687, sleeping for 0.08234588080085814 seconds
Request model_5#133 arrives at 1778798.457420176, sleeping for 0.04308306658640504 seconds
Request model_5#134 arrives at 1778798.55906101, sleeping for 0 seconds
Request model_5#135 arrives at 1778798.559419802, sleeping for 0.022149970522150397 seconds
Request model_5#136 arrives at 1778798.582238138, sleeping for 0.057695779483765364 seconds
Request model_5#137 arrives at 1778798.640810938, sleeping for 0.09166875621303916 seconds
Request model_5#138 arrives at 1778798.732688115, sleeping for 0.025655365083366632 seconds
Request model_5#139 arrives at 1778798.758592742, sleeping for 0.05201390199363232 seconds
Request model_3#12 arrives at 1778798.812596501, sleeping for 0.006307319272309542 seconds
Request model_5#140 arrives at 1778798.819693709, sleeping for 0.06620665080845356 seconds
