shape,cycles,peak_kvpr_p50,peak_kvpr_mean,kvpr_gap_p50
2+2,204,0.10298619382484611,0.09939777099679588,0.02376773017779588
3+1,137,0.11835172806360401,0.11537255423882058,0.07252492515701728
itl_by_coresidency:Qwen2.5-7B,,0.012840032577514648,0.025923311710357666,0.040698111057281494
itl_by_coresidency:Llama-3.1-8B,,0.013904174168904623,0.026554971933364868,0.04373947779337565
itl_by_coresidency:Qwen2.5-3B,,,0.02291083335876465,0.030593782663345337
itl_by_coresidency:Llama-3.2-3B,,0.010963996251424154,0.0217113196849823,0.02995777130126953
