workload,rate,seed,model,model_name,models_on_gpu,n_decode_steps,n_requests,itl_p50,itl_p95,itl_p99,itl_mean,tpot_p50,tpot_p95,tpot_p99
steady,8,1,model_3,Llama-3.2-3B,1,28391,192,0.010919570922851562,0.05419421195983887,0.09350206851959228,0.0173953282972081,0.01675857805705797,0.028350337736490292,0.03415817171335222
steady,8,1,model_3,Llama-3.2-3B,2,40623,264,0.019502878189086914,0.06757006645202637,0.11490451335906982,0.0272190609567055,0.026528269514999016,0.039266770551510226,0.04516109570860863
steady,8,1,model_3,Llama-3.2-3B,3,74494,424,0.030495166778564453,0.09772166013717651,0.17758941650390625,0.04176544517428295,0.040969853134786294,0.049069019995237655,0.062303025007247895
steady,8,1,model_4,Qwen2.5-3B,2,32437,190,0.02254652976989746,0.06599602699279786,0.11354434013366661,0.028197398692747077,0.028609325941543133,0.04100852528320892,0.044498363339748145
steady,8,1,model_4,Qwen2.5-3B,3,67596,431,0.031006813049316406,0.08917790651321411,0.1585071086883545,0.040574986406723926,0.03897784901903821,0.04597948064675202,0.053956008741730135
steady,8,1,model_5,Llama-3.1-8B,2,31174,164,0.027535676956176758,0.08313632011413574,0.1663064694404602,0.03694624969496861,0.034660706476183016,0.050488549867297276,0.059364390126590075
steady,8,1,model_5,Llama-3.1-8B,3,74352,480,0.0407179594039917,0.11795661449432374,0.24942195177078247,0.05427972576375518,0.0516544453221369,0.06642658013631317,0.08775321926231731
steady,8,1,model_6,Qwen2.5-7B,1,96620,560,0.012643575668334961,0.06183028221130371,0.1170189380645752,0.02059143019670089,0.020091012430687748,0.02963791728019714,0.03676610857248304
steady,8,1,model_6,Qwen2.5-7B,2,68282,418,0.028048992156982422,0.11147068738937378,0.2572885012626648,0.04783028294173427,0.04174213146932991,0.10349885346584527,0.2498690228164196
steady,8,1,model_6,Qwen2.5-7B,3,35111,250,0.04436492919921875,0.17504560947418213,0.4044584989547729,0.0825771289713642,0.05993508402348243,0.10131335350183342,0.16646688789129221
steady,8,2,model_3,Llama-3.2-3B,1,18763,129,0.011178970336914062,0.04886820316314699,0.08753380298614502,0.01700125047852158,0.016307387501001358,0.02825770514080948,0.035911724649942835
steady,8,2,model_3,Llama-3.2-3B,2,98414,588,0.022346019744873047,0.0680436372756958,0.12539339065551758,0.029866190944314017,0.029443808207319122,0.037500726414127064,0.04072429372529898
steady,8,2,model_3,Llama-3.2-3B,3,22153,169,0.029346466064453125,0.08794021606445312,0.17920184135437012,0.03871143496515993,0.037470409364411324,0.04621976084179348,0.05334805428981779
steady,8,2,model_4,Qwen2.5-3B,2,48139,277,0.022975921630859375,0.06206848621368408,0.09631472587585449,0.029617290333981017,0.028100230164761503,0.03768149000225644,0.060317083086286284
steady,8,2,model_4,Qwen2.5-3B,3,23933,140,0.03004741668701172,0.07368922233581543,0.12545371055603027,0.03965154741349633,0.03494804314204625,0.04039090871810913,0.04415316713804551
steady,8,2,model_5,Llama-3.1-8B,1,36707,195,0.013535022735595703,0.060208797454833984,0.1130144453048706,0.02131631774657086,0.020482442869606432,0.034692937538487297,0.043340325247274866
steady,8,2,model_5,Llama-3.1-8B,2,116144,741,0.026488780975341797,0.09218835830688477,0.19130863428115846,0.037268976694149226,0.03574133971158196,0.04906987793305341,0.0675984882188766
steady,8,2,model_5,Llama-3.1-8B,3,23848,190,0.04720461368560791,0.1905958652496338,0.4889056968688965,0.07212752409726732,0.06939047333067175,0.10927676409482956,0.1409411847094698
steady,8,2,model_6,Qwen2.5-7B,2,93242,583,0.02309727668762207,0.08208012580871582,0.17268848419189453,0.03580255093781844,0.032998387472970146,0.047954306409993305,0.06654598879814141
steady,8,2,model_6,Qwen2.5-7B,3,47663,306,0.03890800476074219,0.11471962928771973,0.29512040615081786,0.05580452077600805,0.04744006229771508,0.07247136160731316,0.14021658450365063
steady,10,1,model_3,Llama-3.2-3B,1,26112,169,0.010793447494506836,0.05298924446105957,0.10313725233077953,0.017372267247707237,0.01677829212612576,0.028872696045906306,0.034403399353225984
steady,10,1,model_3,Llama-3.2-3B,2,107026,674,0.022414088249206543,0.07425856590270996,0.1499192714691162,0.030374421925090562,0.030428222385818694,0.041942433382209446,0.0470657750040539
steady,10,1,model_3,Llama-3.2-3B,3,36104,206,0.03010725975036621,0.09194779396057129,0.17181825637817383,0.039905377140125466,0.03889321481397787,0.04995074081752036,0.06848839148879048
steady,10,1,model_4,Qwen2.5-3B,2,80925,493,0.023229598999023438,0.07307643890380859,0.12672538757324117,0.03147462858401002,0.030281420548756918,0.04399580359458923,0.06669402956962585
steady,10,1,model_4,Qwen2.5-3B,3,49669,294,0.031313419342041016,0.09381799697875977,0.17292354583740235,0.04218890861415688,0.039923737110300214,0.052678349614143374,0.07911726854064238
steady,10,1,model_5,Llama-3.1-8B,1,19015,121,0.013223886489868164,0.059064316749572736,0.10746469020843506,0.021064202120327304,0.02099217776379554,0.03340336556235949,0.04560208171606061
steady,10,1,model_5,Llama-3.1-8B,2,87242,522,0.024612069129943848,0.08360570669174194,0.16878581047058105,0.03785228616654967,0.03402572873211096,0.05208228191981713,0.06939800724387167
steady,10,1,model_5,Llama-3.1-8B,3,26575,184,0.043295860290527344,0.14922149181365968,0.3308897638320923,0.059942705884702005,0.056304838603887804,0.11621463737554019,0.148227455317974
steady,10,1,model_6,Qwen2.5-7B,1,18175,104,0.013036489486694336,0.06065201759338379,0.1334381103515625,0.021247907281741807,0.020862162606469517,0.03265663636519243,0.036325837124835
steady,10,1,model_6,Qwen2.5-7B,2,170641,1013,0.029166698455810547,0.13270068168640137,0.3200572013854981,0.04938109896250512,0.044853025012546115,0.12147864235772023,0.3183258384466171
steady,10,1,model_6,Qwen2.5-7B,3,55460,358,0.04307222366333008,0.19720555543899537,0.4273569583892822,0.0809732265950453,0.05941824737164658,0.0922566622495651,0.14472988308352588
steady,10,2,model_3,Llama-3.2-3B,2,139288,868,0.022582292556762695,0.07629704475402832,0.14038855075836182,0.0315684052976418,0.03104605531626487,0.04111584735413392,0.04595104604959488
steady,10,2,model_3,Llama-3.2-3B,3,37403,236,0.029882192611694336,0.1017305850982666,0.17266196727752686,0.04000786468663534,0.03763651159175742,0.04665402429444449,0.05119751170277596
steady,10,2,model_4,Qwen2.5-3B,2,66806,421,0.02289128303527832,0.06851053237915039,0.10841212272644042,0.03023083829609958,0.02904414858654878,0.03541382362968043,0.04049944600053862
steady,10,2,model_4,Qwen2.5-3B,3,18238,118,0.030007481575012207,0.07645515203475953,0.14597058296203613,0.040739327358668774,0.035179424976957016,0.040969772190119325,0.04677929058167093
steady,10,2,model_5,Llama-3.1-8B,1,54855,340,0.01495361328125,0.0649066686630249,0.150311312675473,0.023870830407236955,0.02252797508811379,0.04280267538072972,0.04793628245716295
