cond,start,end,dur,cycles,plan_was_2x2,tau_suppressed,cooldown,mem_blocked
steady8s1,1787607891.6619616,1787607923.2666855,31.604723930358887,6,6,4,5,0
steady8s1,1787607953.3474362,1787607985.4653628,32.117926597595215,6,6,2,5,0
steady8s1,1787608016.0123277,1787608046.183672,30.17134428024292,6,6,6,5,0
steady8s1,1787608081.4134288,1787608113.3873432,31.97391438484192,6,6,6,5,4
steady8s1,1787608143.8460073,1787608316.0956173,172.2496099472046,35,35,32,5,35
steady8s2,1787609074.1310253,1787609105.4113595,31.28033423423767,6,5,1,5,0
steady8s2,1787609185.7411108,1787609215.916557,30.175446271896362,6,6,0,5,0
steady8s2,1787609261.1703248,1787609292.3753548,31.20502996444702,6,5,0,5,0
steady8s2,1787609363.2741523,1787609393.5975766,30.323424339294434,6,6,2,5,0
steady8s2,1787609464.6163626,1787609494.9513586,30.334995985031128,6,6,3,5,0
steady10s1,1787610249.83832,1787610283.476051,33.637731075286865,6,6,2,5,0
steady10s1,1787610313.6133945,1787610344.0028448,30.389450311660767,6,6,4,5,0
steady10s1,1787610379.2153904,1787610413.4164019,34.201011419296265,6,6,6,5,0
steady10s1,1787610463.9528174,1787610494.2139835,30.261166095733643,6,6,4,5,3
steady10s1,1787610526.8125658,1787610557.110039,30.297473192214966,6,6,0,5,0
steady10s2,1787620554.6668968,1787620584.7428157,30.075918912887573,6,2,0,5,0
steady10s2,1787620770.971077,1787620801.646879,30.675801992416382,6,6,3,5,0
steady10s2,1787620867.7952614,1787620898.178406,30.38314461708069,6,4,0,5,0
