tau_id,tau,cond,large_large_residency_pct
T0,0.0,steady_r8_s3,7.0588235294117645
T0,0.0,steady_r8_s4,91.86046511627907
T0,0.0,steady_r10_s3,0.0
T0,0.0,steady_r10_s4,91.86046511627907
T0,0.0,bursty_r8_s3,21.176470588235293
T0,0.0,bursty_r8_s4,48.83720930232558
T0,0.0,bursty_r10_s3,20.0
T0,0.0,bursty_r10_s4,54.651162790697676
T1,0.00035,steady_r8_s3,0.0
T1,0.00035,steady_r8_s4,97.67441860465117
T1,0.00035,steady_r10_s3,0.0
T1,0.00035,steady_r10_s4,97.67441860465117
T1,0.00035,bursty_r8_s3,20.0
T1,0.00035,bursty_r8_s4,54.651162790697676
T1,0.00035,bursty_r10_s3,18.823529411764707
T1,0.00035,bursty_r10_s4,54.651162790697676
T2,0.012859417696566448,steady_r8_s3,0.0
T2,0.012859417696566448,steady_r8_s4,74.4186046511628
T2,0.012859417696566448,steady_r10_s3,0.0
T2,0.012859417696566448,steady_r10_s4,94.18604651162791
T2,0.012859417696566448,bursty_r8_s3,17.441860465116278
T2,0.012859417696566448,bursty_r8_s4,50.70422535211268
T2,0.012859417696566448,bursty_r10_s3,17.441860465116278
T2,0.012859417696566448,bursty_r10_s4,45.714285714285715
T3,0.02595037368602512,steady_r8_s3,0.0
T3,0.02595037368602512,steady_r8_s4,73.25581395348837
T3,0.02595037368602512,steady_r10_s3,0.0
T3,0.02595037368602512,steady_r10_s4,90.69767441860465
T3,0.02595037368602512,bursty_r8_s3,16.470588235294116
T3,0.02595037368602512,bursty_r8_s4,50.0
T3,0.02595037368602512,bursty_r10_s3,17.441860465116278
T3,0.02595037368602512,bursty_r10_s4,61.1764705882353
T4,0.03916286292302117,steady_r8_s3,0.0
T4,0.03916286292302117,steady_r8_s4,50.57471264367816
T4,0.03916286292302117,steady_r10_s3,0.0
T4,0.03916286292302117,steady_r10_s4,88.23529411764706
T4,0.03916286292302117,bursty_r8_s3,17.441860465116278
T4,0.03916286292302117,bursty_r8_s4,67.05882352941177
T4,0.03916286292302117,bursty_r10_s3,16.470588235294116
T4,0.03916286292302117,bursty_r10_s4,60.0
T5,1000000000.0,steady_r8_s3,0.0
T5,1000000000.0,steady_r8_s4,0.0
T5,1000000000.0,steady_r10_s3,0.0
T5,1000000000.0,steady_r10_s4,0.0
T5,1000000000.0,bursty_r8_s3,0.0
T5,1000000000.0,bursty_r8_s4,0.0
T5,1000000000.0,bursty_r10_s3,0.0
T5,1000000000.0,bursty_r10_s4,0.0
