workload,rate,seed,cond,cycle,timestamp,current_peak_kvpr,best_peak_kvpr,delta_r,residency_colocated
steady,8,3,steady_r8_s3,1,1787644873.4264538,4.183901287354608e-05,3.8033946792297686e-05,3.805066081248392e-06,False
steady,8,3,steady_r8_s3,2,1787644878.4444265,0.0038064833955754594,0.0038064833955754594,0.0,False
steady,8,3,steady_r8_s3,3,1787644883.4528017,0.010383060130589988,0.010383060130589988,0.0,False
steady,8,3,steady_r8_s3,4,1787644888.459141,0.015292071892268387,0.015292071892268387,0.0,False
steady,8,3,steady_r8_s3,5,1787644893.4686756,0.02203818786936832,0.02203818786936832,0.0,False
steady,8,3,steady_r8_s3,6,1787644898.479191,0.029294563302646886,0.029294563302646886,0.0,False
steady,8,3,steady_r8_s3,7,1787644903.5025663,0.0361722973319384,0.0361722973319384,0.0,False
steady,8,3,steady_r8_s3,8,1787644908.5148063,0.0459870778236903,0.0459870778236903,0.0,False
steady,8,3,steady_r8_s3,9,1787644913.5246751,0.04956255538662357,0.04956255538662357,0.0,False
steady,8,3,steady_r8_s3,10,1787644918.539075,0.05421044411877275,0.05421044411877275,0.0,False
steady,8,3,steady_r8_s3,11,1787644923.6024194,0.05995728769883082,0.05995728769883082,0.0,False
steady,8,3,steady_r8_s3,12,1787644928.6573205,0.06360616498507334,0.06360616498507334,0.0,False
steady,8,3,steady_r8_s3,13,1787644933.6735163,0.07098131208618219,0.07098131208618219,0.0,False
steady,8,3,steady_r8_s3,14,1787644938.690201,0.07222651428994882,0.07222651428994882,0.0,False
steady,8,3,steady_r8_s3,15,1787644943.706301,0.07243290134689943,0.07243290134689943,0.0,False
steady,8,3,steady_r8_s3,16,1787644948.7258914,0.0722113329821043,0.0722113329821043,0.0,False
steady,8,3,steady_r8_s3,17,1787644953.7559426,0.0730034230464784,0.0730034230464784,0.0,False
steady,8,3,steady_r8_s3,18,1787644958.7724078,0.06972294201520983,0.06972294201520983,0.0,False
steady,8,3,steady_r8_s3,19,1787644963.7960253,0.0699885491662208,0.0699885491662208,0.0,False
steady,8,3,steady_r8_s3,20,1787644968.8148756,0.06561707552787976,0.06561707552787976,0.0,False
steady,8,3,steady_r8_s3,21,1787644973.832616,0.06831950500647906,0.06831950500647906,0.0,False
steady,8,3,steady_r8_s3,22,1787644978.8892367,0.06730618810894412,0.06730618810894412,0.0,False
