1787411382.601153417 0, 35388, 0;1, 35402, 0;
1787411384.839191796 0, 35838, 0;1, 35838, 0;
1787411387.077558984 0, 35886, 0;1, 36486, 67;
1787411389.687148724 0, 36122, 1;1, 36838, 0;
1787411392.312620274 0, 36122, 0;1, 37326, 0;
1787411395.123152310 0, 36250, 6;1, 37628, 12;
1787411397.715927066 0, 36330, 0;1, 37796, 28;
1787411400.594082378 0, 36588, 0;1, 38110, 11;
1787411404.514551966 0, 36762, 0;1, 38356, 30;
1787411406.776144907 0, 37740, 0;1, 38618, 16;
1787411409.367230589 0, 37740, 0;1, 39918, 0;
1787411412.191100844 0, 37740, 7;1, 40086, 24;
1787411414.995576691 0, 37844, 0;1, 40460, 0;
1787411417.741776333 0, 37952, 0;1, 41280, 0;
1787411420.397470835 0, 37996, 0;1, 42158, 0;
1787411423.103199552 0, 37996, 0;1, 42326, 12;
1787411425.887035857 0, 38140, 0;1, 42980, 0;
1787411428.638271088 0, 38538, 0;1, 43602, 39;
1787411431.402341863 0, 38628, 0;1, 44058, 0;
1787411434.062979921 0, 39096, 0;1, 45010, 0;
1787411436.833102869 0, 39632, 0;1, 46196, 0;
1787411439.561138652 0, 39676, 0;1, 46796, 0;
1787411442.293688828 0, 39820, 0;1, 50148, 13;
1787411445.012418484 0, 38620, 0;1, 51392, 16;
1787411448.634035833 0, 39139, 86;1, 51548, 62;
1787411450.852229231 0, 39139, 0;1, 51720, 0;
1787411453.161793535 0, 39475, 0;1, 51722, 24;
1787411455.855811803 0, 40023, 0;1, 51722, 0;
1787411458.528621032 0, 40819, 14;1, 51722, 79;
1787411461.302377650 0, 40819, 0;1, 51722, 70;
1787411464.157716108 0, 41169, 4;1, 51722, 6;
1787411466.939108855 0, 41713, 4;1, 51274, 3;
1787411469.670434094 0, 42527, 0;1, 48586, 0;
1787411472.535634894 0, 43283, 0;1, 48586, 0;
1787411475.400319842 0, 43671, 15;1, 48586, 0;
1787411478.419713240 0, 43671, 50;1, 48586, 0;
1787411480.907517219 0, 44013, 0;1, 48586, 0;
1787411483.107338525 0, 44695, 4;1, 48586, 0;
1787411485.801697059 0, 45797, 0;1, 48586, 0;
1787411488.524457499 0, 46037, 4;1, 48586, 0;
1787411491.197266269 0, 46267, 0;1, 48586, 0;
1787411493.909817404 0, 47071, 13;1, 48586, 0;
1787411496.599931303 0, 48199, 0;1, 48586, 0;
1787411499.405581389 0, 48709, 95;1, 48586, 0;
1787411502.272420204 0, 49221, 0;1, 48586, 0;
1787411505.107691354 0, 49745, 0;1, 48586, 0;
1787411507.879010341 0, 50417, 0;1, 48586, 0;
1787411510.636053014 0, 51373, 0;1, 48586, 0;
1787411513.446050901 0, 52001, 4;1, 48586, 0;
1787411516.154538218 0, 52001, 0;1, 48586, 0;
1787411518.902150597 0, 52417, 0;1, 48586, 0;
1787411521.656075579 0, 53581, 10;1, 48586, 0;
1787411524.394240496 0, 53837, 0;1, 48586, 0;
1787411527.109795745 0, 55237, 10;1, 48586, 0;
1787411529.864687688 0, 55633, 0;1, 48586, 0;
1787411532.776607221 0, 56353, 22;1, 48586, 0;
1787411535.801162344 0, 56747, 0;1, 48586, 0;
1787411538.913748010 0, 57829, 66;1, 48586, 0;
1787411541.872589899 0, 59073, 0;1, 48586, 0;
