t_rel,m4_gpu,m4_input_rate,m4_decode_tput,m4_wrate,m5_wrate,m6_wrate,m3_wrate,kvpr0,kvpr1,migration
77.8,1,403.3333333333333,0.003807826071749787,0.3722445432373567,3.1349782507793775,1.6010368757012072,2.365307301018226,0.04885432550293841,0.0816585459183868,model_4 1->0
82.9,0,412.1333333333333,167.87064720062176,0.5352924260560038,2.945794123257032,1.451081580620364,2.329679803778563,0.05967510340001586,0.06411678410162798,
87.9,0,378.46666666666664,1584.240053432731,1.8114048818617068,3.2624880285067626,1.3658595920257444,2.6943570633608585,0.08698005783692797,0.06885598117180411,model_4 0->1
92.9,1,281.1333333333333,0.003212899840150385,0.25946419151747735,3.98534165586835,1.3833419109174079,2.515211676196438,0.06210606993774451,0.07825993833986092,model_4 1->0
97.9,0,272.43333333333334,450.1838280585758,0.6669117909761187,3.1402200957512267,1.4194287639841237,2.1755180547163664,0.065264389660977,0.06096561131379055,
103.0,0,245.66666666666666,1240.2193982168249,1.37134154800465,3.6243106831818293,1.1950060190916405,2.19445173077482,0.08563880418628224,0.05748078460241889,model_4 0->1
108.0,1,301.26666666666665,0.0030502009399242525,0.2780453290868845,4.187247839476354,1.1172755994346888,2.263354400112267,0.06525250019211364,0.06886158762858974,
113.0,1,299.43333333333334,-26.16362389850417,0.2522037962503696,3.4314563583183766,1.0591184830536164,2.5675325605075177,0.053474529157175744,0.0730056860634301,model_4 1->0
118.0,0,262.6333333333333,161.78303068358184,0.3916988034174058,3.5352774465430623,1.039291166511309,2.834178609030792,0.06731884153010878,0.06568899755150724,
123.0,0,374.1333333333333,1269.4495336314549,1.5168817625556927,4.718248536330462,1.1877175577683765,2.443395944948367,0.10688676457959995,0.06157895112420833,model_4 0->1
128.1,1,414.53333333333336,0.0038763380180171225,0.38258121685851676,5.92421870177702,1.3880312775200059,2.6129072032184086,0.0923208027791762,0.0825042122254762,
133.1,1,411.3333333333333,0.003898182401314898,0.3796279197644703,5.575425313860724,1.3913953889256394,2.6837140530783716,0.08688533741277403,0.08384463218121024,
