arm,cond,cycle,timestamp,model,gpu,weighted_token_rate,token_rate,input_rate,decode_token_tput,cell_size,tpot_slo_s,kvpr0,kvpr1,decision,moved_model,resid
cooldown30,steady8s1,1,1787607886.452763,model_3,1,0.07761514834909743,23.092369050920666,16.1,6.992369050920665,114688,0.03177899122238159,0.000417954635885353,0.00149757812289336,MIGRATE,model_6,9.073890278047359e-08
cooldown30,steady8s1,1,1787607886.452763,model_4,0,1.729295786428997e-08,1.8737392700274785e-05,0.0,1.8737392700274785e-05,36864,0.0371999591588974,0.000417954635885353,0.00149757812289336,MIGRATE,model_6,9.073890278047359e-08
cooldown30,steady8s1,1,1787607886.452763,model_5,0,0.024380941906237144,7.658713227465801,0.6666666666666666,6.9920465607991344,131072,0.0383455865085125,0.000417954635885353,0.00149757812289336,MIGRATE,model_6,9.073890278047359e-08
cooldown30,steady8s1,1,1787607886.452763,model_6,1,0.010692228615083899,6.992455727696518,0.0,6.992455727696518,57344,0.03492606058716774,0.000417954635885353,0.00149757812289336,MIGRATE,model_6,9.073890278047359e-08
cooldown30,steady8s1,2,1787607891.6619616,model_3,1,0.4246107815660831,126.33189627908347,65.4,60.93189627908346,114688,0.03177899122238159,0.016711471065455532,0.005796734219332193,,,3.016281906939588e-16
cooldown30,steady8s1,2,1787607891.6619616,model_4,0,0.08226748484684238,89.1390693330925,36.833333333333336,52.30573599975916,36864,0.0371999591588974,0.016711471065455532,0.005796734219332193,,,3.016281906939588e-16
cooldown30,steady8s1,2,1787607891.6619616,model_5,0,0.31204962846823847,98.02322758351276,64.06666666666666,33.9565609168461,131072,0.0383455865085125,0.016711471065455532,0.005796734219332193,,,3.016281906939588e-16
cooldown30,steady8s1,2,1787607891.6619616,model_6,0,0.34183624295500514,223.5525334365691,160.7,62.852533436569104,57344,0.03492606058716774,0.016711471065455532,0.005796734219332193,,,3.016281906939588e-16
cooldown30,steady8s1,3,1787607896.6653106,model_3,1,1.9387708304345939,576.8308438989951,115.4,461.43084389899514,114688,0.03177899122238159,0.05581612939701999,0.02646786116634258,,,3.612325566650213e-16
cooldown30,steady8s1,3,1787607896.6653106,model_4,0,0.3038535251419838,329.23360298616757,173.33333333333334,155.90026965283423,36864,0.0371999591588974,0.05581612939701999,0.02646786116634258,,,3.612325566650213e-16
cooldown30,steady8s1,3,1787607896.6653106,model_5,0,1.4760607199274296,463.67059171569247,306.8666666666667,156.8039250490258,131072,0.0383455865085125,0.05581612939701999,0.02646786116634258,,,3.612325566650213e-16
cooldown30,steady8s1,3,1787607896.6653106,model_6,0,0.6788298612204079,443.9381088920747,252.26666666666668,191.67144222540801,57344,0.03492606058716774,0.05581612939701999,0.02646786116634258,,,3.612325566650213e-16
cooldown30,steady8s1,4,1787607901.671678,model_3,1,1.1257651774355086,334.94215362558487,217.03333333333333,117.90882029225153,114688,0.03177899122238159,0.065543487837252,0.01536880788307862,,,3.0762176061328944e-16
cooldown30,steady8s1,4,1787607901.671678,model_4,0,0.577240799239555,625.456189904162,224.83333333333334,400.6228565708286,36864,0.0371999591588974,0.065543487837252,0.01536880788307862,,,3.0762176061328944e-16
cooldown30,steady8s1,4,1787607901.671678,model_5,0,1.7327602466017131,544.3068554000583,337.1,207.20685540005832,131072,0.0383455865085125,0.065543487837252,0.01536880788307862,,,3.0762176061328944e-16
cooldown30,steady8s1,4,1787607901.671678,model_6,0,0.5772407992395546,377.50134964459585,473.93333333333334,-96.43198368873749,57344,0.03492606058716774,0.065543487837252,0.01536880788307862,,,3.0762176061328944e-16
cooldown30,steady8s1,5,1787607906.6784513,model_3,1,1.4042051877701178,417.7847380173434,316.9,100.88473801734341,114688,0.03177899122238159,0.102496282008909,0.01917003669310741,,,4.917886466232659e-16
cooldown30,steady8s1,5,1787607906.6784513,model_4,0,0.5005620652400713,542.3726849315887,360.56666666666666,181.806018264922,36864,0.0371999591588974,0.102496282008909,0.01917003669310741,,,4.917886466232659e-16
cooldown30,steady8s1,5,1787607906.6784513,model_5,0,2.4718171283607253,776.4646095157586,485.8333333333333,290.6312761824253,131072,0.0383455865085125,0.102496282008909,0.01917003669310741,,,4.917886466232659e-16
cooldown30,steady8s1,5,1787607906.6784513,model_6,0,1.542662104111966,1008.8632458326309,524.1666666666666,484.6965791659643,57344,0.03492606058716774,0.102496282008909,0.01917003669310741,,,4.917886466232659e-16
cooldown30,steady8s1,6,1787607911.7220292,model_3,1,3.197535145587836,951.3434323811647,422.03333333333336,529.3100990478313,114688,0.03177899122238159,0.12209124014769539,0.04365235693635272,,,4.954311980328863e-16
cooldown30,steady8s1,6,1787607911.7220292,model_4,0,1.0915055703471388,1182.6761313265642,388.43333333333334,794.2427979932309,36864,0.0371999591588974,0.12209124014769539,0.04365235693635272,,,4.954311980328863e-16
