workload,rate,seed,n_requests,n_exposed_replaced,n_exposed_unavailable,obs_tpot_p50,obs_tpot_mean,cf_central_tpot_mean,cf_low_tpot_mean,cf_high_tpot_mean,tpot_recovery_central_pct,tpot_recovery_low_pct,tpot_recovery_high_pct
steady,8,1,3373,1585,0,0.03685075251261393,0.03786568814382141,0.03126652969337909,0.03355665303346931,0.029425585277482024,17.43,11.38,22.29
steady,8,2,3318,805,0,0.032906065968906176,0.0357329012394031,0.03170440984607463,0.03243789194698951,0.031176330942125182,11.27,9.22,12.75
steady,10,1,4138,1042,0,0.03567723165387693,0.04149906433005827,0.037873372189788965,0.03926811892107607,0.036692336838000696,8.74,5.38,11.58
steady,10,2,4181,603,0,0.034582221809821796,0.03545704112569678,0.034179805564815875,0.03442886559623124,0.0338754833688648,3.6,2.9,4.46
