arm,cond,cycle,timestamp,rate_window_s,current_shape,plan_shape,plan_id,plan_changed,convergence_gap,cooldown_active,decision,reason,kvpr0,kvpr1,peak_kvpr
cooldown30,steady8s1,27,1787608021.0344565,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,True,,migration cooldown active,0.08700348336708087,0.05606882238652136,0.08700348336708087
cooldown30,steady8s1,28,1787608026.0577226,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,True,,migration cooldown active,0.09880158468822066,0.04634031900541879,0.09880158468822066
cooldown30,steady8s1,29,1787608031.0781612,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.10985555365890357,0.032862810085711465,0.10985555365890357
cooldown30,steady8s1,30,1787608036.125415,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,True,,migration cooldown active,0.11559197457272663,0.05542118673908358,0.11559197457272663
cooldown30,steady8s1,31,1787608041.1625383,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,False,MIGRATE,literal line-8 absolute delta exceeds tau,0.1144246268957779,0.04570802661197252,0.1144246268957779
cooldown30,steady8s1,32,1787608046.183672,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,2,True,,migration cooldown active,0.10551025401520113,0.06483411245743044,0.10551025401520113
cooldown30,steady8s1,33,1787608051.2076411,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",False,2,True,,migration cooldown active,0.10864875378046496,0.05971200511643494,0.10864875378046496
cooldown30,steady8s1,34,1787608056.2310472,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,2,True,,migration cooldown active,0.09703640061614904,0.05336154095270553,0.09703640061614904
cooldown30,steady8s1,35,1787608061.2541757,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,0,True,,migration cooldown active,0.09283683238537474,0.05611511433668637,0.09283683238537474
cooldown30,steady8s1,36,1787608066.3143923,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,2,True,,migration cooldown active,0.0915697338384529,0.048211458889099786,0.0915697338384529
cooldown30,steady8s1,37,1787608071.362527,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,0,False,,line-8 placement unchanged or every candidate blocked,0.09025590252294144,0.05908217658588231,0.09025590252294144
cooldown30,steady8s1,38,1787608076.3882182,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,2,False,MIGRATE,literal line-8 absolute delta exceeds tau,0.08552989334691563,0.05432700562657915,0.08552989334691563
cooldown30,steady8s1,39,1787608081.4134288,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,True,,migration cooldown active,0.04759137640749396,0.09816439865437712,0.09816439865437712
cooldown30,steady8s1,40,1787608086.4396572,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,True,,migration cooldown active,0.04004906151491187,0.10651253539372914,0.10651253539372914
cooldown30,steady8s1,41,1787608091.4676073,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,True,,migration cooldown active,0.03701572032429999,0.1014293634262352,0.1014293634262352
cooldown30,steady8s1,42,1787608096.497396,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,True,,migration cooldown active,0.03619945704531816,0.10154279937932958,0.10154279937932958
cooldown30,steady8s1,43,1787608101.5289423,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,True,,migration cooldown active,0.03207022913016756,0.11545886864994624,0.11545886864994624
cooldown30,steady8s1,44,1787608106.5621896,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,1,False,MIGRATE,literal line-8 absolute delta exceeds tau,0.030431113579730468,0.11330010290233684,0.11330010290233684
cooldown30,steady8s1,45,1787608113.3873432,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,0,True,,migration cooldown active,0.06567642204299426,0.04719185972048465,0.06567642204299426
cooldown30,steady8s1,46,1787608118.417168,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,0,True,,migration cooldown active,0.07118168085101108,0.06906364040682426,0.07118168085101108
cooldown30,steady8s1,47,1787608123.453258,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,0,True,,migration cooldown active,0.09067402691056826,0.05574490257929413,0.09067402691056826
cooldown30,steady8s1,48,1787608128.4878979,30.0,2+2,1+3,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",False,1,True,,migration cooldown active,0.08004864029052193,0.042782697746850964,0.08004864029052193
cooldown30,steady8s1,49,1787608133.777514,30.0,2+2,2+2,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",False,0,True,,migration cooldown active,0.08617405510848099,0.04711420808448062,0.08617405510848099
cooldown30,steady8s1,50,1787608138.8126953,30.0,2+2,1+3,"(('model_3', 1), ('model_4', 1), ('model_5', 1), ('model_6', 0))",False,1,False,MIGRATE,literal line-8 absolute delta exceeds tau,0.07716719463107849,0.03236939408046407,0.07716719463107849
cooldown30,steady8s1,51,1787608143.8460073,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,True,,migration cooldown active,0.05112517188885607,0.07583912541463379,0.07583912541463379
cooldown30,steady8s1,52,1787608148.881725,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,True,,migration cooldown active,0.03134149890435016,0.08175053903158494,0.08175053903158494
cooldown30,steady8s1,53,1787608153.980982,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,True,,migration cooldown active,0.032954491812970985,0.0913256506124187,0.0913256506124187
cooldown30,steady8s1,54,1787608159.0172186,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,True,,migration cooldown active,0.03195685504227923,0.1155983080736291,0.1155983080736291
cooldown30,steady8s1,55,1787608164.0556777,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,True,,migration cooldown active,0.031194439439576758,0.12014370338343687,0.12014370338343687
cooldown30,steady8s1,56,1787608169.0915508,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.031185248331991145,0.13214260223493324,0.13214260223493324
cooldown30,steady8s1,57,1787608174.1294732,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.029662958536628047,0.12003831784739365,0.12003831784739365
cooldown30,steady8s1,58,1787608179.1678255,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.028382173107994336,0.11739734944665263,0.11739734944665263
cooldown30,steady8s1,59,1787608184.2144692,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.03709276382749393,0.11835172806360401,0.11835172806360401
cooldown30,steady8s1,60,1787608189.2565873,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.027389625753580997,0.11669923457375173,0.11669923457375173
cooldown30,steady8s1,61,1787608194.3001518,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.03276649753911226,0.12761832154665212,0.12761832154665212
cooldown30,steady8s1,62,1787608199.3398979,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.029376828453781915,0.1473458551318828,0.1473458551318828
cooldown30,steady8s1,63,1787608204.4022338,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.02905955381782991,0.15036560867549362,0.15036560867549362
cooldown30,steady8s1,64,1787608209.4637525,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.037058846798396446,0.1427449127761874,0.1427449127761874
cooldown30,steady8s1,65,1787608214.5074666,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.028993709191235374,0.15047970810790412,0.15047970810790412
cooldown30,steady8s1,66,1787608219.8479488,30.0,1+3,2+2,"(('model_3', 1), ('model_4', 0), ('model_5', 1), ('model_6', 0))",False,1,False,,line-8 placement unchanged or every candidate blocked,0.033301974114418785,0.1256697779053434,0.1256697779053434
