arm,cond,model,first_t,second_t,interval_s,path
cooldown30,steady8s1,model_6,1787607886.452763,1787607916.7574716,30.3,1->0 then 0->1
cooldown30,steady8s1,model_6,1787607916.7574716,1787607948.3370922,31.58,0->1 then 1->0
cooldown30,steady8s1,model_6,1787607948.3370922,1787607978.4184785,30.08,1->0 then 0->1
cooldown30,steady8s1,model_6,1787607978.4184785,1787608010.5967417,32.18,0->1 then 1->0
cooldown30,steady8s1,model_5,1787608076.3882182,1787608106.5621896,30.17,0->1 then 1->0
cooldown30,steady8s1,model_5,1787608106.5621896,1787608138.8126953,32.25,1->0 then 0->1
cooldown30,steady8s2,model_6,1787609067.5272422,1787609099.243375,31.72,1->0 then 0->1
cooldown30,steady8s2,model_6,1787609099.243375,1787609358.2291777,258.99,0->1 then 1->0
cooldown30,steady8s2,model_4,1787609180.712751,1787609210.8882802,30.18,0->1 then 1->0
cooldown30,steady8s2,model_4,1787609210.8882802,1787609256.1420496,45.25,1->0 then 0->1
cooldown30,steady8s2,model_4,1787609256.1420496,1787609286.381818,30.24,0->1 then 1->0
cooldown30,steady8s2,model_4,1787609286.381818,1787609459.3355734,172.95,1->0 then 0->1
cooldown30,steady8s2,model_6,1787609358.2291777,1787609388.5573213,30.33,1->0 then 0->1
cooldown30,steady8s2,model_6,1787609388.5573213,1787609489.878533,101.32,0->1 then 1->0
cooldown30,steady10s1,model_6,1787610244.7481675,1787610274.8818693,30.13,1->0 then 0->1
cooldown30,steady10s1,model_6,1787610274.8818693,1787610404.4313362,129.55,0->1 then 1->0
cooldown30,steady10s1,model_4,1787610308.5958288,1787610338.98414,30.39,0->1 then 1->0
cooldown30,steady10s1,model_4,1787610338.98414,1787610374.19243,35.21,1->0 then 0->1
cooldown30,steady10s1,model_4,1787610374.19243,1787610489.173493,114.98,0->1 then 1->0
cooldown30,steady10s1,model_6,1787610404.4313362,1787610552.0628297,147.63,1->0 then 0->1
cooldown30,steady10s1,model_5,1787610458.8898191,1787610519.482461,60.59,0->1 then 1->0
cooldown30,steady10s2,model_4,1787620549.66283,1787620579.731,30.07,0->1 then 1->0
cooldown30,steady10s2,model_4,1787620579.731,1787620765.9338882,186.2,1->0 then 0->1
cooldown30,steady10s2,model_4,1787620765.9338882,1787620796.604929,30.67,0->1 then 1->0
cooldown30,steady10s2,model_4,1787620796.604929,1787620862.716518,66.11,1->0 then 0->1
cooldown30,steady10s2,model_4,1787620862.716518,1787620893.1213422,30.4,0->1 then 1->0
cooldown0,steady8s1,model_6,1787632122.9430425,1787632133.3504903,10.41,1->0 then 0->1
cooldown0,steady8s1,model_4,1787632128.2468565,1787632144.06553,15.82,0->1 then 1->0
cooldown0,steady8s1,model_6,1787632133.3504903,1787632159.1302824,25.78,0->1 then 1->0
cooldown0,steady8s1,model_4,1787632144.06553,1787632154.104499,10.04,1->0 then 0->1
cooldown0,steady8s1,model_4,1787632154.104499,1787632209.4036674,55.3,0->1 then 1->0
cooldown0,steady8s1,model_6,1787632159.1302824,1787632229.5050235,70.37,1->0 then 0->1
cooldown0,steady8s1,model_4,1787632209.4036674,1787632219.4699776,10.07,1->0 then 0->1
cooldown0,steady8s1,model_4,1787632219.4699776,1787632224.4874408,5.02,0->1 then 1->0
cooldown0,steady8s2,model_6,1787632731.1731691,1787632737.4785883,6.31,1->0 then 0->1
cooldown0,steady8s2,model_6,1787632737.4785883,1787632971.8328836,234.35,0->1 then 1->0
cooldown0,steady8s2,model_4,1787632743.5725222,1787632804.0148556,60.44,0->1 then 1->0
cooldown0,steady8s2,model_4,1787632804.0148556,1787632814.0466692,10.03,1->0 then 0->1
cooldown0,steady8s2,model_4,1787632814.0466692,1787632819.0696194,5.02,0->1 then 1->0
cooldown0,steady8s2,model_4,1787632819.0696194,1787632829.120266,10.05,1->0 then 0->1
cooldown0,steady8s2,model_4,1787632829.120266,1787632839.1517444,10.03,0->1 then 1->0
cooldown0,steady8s2,model_4,1787632839.1517444,1787632849.190263,10.04,1->0 then 0->1
cooldown0,steady8s2,model_4,1787632849.190263,1787632949.8698468,100.68,0->1 then 1->0
cooldown0,steady8s2,model_4,1787632949.8698468,1787632965.0251708,15.16,1->0 then 0->1
cooldown0,steady8s2,model_4,1787632965.0251708,1787632984.1591175,19.13,0->1 then 1->0
cooldown0,steady8s2,model_6,1787632971.8328836,1787632976.8651326,5.03,1->0 then 0->1
cooldown0,steady8s2,model_6,1787632976.8651326,1787632991.0983396,14.23,0->1 then 1->0
cooldown0,steady8s2,model_4,1787632984.1591175,1787633021.0558271,36.9,1->0 then 0->1
cooldown0,steady8s2,model_6,1787632991.0983396,1787633026.1206307,35.02,1->0 then 0->1
cooldown0,steady8s2,model_4,1787633021.0558271,1787633052.663158,31.61,0->1 then 1->0
cooldown0,steady8s2,model_4,1787633052.663158,1787633130.2604327,77.6,1->0 then 0->1
cooldown0,steady8s2,model_3,1787633113.415759,1787633145.4190993,32.0,1->0 then 0->1
cooldown0,steady8s2,model_4,1787633130.2604327,1787633151.5602274,21.3,0->1 then 1->0
cooldown0,steady8s2,model_4,1787633151.5602274,1787633156.6105967,5.05,1->0 then 0->1
cooldown0,steady10s1,model_3,1787633340.027755,1787633345.0319414,5.0,1->0 then 0->1
cooldown0,steady10s1,model_3,1787633345.0319414,1787633475.7053547,130.67,0->1 then 1->0
cooldown0,steady10s1,model_4,1787633375.1461353,1787633380.1544473,5.01,0->1 then 1->0
cooldown0,steady10s1,model_4,1787633380.1544473,1787633385.1643088,5.01,1->0 then 0->1
cooldown0,steady10s1,model_4,1787633385.1643088,1787633413.8915868,28.73,0->1 then 1->0
cooldown0,steady10s1,model_6,1787633390.174727,1787633406.33528,16.16,1->0 then 0->1
cooldown0,steady10s1,model_6,1787633406.33528,1787633424.0193112,17.68,0->1 then 1->0
cooldown0,steady10s1,model_4,1787633413.8915868,1787633418.968172,5.08,1->0 then 0->1
cooldown0,steady10s1,model_4,1787633418.968172,1787633455.600087,36.63,0->1 then 1->0
cooldown0,steady10s1,model_6,1787633424.0193112,1787633435.2879496,11.27,1->0 then 0->1
cooldown0,steady10s1,model_6,1787633435.2879496,1787633445.5480192,10.26,0->1 then 1->0
cooldown0,steady10s1,model_6,1787633445.5480192,1787633450.577971,5.03,1->0 then 0->1
cooldown0,steady10s1,model_4,1787633455.600087,1787633460.622473,5.02,1->0 then 0->1
cooldown0,steady10s1,model_4,1787633460.622473,1787633485.762146,25.14,0->1 then 1->0
cooldown0,steady10s1,model_3,1787633475.7053547,1787633500.8496566,25.14,1->0 then 0->1
cooldown0,steady10s1,model_4,1787633485.762146,1787633490.78802,5.03,1->0 then 0->1
cooldown0,steady10s1,model_4,1787633490.78802,1787633505.8780951,15.09,0->1 then 1->0
cooldown0,steady10s1,model_3,1787633500.8496566,1787633551.2390747,50.39,0->1 then 1->0
cooldown0,steady10s1,model_4,1787633505.8780951,1787633510.9073884,5.03,1->0 then 0->1
cooldown0,steady10s1,model_4,1787633510.9073884,1787633515.9381003,5.03,0->1 then 1->0
