arm,cond,timestamp,model,src,dst,classification,plan_id,shape_before,convergence_gap
cooldown0,steady10s2,1787634160.5137763,model_6,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
cooldown0,steady10s2,1787634165.5513537,model_4,0,1,SWAP_COMPLETION_LEG,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",1+3,1
cooldown0,steady10s2,1787634180.679001,model_6,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",2+2,2
cooldown0,steady10s2,1787634190.8225331,model_4,1,0,SWAP_COMPLETION_LEG,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
cooldown0,steady10s2,1787634256.5430138,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",2+2,1
cooldown0,steady10s2,1787634271.7195408,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
cooldown0,steady10s2,1787634297.0858803,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 1))",2+2,1
cooldown0,steady10s2,1787634312.2798684,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
cooldown0,steady10s2,1787634337.6333387,model_4,0,1,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 1), ('model_5', 0), ('model_6', 0))",2+2,2
cooldown0,steady10s2,1787634342.6991694,model_4,1,0,NEW_PLAN_MIGRATION,"(('model_3', 1), ('model_4', 0), ('model_5', 0), ('model_6', 1))",1+3,1
