workload,rate,seed,proto_goodput,prism_goodput,delta_abs,delta_pct,proto_attain,prism_attain,proto_ttft_ok,prism_ttft_ok,proto_tpot_ok,prism_tpot_ok,prism_migrations
bursty,2,7,1.36882,1.47995,0.11113,8.12,0.73399,0.7931,98.818,97.537,73.695,81.281,5
bursty,2,8,1.6047,1.36033,-0.24437,-15.23,0.83333,0.70667,98.667,95.429,83.81,72.571,5
bursty,4,7,2.30131,2.50775,0.20644,8.97,0.59221,0.64664,98.264,95.775,59.737,67.136,3
bursty,4,8,2.40688,2.56945,0.16257,6.75,0.59973,0.63989,98.357,95.071,60.338,66.271,3
bursty,6,7,2.28966,2.95755,0.66789,29.17,0.3933,0.50814,98.623,95.088,39.581,52.253,5
bursty,6,8,2.42439,2.67333,0.24894,10.27,0.41216,0.45323,96.635,90.769,41.772,48.472,5
bursty,8,7,2.41578,3.23531,0.81953,33.92,0.30884,0.4153,97.824,91.015,31.329,43.355,5
bursty,8,8,1.97458,2.55104,0.57646,29.19,0.24943,0.32259,97.942,92.568,25.034,33.432,5
bursty,10,7,2.54294,2.05159,-0.49135,-19.32,0.26515,0.21458,96.004,87.197,26.705,22.595,5
bursty,10,8,2.96572,2.66169,-0.30403,-10.25,0.30459,0.27479,97.207,88.585,30.759,28.566,5
