arm,workload,rate,seed,run_dir,rc,verdict,lifecycle_gate,offered,completed,aborted,alg2_order_violations,goodput_req_s,attainment,throughput_req_s,ttft_slo_ok_pct,tpot_slo_ok_pct,migrations,migration_bytes,ttft_s_p50,ttft_s_p95,ttft_s_p99,tpot_ms_p50,tpot_ms_p95,tpot_ms_p99,Llama-3.2-3B_tpot_p95_ms,Qwen2.5-3B_tpot_p95_ms,Llama-3.1-8B_tpot_p95_ms,Qwen2.5-7B_tpot_p95_ms
prism,steady,4,5,exp/results/4het-final/raw/prism/steady/rate_4/seed_5,0,PASS,PASS,1686,1686,0,0,2.35743,0.60083,3.9236,99.17,60.854,1,6920982528,0.078,0.201,0.3884,32.4404,49.2848,57.665,34.54,37.58,31.17,52.31
prism,steady,4,6,exp/results/4het-final/raw/prism/steady/rate_4/seed_6,0,PASS,PASS,1659,1659,0,0,3.19837,0.82881,3.859,98.493,83.424,2,22179974144,0.069,0.1763,2.1574,29.5003,40.3109,47.6371,34.86,41.19,36.99,41.02
prism,steady,6,5,exp/results/4het-final/raw/prism/steady/rate_6/seed_5,0,PASS,PASS,2583,2583,0,0,5.35847,0.89199,6.0074,99.729,89.47,0,0,0.0729,0.1851,0.3059,31.1051,39.1627,47.8107,29.86,34.18,42.6,39.18
prism,steady,6,6,exp/results/4het-final/raw/prism/steady/rate_6/seed_6,0,PASS,PASS,2483,2483,0,0,4.83333,0.83528,5.7865,98.188,84.414,2,22349319168,0.0681,0.1839,4.7677,28.157,41.3489,52.5776,34.89,42.61,39.89,42.94
prism,steady,8,5,exp/results/4het-final/raw/prism/steady/rate_8/seed_5,0,PASS,PASS,3350,3350,0,0,4.87957,0.62657,7.7878,98.418,63.821,2,13809156096,0.081,0.2334,0.5813,33.6374,59.1479,69.725,36.81,40.08,43.03,64.0
prism,steady,8,6,exp/results/4het-final/raw/prism/steady/rate_8/seed_6,0,PASS,PASS,3358,3358,0,0,3.70619,0.4729,7.8372,98.005,48.035,2,22325844992,0.0816,0.2122,3.0883,36.0331,53.7334,64.6289,39.49,56.85,41.13,48.89
prism,steady,10,5,exp/results/4het-final/raw/prism/steady/rate_10/seed_5,0,PASS,PASS,4247,4247,0,0,5.30667,0.53661,9.8892,98.352,54.533,2,13898219520,0.0802,0.2462,0.9462,35.3082,63.6436,75.4586,38.92,43.31,49.89,70.23
prism,steady,10,6,exp/results/4het-final/raw/prism/steady/rate_10/seed_6,0,PASS,PASS,4197,4196,0,0,5.88042,0.60519,9.7143,95.925,60.891,2,22733634560,0.079,0.2776,13.7915,33.5557,59.9633,152.3161,37.74,77.44,52.48,49.35
prism,bursty,2,5,exp/results/4het-final/raw/prism/bursty/rate_2/seed_5,0,PASS,PASS,818,818,0,0,1.75621,0.92665,1.8952,97.677,94.866,5,52259599360,0.058,0.2033,6.0303,19.9538,32.4157,46.4503,34.93,31.17,30.4,35.55
prism,bursty,2,6,exp/results/4het-final/raw/prism/bursty/rate_2/seed_6,0,PASS,PASS,789,789,0,0,1.61299,0.87833,1.8364,98.606,89.227,6,58958192640,0.0613,0.1583,0.3723,21.5692,43.1002,48.3846,26.49,37.0,46.73,46.94
prism,bursty,4,5,exp/results/4het-final/raw/prism/bursty/rate_4/seed_5,0,PASS,PASS,1686,1685,0,0,3.10622,0.79181,3.9206,93.116,84.095,9,81029288960,0.0717,2.037,8.0033,24.2467,45.9049,66.0944,48.27,36.71,50.09,45.36
prism,bursty,4,6,exp/results/4het-final/raw/prism/bursty/rate_4/seed_6,0,PASS,PASS,1659,1659,0,0,2.82072,0.73116,3.8578,97.046,75.166,8,91671031808,0.0717,0.2251,4.9919,28.5677,50.427,67.6149,35.25,45.39,55.04,60.03
prism,bursty,6,5,exp/results/4het-final/raw/prism/bursty/rate_6/seed_5,0,PASS,PASS,2583,2583,0,0,4.29254,0.717,5.9868,96.942,72.938,8,72957604864,0.0688,0.282,6.0111,27.8406,55.6534,132.0586,44.67,34.55,57.78,64.41
prism,bursty,6,6,exp/results/4het-final/raw/prism/bursty/rate_6/seed_6,0,PASS,PASS,2483,2483,0,0,2.91202,0.50383,5.7798,95.288,52.799,10,122793125888,0.0816,0.3543,8.6903,34.6249,67.8484,98.826,37.54,53.23,90.09,71.75
prism,bursty,8,5,exp/results/4het-final/raw/prism/bursty/rate_8/seed_5,0,PASS,PASS,3350,3350,0,0,5.38395,0.69672,7.7276,93.522,72.985,9,82662642688,0.0748,2.3637,9.1653,29.2359,66.5315,120.7703,48.19,37.86,78.56,65.84
prism,bursty,8,6,exp/results/4het-final/raw/prism/bursty/rate_8/seed_6,0,PASS,PASS,3358,3358,0,0,3.36081,0.42764,7.8591,92.287,45.92,9,124890129408,0.0906,0.5776,14.0355,38.8438,136.2621,202.1659,49.41,73.44,184.57,88.37
prism,bursty,10,5,exp/results/4het-final/raw/prism/bursty/rate_10/seed_5,0,PASS,PASS,4247,4247,0,0,4.26605,0.43419,9.8253,95.079,46.315,11,95352914944,0.0894,0.4564,7.8656,37.4283,132.4968,204.5587,45.81,48.4,182.13,73.54
prism,bursty,10,6,exp/results/4het-final/raw/prism/bursty/rate_10/seed_6,0,PASS,PASS,4197,4197,0,0,3.26175,0.33452,9.7504,91.303,35.549,6,77542379520,0.0959,0.6884,10.8083,47.6616,130.0722,157.1995,79.34,70.96,152.81,89.31
