workload,rate,proto_goodput_mean,prism_goodput_mean,delta_pct_mean,proto_ttft_ok,prism_ttft_ok,proto_tpot_ok,prism_tpot_ok,prism_migrations_mean
steady,2,1.8656,1.78994,-4.12,100.0,99.24,99.19,96.28,0.5
steady,4,3.83209,2.7779,-27.45,99.94,98.83,98.36,72.14,1.5
steady,6,5.59717,5.0959,-8.96,99.84,98.96,95.02,86.94,1
steady,8,6.74546,4.29288,-36.27,99.96,98.21,86.39,55.93,2
steady,10,6.95945,5.59355,-19.64,99.69,97.14,71.12,57.71,2
bursty,2,1.86781,1.6846,-9.84,99.94,98.14,99.44,92.05,5.5
bursty,4,3.75921,2.96347,-21.21,99.7,95.08,96.59,79.63,8.5
bursty,6,4.86781,3.60228,-26.27,99.12,96.11,83.08,62.87,9
bursty,8,6.30201,4.37238,-29.68,99.48,92.9,80.93,59.45,9
bursty,10,5.88975,3.7639,-36.11,98.72,93.19,59.93,40.93,8.5
