Real trace file: /root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r20_s0.pkl
[PRISM_DIRECT] 8227 requests, span 419.8s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed0
Generated 8227 requests
Request model_6#50 arrives at 1706686.361372874, sleeping for 0.0026526686269789934 seconds
Request model_6#51 arrives at 1706686.365164563, sleeping for 0.009499228093773127 seconds
Request model_1#16 arrives at 1706686.375923367, sleeping for 0.007705838652327657 seconds
Request model_6#52 arrives at 1706686.384674456, sleeping for 0.027250786079093814 seconds
Request model_1#17 arrives at 1706686.412427803, sleeping for 0.022080026101320982 seconds
Request model_5#3 arrives at 1706686.435169901, sleeping for 0.03228074684739113 seconds
Request model_3#8 arrives at 1706686.468014448, sleeping for 0.027894622180610895 seconds
Request model_5#4 arrives at 1706686.496774413, sleeping for 0.09440963319502771 seconds
Request model_5#5 arrives at 1706686.591587874, sleeping for 0.027914526406675577 seconds
Request model_6#53 arrives at 1706686.620329969, sleeping for 0.004883008077740669 seconds
Request model_3#9 arrives at 1706686.626071434, sleeping for 0.003930296283215284 seconds
Request model_6#54 arrives at 1706686.630849091, sleeping for 0.006524208001792431 seconds
Request model_6#55 arrives at 1706686.637706425, sleeping for 0 seconds
Request model_1#18 arrives at 1706686.638039597, sleeping for 0.008569035679101944 seconds
Request model_6#56 arrives at 1706686.646998917, sleeping for 0.02875407785177231 seconds
Request model_1#19 arrives at 1706686.67675049, sleeping for 0.013842379208654165 seconds
Request model_1#20 arrives at 1706686.691487966, sleeping for 0.011235124431550503 seconds
Request model_1#21 arrives at 1706686.703245067, sleeping for 0.010610066587105393 seconds
Request model_6#57 arrives at 1706686.714064722, sleeping for 0.056666064308956265 seconds
Request model_1#22 arrives at 1706686.771640023, sleeping for 0.07247113436460495 seconds
Request model_5#6 arrives at 1706686.845292808, sleeping for 0.03576948237605393 seconds
Request model_1#23 arrives at 1706686.882816752, sleeping for 0.023990463465452194 seconds
Request model_1#24 arrives at 1706686.907417144, sleeping for 0.03452939749695361 seconds
Request model_6#58 arrives at 1706686.942084825, sleeping for 0.07765773055143654 seconds
Request model_6#59 arrives at 1706687.020719721, sleeping for 0.0211246395483613 seconds
Request model_6#60 arrives at 1706687.042294699, sleeping for 0.0004139754455536604 seconds
Request model_1#25 arrives at 1706687.042859604, sleeping for 0.08661233237944543 seconds
Request model_6#61 arrives at 1706687.131537138, sleeping for 0.13965113158337772 seconds
Request model_6#62 arrives at 1706687.272404819, sleeping for 0.012800629250705242 seconds
Request model_6#63 arrives at 1706687.287242945, sleeping for 0.03290792857296765 seconds
Request model_6#64 arrives at 1706687.320991459, sleeping for 0.005119510693475604 seconds
Request model_1#26 arrives at 1706687.327055656, sleeping for 0.01316331117413938 seconds
Request model_6#65 arrives at 1706687.341875722, sleeping for 0.1274501164443791 seconds
Request model_6#66 arrives at 1706687.470039225, sleeping for 0.01150197465904057 seconds
Request model_6#67 arrives at 1706687.48227081, sleeping for 0.04933652142062783 seconds
Request model_1#27 arrives at 1706687.53219862, sleeping for 0.17783869849517941 seconds
Request model_1#28 arrives at 1706687.711183651, sleeping for 0.06876081065274775 seconds
Request model_6#68 arrives at 1706687.781027527, sleeping for 0.03908400749787688 seconds
Request model_5#7 arrives at 1706687.820680197, sleeping for 0.119875343516469 seconds
Request model_1#29 arrives at 1706687.941443551, sleeping for 0.029273975174874067 seconds
Request model_6#69 arrives at 1706687.971074353, sleeping for 0.14622808597050607 seconds
Request model_6#70 arrives at 1706688.11782398, sleeping for 0.02586654294282198 seconds
Request model_6#71 arrives at 1706688.145532897, sleeping for 0.014900272944942117 seconds
Request model_6#72 arrives at 1706688.16122026, sleeping for 0.057641129940748215 seconds
Request model_1#30 arrives at 1706688.219927979, sleeping for 0.25371541967615485 seconds
Request model_6#73 arrives at 1706688.474745241, sleeping for 0.024863047525286674 seconds
Request model_6#74 arrives at 1706688.500449042, sleeping for 0.019814795348793268 seconds
Request model_6#75 arrives at 1706688.521123544, sleeping for 0.04995365347713232 seconds
Request model_6#76 arrives at 1706688.57177923, sleeping for 0.06602506735362113 seconds
Request model_6#77 arrives at 1706688.638473622, sleeping for 0.02194746909663081 seconds
Request model_6#78 arrives at 1706688.661124709, sleeping for 0.005076739005744457 seconds
Request model_6#79 arrives at 1706688.666765963, sleeping for 0.105888731777668 seconds
Request model_1#31 arrives at 1706688.773487477, sleeping for 0.012543627060949802 seconds
Request model_6#80 arrives at 1706688.786381778, sleeping for 0.010743571678176522 seconds
Request model_1#32 arrives at 1706688.798021359, sleeping for 0.0031861383467912674 seconds
Request model_6#81 arrives at 1706688.801644477, sleeping for 0.09036234160885215 seconds
Request model_1#33 arrives at 1706688.892319927, sleeping for 0.05570824141614139 seconds
Request model_6#82 arrives at 1706688.94900737, sleeping for 0.05633438820950687 seconds
Request model_1#34 arrives at 1706689.005710503, sleeping for 0.012772175949066877 seconds
Request model_6#83 arrives at 1706689.018877536, sleeping for 0.06546300021000206 seconds
Request model_6#84 arrives at 1706689.08456832, sleeping for 0.05649797315709293 seconds
Request model_1#35 arrives at 1706689.141271703, sleeping for 0.04890202614478767 seconds
Request model_6#85 arrives at 1706689.190948582, sleeping for 0.06611771881580353 seconds
Request model_6#86 arrives at 1706689.257360921, sleeping for 0.06247353390790522 seconds
Request model_6#87 arrives at 1706689.320196702, sleeping for 0.037939679343253374 seconds
Request model_6#88 arrives at 1706689.359095686, sleeping for 0.00549318571574986 seconds
Request model_6#89 arrives at 1706689.365089473, sleeping for 0.03165533719584346 seconds
Request model_1#36 arrives at 1706689.397868879, sleeping for 0.0005452141631394625 seconds
Request model_6#90 arrives at 1706689.398691036, sleeping for 0.0006983727216720581 seconds
Request model_6#91 arrives at 1706689.400412069, sleeping for 0.027238256996497512 seconds
Request model_3#10 arrives at 1706689.428132046, sleeping for 0.0160615227650851 seconds
Request model_1#37 arrives at 1706689.464500401, sleeping for 0 seconds
Request model_6#92 arrives at 1706689.465068035, sleeping for 0.09999880171380937 seconds
Request model_6#93 arrives at 1706689.565552141, sleeping for 0.030600850004702806 seconds
Request model_6#94 arrives at 1706689.596400942, sleeping for 0.006041298387572169 seconds
Request model_1#38 arrives at 1706689.603202755, sleeping for 0.08204754651524127 seconds
Request model_6#95 arrives at 1706689.685992772, sleeping for 0.020606835605576634 seconds
Request model_6#96 arrives at 1706689.706915026, sleeping for 0.08497982751578093 seconds
Request model_6#97 arrives at 1706689.792714176, sleeping for 0.03813675441779196 seconds
Request model_6#98 arrives at 1706689.83149481, sleeping for 0.0861082193441689 seconds
Request model_1#39 arrives at 1706689.918287508, sleeping for 0.015306529123336077 seconds
Request model_1#40 arrives at 1706689.934046112, sleeping for 0.007724961033090949 seconds
Request model_6#99 arrives at 1706689.94279866, sleeping for 0.03290913091041148 seconds
Request model_6#100 arrives at 1706689.976640455, sleeping for 0.07032520207576454 seconds
Request model_6#101 arrives at 1706690.047415098, sleeping for 0.06681259255856276 seconds
Request model_6#102 arrives at 1706690.116210276, sleeping for 0.059445787919685245 seconds
Request model_6#103 arrives at 1706690.176376746, sleeping for 0.11387716815806925 seconds
Request model_3#11 arrives at 1706690.291218744, sleeping for 0.05083416937850416 seconds
Request model_6#104 arrives at 1706690.343082829, sleeping for 0.18256080569699407 seconds
Request model_6#105 arrives at 1706690.52610372, sleeping for 0.012097107479348779 seconds
Request model_1#41 arrives at 1706690.538771779, sleeping for 0.11439887038432062 seconds
Request model_6#106 arrives at 1706690.653467456, sleeping for 0 seconds
Request model_6#107 arrives at 1706690.653815999, sleeping for 0.18019277323037386 seconds
Request model_6#108 arrives at 1706690.83439273, sleeping for 0.14598308806307614 seconds
Request model_1#42 arrives at 1706690.980656454, sleeping for 0.09634764329530299 seconds
Request model_1#43 arrives at 1706691.077681902, sleeping for 0.038086106767877936 seconds
Request model_6#109 arrives at 1706691.116503436, sleeping for 0.06352445925585926 seconds
Request model_6#110 arrives at 1706691.180278294, sleeping for 0.14480144227854908 seconds
Request model_1#44 arrives at 1706691.326141124, sleeping for 0.017162564676254988 seconds
Request model_1#45 arrives at 1706691.344063794, sleeping for 0.02401551464572549 seconds
Request model_1#46 arrives at 1706691.368813388, sleeping for 0.018752290168777108 seconds
Request model_6#111 arrives at 1706691.388548842, sleeping for 0.05012659914791584 seconds
Request model_1#47 arrives at 1706691.439285559, sleeping for 0.1670757276006043 seconds
Request model_1#48 arrives at 1706691.607166271, sleeping for 0.012701646191999316 seconds
Request model_6#112 arrives at 1706691.620063612, sleeping for 0.00546955899335444 seconds
Request model_6#113 arrives at 1706691.625827857, sleeping for 0.09082826250232756 seconds
Request model_6#114 arrives at 1706691.717630394, sleeping for 0.08084510336630046 seconds
Request model_6#115 arrives at 1706691.799430684, sleeping for 0.03653053566813469 seconds
