Real trace file: /root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r20_s42.pkl
[PRISM_DIRECT] 8498 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed42
Generated 8498 requests
Request model_5#0 arrives at 1748953.137316588, sleeping for 0.07869131560437381 seconds
Request model_5#1 arrives at 1748953.216600832, sleeping for 0.02766188303939998 seconds
Request model_1#0 arrives at 1748953.246154347, sleeping for 0.03851550235413015 seconds
Request model_5#2 arrives at 1748953.285379615, sleeping for 0.0273104184307158 seconds
Request model_6#0 arrives at 1748953.312934482, sleeping for 0.030534424586221576 seconds
Request model_6#1 arrives at 1748953.344560845, sleeping for 0.2596987555734813 seconds
Request model_5#3 arrives at 1748953.605483025, sleeping for 0.08545362506993115 seconds
Request model_5#4 arrives at 1748953.691328025, sleeping for 0.2845189308281988 seconds
Request model_3#0 arrives at 1748953.977623594, sleeping for 0.024663111427798867 seconds
Request model_5#5 arrives at 1748954.003365406, sleeping for 0.0688121379353106 seconds
Request model_6#2 arrives at 1748954.073343569, sleeping for 0.026846184162423015 seconds
Request model_1#1 arrives at 1748954.101464271, sleeping for 0.04478034772910178 seconds
Request model_5#6 arrives at 1748954.14671279, sleeping for 0.039849769324064255 seconds
Request model_5#7 arrives at 1748954.187452022, sleeping for 0.028746083611622453 seconds
Request model_3#1 arrives at 1748954.217181748, sleeping for 0.09897891758009791 seconds
Request model_5#8 arrives at 1748954.316941648, sleeping for 0.06671486864797771 seconds
Request model_5#9 arrives at 1748954.38565948, sleeping for 0.05086786230094731 seconds
Request model_5#10 arrives at 1748954.437381096, sleeping for 0.09010142274200916 seconds
Request model_5#11 arrives at 1748954.527887106, sleeping for 0.027704197447746992 seconds
Request model_6#3 arrives at 1748954.556129199, sleeping for 0.06953741726465523 seconds
Request model_5#12 arrives at 1748954.626529016, sleeping for 0.010699596721678972 seconds
Request model_5#13 arrives at 1748954.638291007, sleeping for 0.26729308255016804 seconds
Request model_2#0 arrives at 1748954.907223375, sleeping for 0.11701909499242902 seconds
Request model_5#14 arrives at 1748955.025119621, sleeping for 0.08587213954888284 seconds
Request model_5#15 arrives at 1748955.111220113, sleeping for 0.00509114726446569 seconds
Request model_5#16 arrives at 1748955.116991123, sleeping for 0 seconds
Request model_3#2 arrives at 1748955.117317496, sleeping for 0.14138230890966952 seconds
Request model_5#17 arrives at 1748955.259261199, sleeping for 0.0070021136198192835 seconds
Request model_5#18 arrives at 1748955.267073696, sleeping for 0 seconds
Request model_5#19 arrives at 1748955.267680451, sleeping for 0.1010794120375067 seconds
Request model_5#20 arrives at 1748955.369515489, sleeping for 0.04878670000471175 seconds
Request model_6#4 arrives at 1748955.418858793, sleeping for 0.20285272761248052 seconds
Request model_5#21 arrives at 1748955.622511818, sleeping for 0.018404228147119284 seconds
Request model_5#22 arrives at 1748955.642365279, sleeping for 0.0037710813339799643 seconds
Request model_5#23 arrives at 1748955.64712041, sleeping for 0.018613417632877827 seconds
Request model_5#24 arrives at 1748955.667047642, sleeping for 0.01429723366163671 seconds
Request model_6#5 arrives at 1748955.681815069, sleeping for 0.00541703961789608 seconds
Request model_6#6 arrives at 1748955.687534269, sleeping for 0.011178231798112392 seconds
Request model_5#25 arrives at 1748955.699235319, sleeping for 0.00912157422862947 seconds
Request model_2#1 arrives at 1748955.709925522, sleeping for 0.042865769704803824 seconds
Request model_5#26 arrives at 1748955.75380017, sleeping for 0.0021355836652219296 seconds
Request model_2#2 arrives at 1748955.756768605, sleeping for 0.02797723701223731 seconds
Request model_5#27 arrives at 1748955.785524923, sleeping for 0.02776502724736929 seconds
Request model_5#28 arrives at 1748955.814458012, sleeping for 0.018004959914833307 seconds
Request model_1#2 arrives at 1748955.834288223, sleeping for 0.019989306572824717 seconds
Request model_2#3 arrives at 1748955.854974021, sleeping for 0.009778191335499287 seconds
Request model_3#3 arrives at 1748955.864919957, sleeping for 0.024666567100211978 seconds
Request model_5#29 arrives at 1748955.890620418, sleeping for 0.05123681062832475 seconds
Request model_3#4 arrives at 1748955.942289484, sleeping for 0.00274105672724545 seconds
Request model_6#7 arrives at 1748955.945976895, sleeping for 0.06723857787437737 seconds
Request model_5#30 arrives at 1748956.014671857, sleeping for 0.09890032233670354 seconds
Request model_5#31 arrives at 1748956.114425077, sleeping for 0.00994900893419981 seconds
Request model_2#4 arrives at 1748956.12522112, sleeping for 0.04660569806583226 seconds
Request model_5#32 arrives at 1748956.17292617, sleeping for 0.06455087964423001 seconds
Request model_3#5 arrives at 1748956.237647587, sleeping for 0.011375427944585681 seconds
Request model_5#33 arrives at 1748956.249349398, sleeping for 0.15611693146638572 seconds
Request model_5#34 arrives at 1748956.40624846, sleeping for 0.13311016419902444 seconds
Request model_1#3 arrives at 1748956.540248244, sleeping for 0.025078753009438515 seconds
Request model_5#35 arrives at 1748956.566462049, sleeping for 0.028683337615802884 seconds
Request model_6#8 arrives at 1748956.596152985, sleeping for 0.011771192774176598 seconds
Request model_5#36 arrives at 1748956.608917415, sleeping for 0.04554077470675111 seconds
Request model_5#37 arrives at 1748956.655255914, sleeping for 0.010530169820412993 seconds
Request model_3#6 arrives at 1748956.666647902, sleeping for 0.031532216584309936 seconds
Request model_5#38 arrives at 1748956.699092262, sleeping for 0.005527136381715536 seconds
Request model_5#39 arrives at 1748956.705409656, sleeping for 0.011906221508979797 seconds
Request model_1#4 arrives at 1748956.717719162, sleeping for 0.1230425420217216 seconds
Request model_5#40 arrives at 1748956.841047394, sleeping for 0.0019627916626632214 seconds
Request model_3#7 arrives at 1748956.880261762, sleeping for 0 seconds
Request model_5#41 arrives at 1748956.880612955, sleeping for 0.0019035192672163248 seconds
Request model_6#9 arrives at 1748956.883660691, sleeping for 0.057230623671785 seconds
Request model_5#42 arrives at 1748956.941889623, sleeping for 0.03205114952288568 seconds
Request model_1#5 arrives at 1748956.974226311, sleeping for 0.05169623252004385 seconds
Request model_5#43 arrives at 1748957.026543872, sleeping for 0.03209070139564574 seconds
Request model_1#6 arrives at 1748957.059832779, sleeping for 0.07572874962352216 seconds
Request model_6#10 arrives at 1748957.136444768, sleeping for 0.045557033736258745 seconds
Request model_5#44 arrives at 1748957.182420934, sleeping for 0.03208454977720976 seconds
Request model_5#45 arrives at 1748957.215127455, sleeping for 0.02282321499660611 seconds
Request model_5#46 arrives at 1748957.238816859, sleeping for 0.016179191879928112 seconds
Request model_6#11 arrives at 1748957.255508403, sleeping for 0.0012191396672278643 seconds
Request model_5#47 arrives at 1748957.257225768, sleeping for 0.019632604671642184 seconds
Request model_1#7 arrives at 1748957.278001197, sleeping for 0.003135921200737357 seconds
Request model_1#8 arrives at 1748957.281675378, sleeping for 0.02304070070385933 seconds
Request model_5#48 arrives at 1748957.305370732, sleeping for 0.12579338578507304 seconds
Request model_5#49 arrives at 1748957.432105733, sleeping for 0.050393070094287395 seconds
Request model_5#50 arrives at 1748957.482949371, sleeping for 0.12160909129306674 seconds
Request model_5#51 arrives at 1748957.604964101, sleeping for 0.15110128209926188 seconds
Request model_1#9 arrives at 1748957.757090111, sleeping for 0.02641072543337941 seconds
Request model_1#10 arrives at 1748957.783743541, sleeping for 0.03807468176819384 seconds
Request model_3#8 arrives at 1748957.823001509, sleeping for 0.005450748372823 seconds
Request model_3#9 arrives at 1748957.829250263, sleeping for 0.022333706496283412 seconds
Request model_2#5 arrives at 1748957.852416842, sleeping for 0.030890869675204158 seconds
Request model_5#52 arrives at 1748957.883649581, sleeping for 0.010915762046352029 seconds
Request model_5#53 arrives at 1748957.894971338, sleeping for 0.014952910132706165 seconds
Request model_5#54 arrives at 1748957.910213439, sleeping for 0.09334881254471838 seconds
Request model_6#12 arrives at 1748958.00436986, sleeping for 0.12565365247428417 seconds
Request model_5#55 arrives at 1748958.130841269, sleeping for 0.05608801287598908 seconds
Request model_5#56 arrives at 1748958.187261734, sleeping for 0.02214321424253285 seconds
