Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r20_s0.pkl
[PRISM_DIRECT] 8227 requests, span 419.8s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed0
Generated 8227 requests
Request model_3#0 arrives at 1619706.494698312, sleeping for 0.08169531030580401 seconds
Request model_6#0 arrives at 1619706.576880846, sleeping for 0.0024684532545506954 seconds
Request model_6#1 arrives at 1619706.58027036, sleeping for 0.019579206593334675 seconds
Request model_6#2 arrives at 1619706.600809106, sleeping for 0.014497472206130624 seconds
Request model_1#0 arrives at 1619706.616341358, sleeping for 0.027034258469939232 seconds
Request model_3#1 arrives at 1619706.643885005, sleeping for 0.10168990981765091 seconds
Request model_1#1 arrives at 1619706.746959829, sleeping for 0.06027897913008928 seconds
Request model_6#3 arrives at 1619706.808168712, sleeping for 0.02054095594212413 seconds
Request model_5#0 arrives at 1619706.82886689, sleeping for 0.02827566326595843 seconds
Request model_6#4 arrives at 1619706.857544641, sleeping for 0.000688799424096942 seconds
Request model_6#5 arrives at 1619706.859224593, sleeping for 0.03212622064165771 seconds
Request model_6#6 arrives at 1619706.891992618, sleeping for 0.017698240000754595 seconds
Request model_6#7 arrives at 1619706.911689002, sleeping for 0.03772717644460499 seconds
Request model_6#8 arrives at 1619706.950414084, sleeping for 0.028805802576243877 seconds
Request model_1#2 arrives at 1619706.980079988, sleeping for 0.032766494899988174 seconds
Request model_6#9 arrives at 1619707.014755817, sleeping for 0.049056268064305186 seconds
Request model_1#3 arrives at 1619707.06443718, sleeping for 0.009804874425753951 seconds
Request model_1#4 arrives at 1619707.07520573, sleeping for 0.04679679800756276 seconds
Request model_6#10 arrives at 1619707.122627344, sleeping for 0.09753267001360655 seconds
Request model_6#11 arrives at 1619707.220495461, sleeping for 0.00105098239146173 seconds
Request model_3#2 arrives at 1619707.222569458, sleeping for 0.005546760745346546 seconds
Request model_1#5 arrives at 1619707.229252574, sleeping for 0.06921288324519992 seconds
Request model_1#6 arrives at 1619707.299044697, sleeping for 0.011186222545802593 seconds
Request model_6#12 arrives at 1619707.311162494, sleeping for 0.010707122972235084 seconds
Request model_6#13 arrives at 1619707.322234087, sleeping for 0.01830776990391314 seconds
Request model_6#14 arrives at 1619707.342116405, sleeping for 0.09255705866962671 seconds
Request model_6#15 arrives at 1619707.435174429, sleeping for 0.14589728019200265 seconds
Request model_6#16 arrives at 1619707.581367311, sleeping for 0.0016478155739605427 seconds
Request model_6#17 arrives at 1619707.583200555, sleeping for 0.012299630558118224 seconds
Request model_6#18 arrives at 1619707.595976621, sleeping for 0.05007767956703901 seconds
Request model_6#19 arrives at 1619707.646683986, sleeping for 0.043861601734533906 seconds
Request model_6#20 arrives at 1619707.691562237, sleeping for 0.02877023327164352 seconds
Request model_6#21 arrives at 1619707.720637313, sleeping for 0.007393156178295612 seconds
Request model_6#22 arrives at 1619707.728596257, sleeping for 0.09628826519474387 seconds
Request model_6#23 arrives at 1619707.825685513, sleeping for 0.21785053657367826 seconds
Request model_6#24 arrives at 1619708.04409542, sleeping for 0.02436082740314305 seconds
Request model_1#7 arrives at 1619708.069026103, sleeping for 0.08331233100034297 seconds
Request model_3#3 arrives at 1619708.152918338, sleeping for 0.01024165959097445 seconds
Request model_6#25 arrives at 1619708.164059562, sleeping for 0.038248413940891623 seconds
Request model_6#26 arrives at 1619708.203114617, sleeping for 0.007989004952833056 seconds
Request model_6#27 arrives at 1619708.212253316, sleeping for 0.035069834906607866 seconds
Request model_6#28 arrives at 1619708.248441233, sleeping for 0.017125576036050916 seconds
Request model_3#4 arrives at 1619708.266590188, sleeping for 0.0007520869839936495 seconds
Request model_6#29 arrives at 1619708.267574121, sleeping for 0.060282191494479775 seconds
Request model_6#30 arrives at 1619708.328314156, sleeping for 0.09554848074913025 seconds
Request model_6#31 arrives at 1619708.42451146, sleeping for 0.029696120880544186 seconds
Request model_5#1 arrives at 1619708.454703711, sleeping for 0.00026322738267481327 seconds
Request model_1#8 arrives at 1619708.455229548, sleeping for 0.02786811674013734 seconds
Request model_1#9 arrives at 1619708.48402454, sleeping for 0.07141286227852106 seconds
Request model_6#32 arrives at 1619708.556866312, sleeping for 0.07075356994755566 seconds
Request model_6#33 arrives at 1619708.629768445, sleeping for 0.02641326142475009 seconds
Request model_6#34 arrives at 1619708.657684356, sleeping for 0.03526586596854031 seconds
Request model_3#5 arrives at 1619708.693574751, sleeping for 0.0006378353573381901 seconds
Request model_6#35 arrives at 1619708.695202812, sleeping for 0.02671805745922029 seconds
Request model_6#36 arrives at 1619708.722812719, sleeping for 0.021538483211770654 seconds
Request model_1#10 arrives at 1619708.745439212, sleeping for 0.07476699422113597 seconds
Request model_1#11 arrives at 1619708.821157171, sleeping for 0.04328570328652859 seconds
Request model_1#12 arrives at 1619708.865084019, sleeping for 0.06040048785507679 seconds
Request model_6#37 arrives at 1619708.92622655, sleeping for 0.04397464683279395 seconds
Request model_1#13 arrives at 1619708.971362413, sleeping for 0 seconds
Request model_6#38 arrives at 1619708.971922971, sleeping for 0.05122389178723097 seconds
Request model_6#39 arrives at 1619709.024285088, sleeping for 0 seconds
Request model_6#40 arrives at 1619709.024598522, sleeping for 0.03448297060094774 seconds
Request model_1#14 arrives at 1619709.059616465, sleeping for 0.05391727923415601 seconds
Request model_6#41 arrives at 1619709.114384263, sleeping for 0.04772842023521662 seconds
Request model_6#42 arrives at 1619709.163117373, sleeping for 0.05771996849216521 seconds
Request model_3#6 arrives at 1619709.221933354, sleeping for 0.03744952566921711 seconds
Request model_6#43 arrives at 1619709.259987745, sleeping for 0.0667891101911664 seconds
