Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r20_s0.pkl
[PRISM_DIRECT] 8227 requests, span 419.8s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed0
Generated 8227 requests
Request model_3#0 arrives at 1617264.634860925, sleeping for 0.08169635036028922 seconds
Request model_6#0 arrives at 1617264.717046397, sleeping for 0.002466445090249181 seconds
Request model_6#1 arrives at 1617264.72013236, sleeping for 0.019880729727447033 seconds
Request model_6#2 arrives at 1617264.740778534, sleeping for 0.014691537246108055 seconds
Request model_1#0 arrives at 1617264.756311919, sleeping for 0.027226960519328713 seconds
Request model_3#1 arrives at 1617264.783889305, sleeping for 0.1018488029949367 seconds
Request model_1#1 arrives at 1617264.88669285, sleeping for 0.06070895120501518 seconds
Request model_6#3 arrives at 1617264.948421839, sleeping for 0.02045178203843534 seconds
Request model_5#0 arrives at 1617264.969144414, sleeping for 0.028161422349512577 seconds
Request model_6#4 arrives at 1617264.997738346, sleeping for 0.0006585975643247366 seconds
Request model_6#5 arrives at 1617264.999400419, sleeping for 0.0321136477869004 seconds
Request model_6#6 arrives at 1617265.032102772, sleeping for 0.017752008978277445 seconds
Request model_6#7 arrives at 1617265.05199925, sleeping for 0.03758063167333603 seconds
Request model_6#8 arrives at 1617265.089786522, sleeping for 0.029596797423437238 seconds
Request model_1#2 arrives at 1617265.12048806, sleeping for 0.03252191608771682 seconds
Request model_6#9 arrives at 1617265.154194911, sleeping for 0.049781117122620344 seconds
Request model_1#3 arrives at 1617265.204227814, sleeping for 0.010177883319556713 seconds
Request model_1#4 arrives at 1617265.215192255, sleeping for 0.046974206110462546 seconds
Request model_6#10 arrives at 1617265.262995731, sleeping for 0.097327675903216 seconds
Request model_6#11 arrives at 1617265.360742609, sleeping for 0.0009667472913861275 seconds
Request model_3#2 arrives at 1617265.362446871, sleeping for 0.005832310765981674 seconds
Request model_1#5 arrives at 1617265.36902692, sleeping for 0.06960180029273033 seconds
Request model_1#6 arrives at 1617265.439764987, sleeping for 0.010629475582391024 seconds
Request model_6#12 arrives at 1617265.450701618, sleeping for 0.011331222020089626 seconds
Request model_6#13 arrives at 1617265.462386275, sleeping for 0.01831882493570447 seconds
Request model_6#14 arrives at 1617265.482063482, sleeping for 0.09277305472642183 seconds
Request model_6#15 arrives at 1617265.575847879, sleeping for 0.14538687327876687 seconds
Request model_6#16 arrives at 1617265.721926817, sleeping for 0.0012515825219452381 seconds
Request model_6#17 arrives at 1617265.723828241, sleeping for 0.011835337383672595 seconds
Request model_6#18 arrives at 1617265.736523656, sleeping for 0.049694097600877285 seconds
Request model_6#19 arrives at 1617265.787213643, sleeping for 0.04349478776566684 seconds
Request model_6#20 arrives at 1617265.830912678, sleeping for 0.029582635266706347 seconds
Request model_6#21 arrives at 1617265.860911832, sleeping for 0.007282020291313529 seconds
Request model_6#22 arrives at 1617265.868595029, sleeping for 0.09645279520191252 seconds
Request model_6#23 arrives at 1617265.96553429, sleeping for 0.21816563257016242 seconds
Request model_6#24 arrives at 1617266.184936404, sleeping for 0.023683996638283134 seconds
Request model_1#7 arrives at 1617266.209577087, sleeping for 0.08292482001706958 seconds
Request model_3#3 arrives at 1617266.293523992, sleeping for 0.009799838531762362 seconds
Request model_6#25 arrives at 1617266.304590744, sleeping for 0.03788023511879146 seconds
Request model_6#26 arrives at 1617266.343313673, sleeping for 0.007953011896461248 seconds
Request model_6#27 arrives at 1617266.352240569, sleeping for 0.035245804814621806 seconds
Request model_6#28 arrives at 1617266.388067436, sleeping for 0.01766244601458311 seconds
Request model_3#4 arrives at 1617266.40613873, sleeping for 0.001366608077660203 seconds
Request model_6#29 arrives at 1617266.408038254, sleeping for 0.059981231577694416 seconds
Request model_6#30 arrives at 1617266.468682666, sleeping for 0.0953433436807245 seconds
Request model_6#31 arrives at 1617266.564867852, sleeping for 0.029503141762688756 seconds
Request model_5#1 arrives at 1617266.595279388, sleeping for 0 seconds
Request model_1#8 arrives at 1617266.595985483, sleeping for 0.02727570477873087 seconds
Request model_1#9 arrives at 1617266.623959612, sleeping for 0.071642623282969 seconds
Request model_6#32 arrives at 1617266.697336288, sleeping for 0.07044709683395922 seconds
Request model_6#33 arrives at 1617266.768574408, sleeping for 0.027770871529355645 seconds
Request model_6#34 arrives at 1617266.796813248, sleeping for 0.03630099701695144 seconds
Request model_3#5 arrives at 1617266.833644233, sleeping for 0.000732246320694685 seconds
Request model_6#35 arrives at 1617266.83463021, sleeping for 0.027454342460259795 seconds
Request model_6#36 arrives at 1617266.862401467, sleeping for 0.022113718325272202 seconds
Request model_1#10 arrives at 1617266.885515659, sleeping for 0.07485464005731046 seconds
Request model_1#11 arrives at 1617266.960695738, sleeping for 0.04391089943237603 seconds
Request model_1#12 arrives at 1617267.005526672, sleeping for 0.06012142775580287 seconds
Request model_6#37 arrives at 1617267.066679877, sleeping for 0.04368476290255785 seconds
Request model_1#13 arrives at 1617267.111043797, sleeping for 0.00031040748581290245 seconds
Request model_6#38 arrives at 1617267.111869994, sleeping for 0.05143884173594415 seconds
Request model_6#39 arrives at 1617267.163732999, sleeping for 3.763008862733841e-05 seconds
Request model_6#40 arrives at 1617267.164619156, sleeping for 0.03462568949908018 seconds
Request model_1#14 arrives at 1617267.244931354, sleeping for 0.008766343351453543 seconds
Request model_6#41 arrives at 1617267.255854115, sleeping for 0.046422401210293174 seconds
Request model_6#42 arrives at 1617267.303050287, sleeping for 0.05795105756260455 seconds
Request model_3#6 arrives at 1617267.362194137, sleeping for 0.03735254565253854 seconds
Request model_6#43 arrives at 1617267.400432202, sleeping for 0.06650943635031581 seconds
