family,arm,workload,rate,seed,status,rc,verdict,completed,offered,aborted,alg2_order_violations,staged_return_failures,client_errors,lifecycle_gate,fatal_cuda_nccl,tau,window,cooldown,policy,trace,trace_sha256,trace_sha_matches_manifest,runtime_expected,path,problems
tau,T3,bursty,10,4,PASS,0,PASS,4324,4324,0,0,0,0,PASS,0,0.02595037368602512,60,30,kvpr-global-v4,bursty_r10_s4.pkl,c913720ee52bb33408ca6e9da5e414d1904922114ce88d3d223a729ded62f220,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T3/bursty/rate_10/seed_4,
tau,T4,bursty,8,3,PASS,0,PASS,3406,3406,0,0,0,0,PASS,0,0.03916286292302117,60,30,kvpr-global-v4,bursty_r8_s3.pkl,60be4c9d12767865c20223b1b1b717ab6225b2b7d3befe400f9c4f23b659cade,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T4/bursty/rate_8/seed_3,
tau,T4,bursty,8,4,PASS,0,PASS,3345,3345,0,0,0,0,PASS,0,0.03916286292302117,60,30,kvpr-global-v4,bursty_r8_s4.pkl,a000cf22307e017a2f11d43d3eae33275f26bbcf6292b5f2b808a0808335a699,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T4/bursty/rate_8/seed_4,
tau,T4,bursty,10,3,PASS,0,PASS,4271,4272,0,0,0,1,PASS,0,0.03916286292302117,60,30,kvpr-global-v4,bursty_r10_s3.pkl,e7afd7e09bac67809ac6ab6dd1fc732c631f90bbc2ba9945d135adf90370b8b0,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T4/bursty/rate_10/seed_3,
tau,T4,bursty,10,4,PASS,0,PASS,4324,4324,0,0,0,0,PASS,0,0.03916286292302117,60,30,kvpr-global-v4,bursty_r10_s4.pkl,c913720ee52bb33408ca6e9da5e414d1904922114ce88d3d223a729ded62f220,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T4/bursty/rate_10/seed_4,
tau,T5,bursty,8,3,PASS,0,PASS,3406,3406,0,0,0,0,PASS,0,1000000000.0,60,30,kvpr-global-v4,bursty_r8_s3.pkl,60be4c9d12767865c20223b1b1b717ab6225b2b7d3befe400f9c4f23b659cade,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T5/bursty/rate_8/seed_3,
tau,T5,bursty,8,4,PASS,0,PASS,3345,3345,0,0,0,0,PASS,0,1000000000.0,60,30,kvpr-global-v4,bursty_r8_s4.pkl,a000cf22307e017a2f11d43d3eae33275f26bbcf6292b5f2b808a0808335a699,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T5/bursty/rate_8/seed_4,
tau,T5,bursty,10,3,PASS,0,PASS,4272,4272,0,0,0,0,PASS,0,1000000000.0,60,30,kvpr-global-v4,bursty_r10_s3.pkl,e7afd7e09bac67809ac6ab6dd1fc732c631f90bbc2ba9945d135adf90370b8b0,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T5/bursty/rate_10/seed_3,
tau,T5,bursty,10,4,PASS,0,PASS,4324,4324,0,0,0,0,PASS,0,1000000000.0,60,30,kvpr-global-v4,bursty_r10_s4.pkl,c913720ee52bb33408ca6e9da5e414d1904922114ce88d3d223a729ded62f220,True,49f47ebd7c75aecd,exp/results/4het-tau-final/raw/prism-T5/bursty/rate_10/seed_4,
many_model,prototype,bursty,2,7,PASS,0,PASS,1015,1015,0,0,0,0,PASS,0,,,,simple-global,bursty_r2_s7.pkl,29754202a3e35afa21f6a3624254d41d9492f5d789931100c25d01aa7af5fc0e,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prototype/bursty/rate_2/seed_7,
many_model,prototype,bursty,2,8,PASS,0,PASS,1050,1050,0,0,0,0,PASS,0,,,,simple-global,bursty_r2_s8.pkl,186fb2c07b22958096d6ddaad501d4a829a0a49297bb66dceb3a731ea49d8f20,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prototype/bursty/rate_2/seed_8,
many_model,prototype,bursty,4,7,PASS,0,PASS,2131,2131,0,0,0,0,PASS,0,,,,simple-global,bursty_r4_s7.pkl,712a1f1dc04fa7a6a108f3dfc5f0d16138c9f7400d6c5b34e77b0f124b984512,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prototype/bursty/rate_4/seed_7,
many_model,prototype,bursty,4,8,PASS,0,PASS,2191,2191,0,0,0,0,PASS,0,,,,simple-global,bursty_r4_s8.pkl,b80795b59a75cb8cf9c12a833c710f291b797a0780323c9fe9e17f9d34be07bd,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prototype/bursty/rate_4/seed_8,
many_model,prototype,bursty,6,7,PASS,0,PASS,3196,3196,0,0,0,0,PASS,0,,,,simple-global,bursty_r6_s7.pkl,14454c567878afb689ccc4ca9c5bcdea05475146cbf639726600953771c3e415,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prototype/bursty/rate_6/seed_7,
many_model,prototype,bursty,6,8,PASS,0,PASS,3239,3239,0,0,0,0,PASS,0,,,,simple-global,bursty_r6_s8.pkl,1a2461795fae5453292400f2febd5846d9dd5b474031b7c81c8eb77dbf74c9d0,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prototype/bursty/rate_6/seed_8,
many_model,prototype,bursty,8,7,PASS,0,PASS,4274,4274,0,0,0,0,PASS,0,,,,simple-global,bursty_r8_s7.pkl,a734fd700713eb509361820ad177d2e565fb3016746269e94ea3a1d9311c230a,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prototype/bursty/rate_8/seed_7,
many_model,prototype,bursty,8,8,PASS,0,PASS,4374,4374,0,0,0,0,PASS,0,,,,simple-global,bursty_r8_s8.pkl,d902cb7cda27a940005a71d9a8f792214f78766f44c50ea00e0096f7603042e5,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prototype/bursty/rate_8/seed_8,
many_model,prototype,bursty,10,7,PASS,0,PASS,5280,5280,0,0,0,0,PASS,0,,,,simple-global,bursty_r10_s7.pkl,b6b540a4fdd129fb9529c2693aaf465c08f3fcb347409e098686c9fd82c36c46,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prototype/bursty/rate_10/seed_7,
many_model,prototype,bursty,10,8,PASS,0,PASS,5335,5335,0,0,0,0,PASS,0,,,,simple-global,bursty_r10_s8.pkl,c76d4cda6d50b5cdf7e96da37ca5294b035a55b938db4c669750c95aad338b04,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prototype/bursty/rate_10/seed_8,
many_model,prism,bursty,2,7,PASS,0,PASS,1015,1015,0,0,0,0,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,bursty_r2_s7.pkl,29754202a3e35afa21f6a3624254d41d9492f5d789931100c25d01aa7af5fc0e,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prism/bursty/rate_2/seed_7,
many_model,prism,bursty,2,8,PASS,0,PASS,1050,1050,0,0,0,0,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,bursty_r2_s8.pkl,186fb2c07b22958096d6ddaad501d4a829a0a49297bb66dceb3a731ea49d8f20,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prism/bursty/rate_2/seed_8,
many_model,prism,bursty,4,7,PASS,0,PASS,2130,2131,0,0,0,1,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,bursty_r4_s7.pkl,712a1f1dc04fa7a6a108f3dfc5f0d16138c9f7400d6c5b34e77b0f124b984512,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prism/bursty/rate_4/seed_7,
many_model,prism,bursty,4,8,PASS,0,PASS,2191,2191,0,0,0,0,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,bursty_r4_s8.pkl,b80795b59a75cb8cf9c12a833c710f291b797a0780323c9fe9e17f9d34be07bd,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prism/bursty/rate_4/seed_8,
many_model,prism,bursty,6,7,PASS,0,PASS,3196,3196,0,0,0,0,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,bursty_r6_s7.pkl,14454c567878afb689ccc4ca9c5bcdea05475146cbf639726600953771c3e415,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prism/bursty/rate_6/seed_7,
many_model,prism,bursty,6,8,PASS,0,PASS,3239,3239,0,0,0,0,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,bursty_r6_s8.pkl,1a2461795fae5453292400f2febd5846d9dd5b474031b7c81c8eb77dbf74c9d0,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prism/bursty/rate_6/seed_8,
many_model,prism,bursty,8,7,PASS,0,PASS,4274,4274,0,0,0,0,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,bursty_r8_s7.pkl,a734fd700713eb509361820ad177d2e565fb3016746269e94ea3a1d9311c230a,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prism/bursty/rate_8/seed_7,
many_model,prism,bursty,8,8,PASS,0,PASS,4373,4374,0,0,0,1,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,bursty_r8_s8.pkl,d902cb7cda27a940005a71d9a8f792214f78766f44c50ea00e0096f7603042e5,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prism/bursty/rate_8/seed_8,
many_model,prism,bursty,10,7,PASS,0,PASS,5280,5280,0,0,0,0,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,bursty_r10_s7.pkl,b6b540a4fdd129fb9529c2693aaf465c08f3fcb347409e098686c9fd82c36c46,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prism/bursty/rate_10/seed_7,
many_model,prism,bursty,10,8,PASS,0,PASS,5335,5335,0,0,0,0,PASS,0,0.012859417696566448,60,30,kvpr-global-v4,bursty_r10_s8.pkl,c76d4cda6d50b5cdf7e96da37ca5294b035a55b938db4c669750c95aad338b04,True,49f47ebd7c75aecd,exp/results/many-model-final/raw/prism/bursty/rate_10/seed_8,
final_4het,prototype,steady,2,5,PASS,0,PASS,818,818,0,0,0,0,PASS,0,,,,simple-global,steady_r2_s5.pkl,5bb86c5b152793036525b1d988824637eabd74b39562c629acc82a1ac46bcf7a,True,49f47ebd7c75aecd,exp/results/4het-final/raw/prototype/steady/rate_2/seed_5,
final_4het,prototype,steady,2,6,PASS,0,PASS,789,789,0,0,0,0,PASS,0,,,,simple-global,steady_r2_s6.pkl,b27f01d234dc51324e8531f5c68290a831678c4f74262880107cc74de8b067c1,True,49f47ebd7c75aecd,exp/results/4het-final/raw/prototype/steady/rate_2/seed_6,
final_4het,prototype,steady,4,5,PASS,0,PASS,1686,1686,0,0,0,0,PASS,0,,,,simple-global,steady_r4_s5.pkl,5f812af7142083e3b515da69c3f3bc100e54bd10970db16f42ec89eb0b42b36c,True,49f47ebd7c75aecd,exp/results/4het-final/raw/prototype/steady/rate_4/seed_5,
