Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r20_s0.pkl
[PRISM_DIRECT] 8227 requests, span 419.8s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed0
Generated 8227 requests
Request model_3#0 arrives at 1624673.213734427, sleeping for 0.08169475034810603 seconds
Request model_6#0 arrives at 1624673.295973306, sleeping for 0.002410818124189973 seconds
Request model_6#1 arrives at 1624673.298833407, sleeping for 0.020050894701853395 seconds
Request model_6#2 arrives at 1624673.319399639, sleeping for 0.014941684436053038 seconds
Request model_1#0 arrives at 1624673.335034642, sleeping for 0.027375519508495927 seconds
Request model_3#1 arrives at 1624673.362645602, sleeping for 0.10196380806155503 seconds
Request model_1#1 arrives at 1624673.465480333, sleeping for 0.06079288013279438 seconds
Request model_6#3 arrives at 1624673.52724556, sleeping for 0.020499092992395163 seconds
Request model_5#0 arrives at 1624673.547944553, sleeping for 0.028232685290277004 seconds
Request model_6#4 arrives at 1624673.576635588, sleeping for 0.0006325875874608755 seconds
Request model_6#5 arrives at 1624673.578318645, sleeping for 0.0320668937638402 seconds
Request model_6#6 arrives at 1624673.611083586, sleeping for 0.017642047256231308 seconds
Request model_6#7 arrives at 1624673.630802915, sleeping for 0.037648108555004 seconds
Request model_6#8 arrives at 1624673.66953096, sleeping for 0.02872411161661148 seconds
Request model_1#2 arrives at 1624673.699409799, sleeping for 0.032471548998728395 seconds
Request model_6#9 arrives at 1624673.732125021, sleeping for 0.050721829291433096 seconds
Request model_1#3 arrives at 1624673.783818067, sleeping for 0.009458742570132017 seconds
Request model_1#4 arrives at 1624673.79461244, sleeping for 0.046424902975559235 seconds
Request model_6#10 arrives at 1624673.841279727, sleeping for 0.09791501192376018 seconds
Request model_6#11 arrives at 1624673.940203893, sleeping for 0.00037735537625849247 seconds
Request model_3#2 arrives at 1624673.941288607, sleeping for 0.005861926823854446 seconds
Request model_1#5 arrives at 1624673.948170404, sleeping for 0.06932971836067736 seconds
Request model_1#6 arrives at 1624674.018026084, sleeping for 0.011239760788157582 seconds
Request model_6#12 arrives at 1624674.030363993, sleeping for 0.010540239280089736 seconds
Request model_6#13 arrives at 1624674.041060296, sleeping for 0.018516225973144174 seconds
Request model_6#14 arrives at 1624674.060726785, sleeping for 0.09298111381940544 seconds
Request model_6#15 arrives at 1624674.155170843, sleeping for 0.1449349713511765 seconds
Request model_6#16 arrives at 1624674.301050647, sleeping for 0.0009994546417146921 seconds
Request model_6#17 arrives at 1624674.303150305, sleeping for 0.01138446549884975 seconds
Request model_6#18 arrives at 1624674.314841662, sleeping for 0.050247343722730875 seconds
Request model_6#19 arrives at 1624674.366881131, sleeping for 0.04269866179674864 seconds
Request model_6#20 arrives at 1624674.410605786, sleeping for 0.028760879300534725 seconds
Request model_6#21 arrives at 1624674.440321375, sleeping for 0.0067436592653393745 seconds
Request model_6#22 arrives at 1624674.448079796, sleeping for 0.0958392103202641 seconds
Request model_6#23 arrives at 1624674.544833283, sleeping for 0.21773699158802629 seconds
Request model_6#24 arrives at 1624674.763855451, sleeping for 0.023635161574929953 seconds
Request model_1#7 arrives at 1624674.78859855, sleeping for 0.08277439908124506 seconds
Request model_3#3 arrives at 1624674.872323625, sleeping for 0.009870327776297927 seconds
Request model_6#25 arrives at 1624674.883044658, sleeping for 0.03829758311621845 seconds
Request model_6#26 arrives at 1624674.921754233, sleeping for 0.008383824024349451 seconds
Request model_6#27 arrives at 1624674.930596258, sleeping for 0.035761147970333695 seconds
Request model_6#28 arrives at 1624674.968309749, sleeping for 0.016291115200147033 seconds
Request model_3#4 arrives at 1624674.985030886, sleeping for 0.0013455941807478666 seconds
Request model_6#29 arrives at 1624674.986715093, sleeping for 0.060175984632223845 seconds
Request model_6#30 arrives at 1624675.047418666, sleeping for 0.09547798568382859 seconds
Request model_6#31 arrives at 1624675.143237891, sleeping for 0.030004074797034264 seconds
Request model_5#1 arrives at 1624675.174368965, sleeping for 0 seconds
Request model_1#8 arrives at 1624675.174724527, sleeping for 0.027408102992922068 seconds
Request model_1#9 arrives at 1624675.202601248, sleeping for 0.07187072932720184 seconds
Request model_6#32 arrives at 1624675.274849878, sleeping for 0.07180471904575825 seconds
Request model_6#33 arrives at 1624675.348811105, sleeping for 0.02640488650649786 seconds
Request model_6#34 arrives at 1624675.376598366, sleeping for 0.03538652113638818 seconds
Request model_3#5 arrives at 1624675.41256653, sleeping for 0.000680951401591301 seconds
Request model_6#35 arrives at 1624675.414361927, sleeping for 0.026593747548758984 seconds
Request model_6#36 arrives at 1624675.442061169, sleeping for 0.021324788220226765 seconds
Request model_1#10 arrives at 1624675.463780965, sleeping for 0.07545999623835087 seconds
Request model_1#11 arrives at 1624675.539547399, sleeping for 0.04392981040291488 seconds
Request model_1#12 arrives at 1624675.584252969, sleeping for 0.06026592291891575 seconds
Request model_6#37 arrives at 1624675.645046572, sleeping for 0.04418853996321559 seconds
Request model_1#13 arrives at 1624675.689741752, sleeping for 0.0004829145036637783 seconds
Request model_6#38 arrives at 1624675.690328684, sleeping for 0.051851593889296055 seconds
Request model_6#39 arrives at 1624675.743970169, sleeping for 0 seconds
Request model_6#40 arrives at 1624675.888182727, sleeping for 0 seconds
Request model_1#14 arrives at 1624675.888536039, sleeping for 0 seconds
Request model_6#41 arrives at 1624675.88891107, sleeping for 0 seconds
Request model_6#42 arrives at 1624675.889323082, sleeping for 0.05054907454177737 seconds
Request model_3#6 arrives at 1624675.940613357, sleeping for 0.03780447784811258 seconds
Request model_6#43 arrives at 1624675.979354423, sleeping for 0.0664571572560817 seconds
Request model_1#15 arrives at 1624676.04607194, sleeping for 0.02732261293567717 seconds
