migration_id,model,source_gpu,target_gpu,migration_decision,target_prepare_start,target_prepare_end,target_ready,source_quiesce_request,source_quiesce_begin,request_drain_start,request_drain_end,kv_stash_start,kv_stash_end,weight_transfer_start,weight_transfer_end,kv_transfer_start,kv_transfer_end,target_inject_start,target_inject_end,routing_switch_start,routing_switch_end,source_release,first_request_on_target,first_decode_on_target,weight_bytes,weight_source,weight_transfer_path,weight_bytes_p2p,weight_gbps,kv_bytes,kv_transfer_path,kv_gbps,kv_requests_moved,kv_tokens_moved,kv_requests_skipped_over_cap,target_prepare_s,target_ready_to_quiesce_s,quiesce_control_s,request_drain_s,kv_stash_s,weight_transfer_s,kv_transfer_s,target_inject_total_s,kv_inject_s,routing_switch_s,routing_to_first_request_s,first_request_to_first_decode_s,exposed_downtime_s,total_migration_wall_s
1,model_3,1,0,1787401367.548869,1787401367.5504587,1787401369.8808455,1787401369.8761797,1787401369.8814287,1787401369.91191,1787401369.912063,1787401370.053632,1787401370.05388,1787401370.1928325,1787401368.5976963,1787401369.0204575,1787401373.4849184,1787401373.8512113,1787401371.11791,1787401374.6220846,1787401374.6252658,1787401374.6252759,1787401371.1030648,1787401374.6603284,1787401376.0923853,7213504512,gpu,gpu-to-gpu-p2p,7213504512,17.062929957484723,238780416,gpu-to-gpu-p2p,0.652,11,2082,0,2.325721025466919,0.03573036193847656,0.030481338500976562,0.1415691375732422,0.13895249366760254,0.4227612018585205,0.36629295349121094,3.5041747093200684,3.1378817558288574,1.0013580322265625e-05,0.03505253791809082,1.4320569038391113,4.74841833114624,8.543516397476196
2,model_1,0,1,1787401400.6068332,1787401400.6078727,1787401402.295298,1787401402.292251,1787401402.2960837,1787401402.3103902,1787401402.3105328,1787401403.370721,1787401403.3709261,1787401404.8827765,1787401400.7054203,1787401400.8922908,1787401410.0735652,1787401411.4226167,1787401406.3924806,1787401411.5808866,1787401411.5837626,1787401411.5837712,1787401406.384425,1787401411.641924,1787401414.4428906,2996965376,gpu,gpu-to-gpu-p2p,2996965376,16.03779770471541,426934272,gpu-to-gpu-p2p,0.316,43,13029,0,1.6843783855438232,0.018139123916625977,0.01430654525756836,1.0601882934570312,1.511850357055664,0.18687057495117188,1.3490514755249023,5.188405990600586,3.8393545150756836,8.58306884765625e-06,0.05815267562866211,2.800966739654541,9.331533670425415,13.836057424545288
3,model_4,0,1,1787401432.6480255,1787401432.6500442,1787401434.5935435,1787401434.5908635,1787401434.594623,1787401434.6409612,1787401434.6411064,1787401437.1587572,1787401437.1591249,1787401440.0071142,1787401432.874055,1787401433.3100138,1787401443.995945,1787401450.5876808,1787401442.02579,1787401450.8875544,1787401450.8908257,1787401450.890835,1787401442.0087655,1787401450.9304903,1787401458.5047119,6794207232,gpu,gpu-to-gpu-p2p,6794207232,15.58459420950038,1501802496,gpu-to-gpu-p2p,0.228,98,40739,0,1.940819263458252,0.05009770393371582,0.04633808135986328,2.517650842666626,2.847989320755005,0.4359588623046875,6.59173583984375,8.861764430999756,2.270028591156006,9.298324584960938e-06,0.039655208587646484,7.574221611022949,16.2895290851593,25.85668635368347
4,model_3,0,1,1787401466.4021068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,model_5,0,1,1787401513.4606175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
