migration_id,model,source_gpu,target_gpu,migration_decision,target_prepare_start,target_prepare_end,target_ready,source_quiesce_request,source_quiesce_begin,request_drain_start,request_drain_end,kv_stash_start,kv_stash_end,weight_transfer_start,weight_transfer_end,kv_transfer_start,kv_transfer_end,target_inject_start,target_inject_end,routing_switch_start,routing_switch_end,source_release,first_request_on_target,first_decode_on_target,weight_bytes,weight_source,weight_transfer_path,weight_bytes_p2p,weight_gbps,kv_bytes,kv_transfer_path,kv_gbps,kv_requests_moved,kv_tokens_moved,kv_requests_skipped_over_cap,target_prepare_s,target_ready_to_quiesce_s,quiesce_control_s,request_drain_s,kv_stash_s,weight_transfer_s,kv_transfer_s,target_inject_total_s,kv_inject_s,routing_switch_s,routing_to_first_request_s,first_request_to_first_decode_s,exposed_downtime_s,total_migration_wall_s
1,model_6,1,0,1787403625.614593,1787403625.6198554,1787403629.112006,1787403629.104677,1787403629.1135168,1787403629.1313584,1787403629.1316614,1787403629.2762976,1787403629.276918,1787403630.451451,1787403625.9435966,1787403627.4832516,1787403634.0991142,1787403635.3539386,1787403631.7704408,1787403635.4932747,1787403635.4966297,1787403635.496641,1787403631.7610683,1787403635.567868,1787403638.524758,15231233024,gpu,gpu-to-gpu-p2p,15231233024,9.892666248802957,463626240,gpu-to-gpu-p2p,0.369,22,8085,0,3.4848215579986572,0.02668142318725586,0.017841577529907227,0.1446361541748047,1.1745331287384033,1.5396549701690674,1.2548243999481201,3.7228338718414307,2.4680094718933105,1.1205673217773438e-05,0.0712270736694336,2.956890106201172,6.436509609222412,12.910165071487427
2,model_1,0,1,1787403656.379285,1787403656.3835611,1787403658.0819445,1787403658.0777884,1787403658.0826535,1787403658.138797,1787403658.1390421,1787403658.4296474,1787403658.4298916,1787403661.1584246,1787403656.6370776,1787403656.9488943,1787403665.537017,1787403669.4009209,1787403662.4759414,1787403669.6733556,1787403669.6785982,1787403669.6786063,1787403662.4678733,1787403669.7273993,1787403672.949012,2996965376,gpu,gpu-to-gpu-p2p,2996965376,9.611541445881308,504987648,gpu-to-gpu-p2p,0.131,53,15411,0,1.6942272186279297,0.06100869178771973,0.05614352226257324,0.2906053066253662,2.7285330295562744,0.3118166923522949,3.863903760910034,7.19741415977478,3.333510398864746,8.106231689453125e-06,0.04879307746887207,3.2216126918792725,11.588602304458618,16.569726943969727
3,model_6,0,1,1787403690.4128242,,,,1787403690.4148939,1787403690.6641996,1787403690.6643803,1787403690.664538,1787403690.664702,1787403690.6717153,1787403888.3148396,1787403888.6516204,,,,,,,1787403692.2949374,,,3554176000,gpu,gpu-to-gpu-p2p,3554176000,10.553494402102366,,,,,,,,,0.24930572509765625,0.0001575946807861328,0.0070133209228515625,0.3367807865142822,,,,,,,,
4,model_4,0,1,1787403721.3373454,,,,1787403767.8139288,1787403767.8762856,1787403767.8765876,1787403767.8768387,1787403767.877173,1787403767.880023,1787403888.3148396,1787403888.6516204,,,,,,,1787403769.454937,,,3554176000,gpu,gpu-to-gpu-p2p,3554176000,10.553494402102366,,,,,,,,,0.06235671043395996,0.0002510547637939453,0.002850055694580078,0.3367807865142822,,,,,,,,
5,model_1,1,0,1787403767.8105767,,,,1787403767.819573,1787403767.8766675,1787403767.8768618,1787403767.8770578,1787403767.877255,1787403767.878635,1787403851.9390461,1787403852.5002763,,,,,,,1787403769.5205317,,,7213504512,gpu,gpu-to-gpu-p2p,7213504512,12.853049837424406,,,,,,,,,0.057094573974609375,0.00019598007202148438,0.0013799667358398438,0.5612301826477051,,,,,,,,
6,model_3,1,0,1787403851.249383,1787403851.252182,1787403854.085294,1787403853.6213484,1787403854.08599,1787403854.4950302,1787403854.4951677,1787403854.9459994,1787403854.9462786,1787403856.2535744,1787403851.9390461,1787403852.5002763,1787403863.1970723,1787403864.783322,1787403860.5031166,1787403864.8903646,1787403864.894281,1787403864.8942952,1787403860.4955668,1787403864.9611752,1787403868.3169024,7213504512,gpu,gpu-to-gpu-p2p,7213504512,12.853049837424406,530890752,gpu-to-gpu-p2p,0.335,15,4629,0,2.369166374206543,0.8736817836761475,0.4090402126312256,0.45083165168762207,1.307295799255371,0.5612301826477051,1.586249828338623,4.3872480392456055,2.8009982109069824,1.430511474609375e-05,0.0668799877166748,3.355727195739746,10.466145038604736,17.067519426345825
7,model_2,0,1,1787403885.8138278,1787403885.8298247,1787403889.6645944,1787403889.6596231,1787403889.6650183,1787403889.6913025,1787403889.691446,1787403889.9218903,1787403889.922121,1787403891.4990597,1787403888.3148396,1787403888.6516204,1787403894.6113653,1787403898.6590626,1787403893.3389456,1787403898.8354385,1787403898.8405097,1787403898.8405201,1787403893.33126,1787403898.8893943,1787403901.704361,3554176000,gpu,gpu-to-gpu-p2p,3554176000,10.553494402102366,323391488,gpu-to-gpu-p2p,0.08,28,11279,0,3.829798460006714,0.031679391860961914,0.026284217834472656,0.23044419288635254,1.5769386291503906,0.3367807865142822,4.047697305679321,5.496492862701416,1.4487955570220947,1.049041748046875e-05,0.0488741397857666,2.8149666786193848,9.198091745376587,15.890533208847046
