migration_id,model,source_gpu,target_gpu,migration_decision,target_prepare_start,target_prepare_end,target_ready,source_quiesce_request,source_quiesce_begin,request_drain_start,request_drain_end,kv_stash_start,kv_stash_end,weight_transfer_start,weight_transfer_end,kv_transfer_start,kv_transfer_end,target_inject_start,target_inject_end,routing_switch_start,routing_switch_end,source_release,first_request_on_target,first_decode_on_target,weight_bytes,weight_source,weight_transfer_path,weight_bytes_p2p,weight_gbps,kv_bytes,kv_transfer_path,kv_gbps,kv_requests_moved,kv_tokens_moved,kv_requests_skipped_over_cap,target_prepare_s,target_ready_to_quiesce_s,quiesce_control_s,request_drain_s,kv_stash_s,weight_transfer_s,kv_transfer_s,target_inject_total_s,kv_inject_s,routing_switch_s,routing_to_first_request_s,first_request_to_first_decode_s,exposed_downtime_s,total_migration_wall_s
1,model_3,1,0,1787399048.1524992,1787399048.1554902,1787399049.7536497,1787399049.7484152,1787399049.754297,1787399049.7722242,1787399049.772368,1787399049.989479,1787399049.9898117,1787399051.1358469,1787399048.4171798,1787399048.9599545,1787399055.1486418,1787399056.9262824,1787399052.3397212,1787399057.8739774,1787399057.8771868,1787399057.877194,1787399052.333913,1787399057.9827003,1787399060.8953865,7213504512,gpu,gpu-to-gpu-p2p,7213504512,13.290072062637133,834125824,gpu-to-gpu-p2p,0.469,16,7273,0,1.5929250717163086,0.023808956146240234,0.017927169799804688,0.21711111068725586,1.1460351943969727,0.5427746772766113,1.7776405811309814,5.534256219863892,3.75661563873291,7.152557373046875e-06,0.10550642013549805,2.9126861095428467,8.210476160049438,12.742887258529663
2,model_1,0,1,1787399078.4218524,1787399078.4237158,1787399079.9621506,1787399079.9587052,1787399079.9626558,1787399079.9678845,1787399079.9680188,1787399080.2443097,1787399080.2444513,1787399083.4761448,1787399078.7404652,1787399078.927737,1787399090.8846738,1787399092.5753243,1787399088.0757847,1787399092.7134278,1787399092.7161376,1787399092.7161438,1787399088.0665562,1787399092.7571454,1787399095.7476108,2996965376,gpu,gpu-to-gpu-p2p,2996965376,16.003341387114308,442662912,gpu-to-gpu-p2p,0.262,50,13509,0,1.534989356994629,0.009179353713989258,0.005228757858276367,0.2762908935546875,3.2316935062408447,0.1872718334197998,1.690650463104248,4.637643098831177,2.9469926357269287,6.198883056640625e-06,0.04100155830383301,2.9904654026031494,12.789260864257812,17.325758457183838
3,model_4,0,1,1787399113.0318022,1787399113.0330565,1787399114.8330917,1787399114.8304758,1787399114.835343,1787399114.8448749,1787399114.8451922,1787399117.659643,1787399117.6602056,1787399122.1414068,1787399113.2402585,1787399113.67506,1787399128.0642939,1787399143.0270708,1787399123.8564167,1787399144.669661,1787399144.6745079,1787399144.674515,1787399123.8473732,1787399144.7605033,1787399152.0684266,6794207232,gpu,gpu-to-gpu-p2p,6794207232,15.62608530710463,1638973440,gpu-to-gpu-p2p,0.11,114,44460,0,1.7974193096160889,0.014399051666259766,0.009531974792480469,2.814450740814209,4.481201171875,0.4348015785217285,14.962776899337769,20.813244342803955,5.8504674434661865,7.152557373046875e-06,0.08598828315734863,7.307923316955566,29.91562843322754,39.03662443161011
4,model_3,0,1,1787399144.73466,1787399144.7357635,1787399147.452693,1787399147.4499216,1787399147.4532073,1787399147.7560568,1787399147.7561915,1787399153.7272882,1787399153.7275257,1787399159.641182,1787399145.8990996,1787399146.6058686,1787399172.0608137,1787399177.6103325,1787399167.3692064,1787399179.4286394,1787399179.434235,1787399179.4342408,1787399167.359956,1787399180.5977697,1787399182.5210872,7213504512,gpu,gpu-to-gpu-p2p,7213504512,10.206343271279946,5966757888,gpu-to-gpu-p2p,1.075,161,52026,0,2.714158058166504,0.3061351776123047,0.30284953117370605,5.971096754074097,5.913656234741211,0.7067689895629883,5.549518823623657,12.059432983398438,6.50991415977478,5.7220458984375e-06,1.1635289192199707,1.9233174324035645,32.841712951660156,37.78642725944519
5,model_4,1,0,1787399189.8059223,,,,1787399189.8084407,1787399189.8130975,1787399189.813242,1787399189.8133783,1787399189.8135498,1787399189.815624,,,,,,,,,1787399191.5684338,,,,,,,,,,,,,,,,0.004656791687011719,0.00013637542724609375,0.0020742416381835938,,,,,,,,,
