1787419460.305832511 0, 35388, 0;1, 35402, 0;
1787419462.534681068 0, 35822, 0;1, 35874, 73;
1787419464.743134938 0, 35842, 70;1, 36364, 98;
1787419466.928939194 0, 35992, 61;1, 36940, 95;
1787419469.105218678 0, 36100, 92;1, 37506, 100;
1787419471.261921003 0, 36228, 88;1, 37730, 100;
1787419473.606126173 0, 36228, 67;1, 37986, 88;
1787419475.766067603 0, 36484, 52;1, 38590, 69;
1787419477.940434251 0, 36484, 91;1, 38926, 100;
1787419480.095154049 0, 36484, 83;1, 39438, 96;
1787419482.250383925 0, 36950, 86;1, 40428, 93;
1787419484.395529807 0, 36950, 93;1, 41690, 100;
1787419486.626217019 0, 36950, 57;1, 42876, 65;
1787419488.801162776 0, 51574, 97;1, 42988, 100;
1787419490.968090824 0, 53178, 12;1, 41075, 14;
1787419493.371256069 0, 53970, 95;1, 42061, 98;
1787419495.539520077 0, 54308, 68;1, 42285, 56;
1787419497.719345001 0, 54308, 99;1, 42173, 55;
1787419499.912977639 0, 54308, 90;1, 42173, 62;
1787419502.067025941 0, 54912, 72;1, 42173, 90;
1787419504.249543411 0, 55604, 100;1, 42173, 76;
1787419506.401618317 0, 56260, 75;1, 41939, 94;
1787419508.550944937 0, 56498, 100;1, 40829, 98;
1787419510.720329039 0, 56950, 100;1, 40269, 56;
1787419512.903844988 0, 57798, 100;1, 39933, 0;
1787419515.064973016 0, 58182, 100;1, 39933, 48;
1787419517.387229364 0, 58438, 100;1, 39933, 28;
1787419519.647108797 0, 58770, 99;1, 43659, 51;
1787419521.829634088 0, 58169, 99;1, 44031, 89;
1787419524.029827373 0, 59397, 92;1, 44787, 93;
1787419526.262051093 0, 60409, 29;1, 45035, 24;
1787419528.785942726 0, 61147, 62;1, 45111, 56;
1787419531.293931678 0, 61829, 99;1, 45111, 95;
1787419533.491596712 0, 62795, 42;1, 45111, 44;
1787419535.699020558 0, 63717, 96;1, 45047, 26;
1787419537.894236272 0, 65047, 95;1, 44855, 74;
1787419540.070926578 0, 65671, 99;1, 44791, 98;
1787419542.239204753 0, 66905, 96;1, 44877, 97;
1787419544.411322563 0, 68257, 97;1, 44877, 97;
1787419546.593267056 0, 69709, 91;1, 44877, 93;
1787419548.783628850 0, 70573, 95;1, 59501, 97;
1787419550.960973907 0, 69605, 99;1, 60061, 98;
1787419553.131340906 0, 70369, 69;1, 60061, 84;
1787419555.305176247 0, 71009, 98;1, 44549, 99;
1787419557.465383457 0, 71009, 99;1, 44549, 99;
1787419559.649815442 0, 71121, 99;1, 44639, 99;
1787419561.801202014 0, 71509, 99;1, 44639, 99;
1787419563.950003032 0, 72289, 96;1, 44639, 89;
1787419566.140499531 0, 74013, 57;1, 44639, 35;
1787419568.371131678 0, 74969, 99;1, 44639, 97;
1787419570.568655943 0, 76541, 96;1, 44639, 96;
1787419572.730950049 0, 76541, 98;1, 44575, 97;
1787419574.884215370 0, 76541, 98;1, 44575, 97;
1787419577.080172729 0, 76541, 99;1, 44779, 89;
1787419579.249578667 0, 76541, 100;1, 52039, 100;
1787419581.427583498 0, 73721, 7;1, 54075, 4;
1787419584.560201910 0, 74502, 69;1, 54979, 70;
1787419586.759932209 0, 75014, 46;1, 56179, 66;
1787419588.961111146 0, 75680, 89;1, 57049, 50;
1787419591.183179681 0, 76294, 75;1, 58539, 60;
1787419593.413368224 0, 76294, 48;1, 60107, 47;
1787419595.710709486 0, 76294, 71;1, 61885, 53;
1787419597.945641997 0, 76550, 62;1, 63341, 27;
1787419600.170644667 0, 76550, 71;1, 65357, 52;
1787419602.423043426 0, 76550, 38;1, 68889, 48;
1787419604.633829737 0, 76550, 42;1, 70265, 0;
1787419607.156021103 0, 76550, 29;1, 71049, 0;
1787419609.351670227 0, 76422, 37;1, 72609, 60;
1787419611.617331261 0, 76422, 94;1, 72385, 74;
1787419613.825253362 0, 71770, 15;1, 72161, 30;
1787419616.012921412 0, 73282, 7;1, 71601, 54;
1787419618.216147809 0, 71154, 42;1, 68901, 22;
1787419620.431204203 0, 69282, 55;1, 68789, 66;
1787419622.615287993 0, 68554, 86;1, 68565, 84;
1787419624.855213372 0, 68426, 80;1, 68117, 81;
1787419627.053521604 0, 68298, 31;1, 62051, 16;
1787419629.244625767 0, 68170, 51;1, 61939, 64;
1787419631.431046979 0, 66406, 87;1, 59487, 68;
1787419633.625850032 0, 66278, 88;1, 58143, 84;
1787419635.825561390 0, 66424, 94;1, 60667, 82;
1787419638.011795669 0, 66150, 62;1, 66415, 82;
1787419640.198085854 0, 66150, 86;1, 63061, 99;
1787419642.386173940 0, 65862, 82;1, 59085, 99;
1787419644.578018921 0, 65862, 85;1, 56435, 93;
1787419646.712918617 0, 65862, 90;1, 71167, 87;
1787419648.883756318 0, 56602, 39;1, 73931, 74;
1787419651.082471271 0, 57230, 79;1, 68337, 94;
1787419653.281859755 0, 57736, 88;1, 68469, 100;
1787419655.524754462 0, 57736, 99;1, 68819, 92;
1787419657.744909459 0, 57864, 92;1, 69513, 100;
1787419659.990300287 0, 57864, 93;1, 69961, 98;
1787419662.215479585 0, 57864, 97;1, 70521, 93;
1787419664.390132319 0, 57864, 98;1, 71409, 96;
1787419666.590944751 0, 57864, 98;1, 72015, 99;
1787419668.780705255 0, 57864, 99;1, 72921, 100;
1787419670.979346623 0, 57864, 96;1, 73447, 75;
1787419673.142348093 0, 57864, 61;1, 74007, 90;
1787419675.345597749 0, 57864, 68;1, 75231, 96;
1787419677.513780531 0, 57864, 98;1, 75343, 97;
1787419679.709104209 0, 57864, 97;1, 75343, 99;
1787419681.904866098 0, 57864, 39;1, 75343, 43;
1787419684.200191330 0, 57864, 98;1, 75343, 91;
1787419686.557694147 0, 57864, 42;1, 75343, 65;
1787419688.787623727 0, 57864, 69;1, 75343, 99;
1787419691.063982581 0, 57864, 79;1, 75343, 72;
1787419693.246339337 0, 57992, 93;1, 75343, 47;
1787419695.459208575 0, 57992, 94;1, 75345, 52;
1787419697.659460373 0, 57992, 68;1, 75233, 76;
1787419699.841642938 0, 57992, 77;1, 75233, 14;
1787419702.036534806 0, 58504, 99;1, 75233, 93;
1787419704.311454088 0, 58504, 98;1, 75233, 37;
1787419706.547716108 0, 58504, 67;1, 75235, 70;
1787419708.782872206 0, 58504, 70;1, 75347, 34;
1787419711.074894238 0, 58504, 100;1, 75459, 80;
1787419713.347085514 0, 58248, 66;1, 75683, 53;
1787419715.565563283 0, 58248, 63;1, 75795, 98;
1787419717.798525120 0, 58248, 65;1, 76019, 98;
1787419719.961737709 0, 55902, 78;1, 74749, 69;
1787419722.218409211 0, 55774, 95;1, 75421, 54;
1787419724.428746434 0, 61962, 73;1, 75645, 81;
1787419726.589455184 0, 62090, 84;1, 76317, 99;
1787419728.772917174 0, 62552, 100;1, 76429, 95;
1787419730.988985141 0, 62696, 100;1, 76989, 98;
1787419733.280661946 0, 62696, 100;1, 76989, 99;
1787419735.475185031 0, 62952, 100;1, 76989, 94;
1787419737.678675153 0, 63208, 100;1, 76989, 96;
1787419739.865900705 0, 63208, 67;1, 76989, 70;
1787419742.031225008 0, 63336, 100;1, 76989, 87;
1787419744.217601048 0, 63336, 100;1, 76989, 99;
1787419746.456735849 0, 63720, 100;1, 76989, 99;
1787419748.669768858 0, 64360, 100;1, 76989, 99;
1787419750.870568839 0, 64360, 100;1, 76989, 99;
1787419753.065928606 0, 64360, 100;1, 76989, 98;
1787419755.257737722 0, 64360, 100;1, 76765, 94;
1787419757.589974121 0, 64360, 100;1, 75645, 95;
1787419759.801832644 0, 62940, 38;1, 75827, 43;
1787419762.187674446 0, 62940, 33;1, 75493, 14;
1787419764.563079244 0, 62940, 100;1, 74525, 70;
1787419766.752325465 0, 62940, 87;1, 75085, 98;
1787419768.938851711 0, 62940, 100;1, 75533, 94;
1787419771.084823905 0, 62940, 100;1, 76077, 62;
1787419773.266106326 0, 62940, 49;1, 76541, 39;
1787419775.485291314 0, 62940, 87;1, 76765, 61;
1787419777.686440310 0, 62940, 100;1, 76765, 70;
1787419779.845226220 0, 62940, 72;1, 76989, 63;
1787419782.010702948 0, 62874, 85;1, 76855, 43;
1787419784.330386851 0, 62812, 100;1, 76653, 84;
1787419786.585273177 0, 62684, 81;1, 76765, 27;
1787419788.802385931 0, 62428, 100;1, 76541, 99;
1787419790.974546968 0, 62044, 79;1, 76877, 99;
1787419793.156919961 0, 62044, 60;1, 76765, 69;
1787419795.325698417 0, 61916, 86;1, 76877, 58;
1787419797.512170925 0, 61660, 61;1, 76877, 45;
1787419799.674870499 0, 61660, 89;1, 76989, 42;
1787419801.949453364 0, 61660, 62;1, 76989, 86;
1787419804.164648503 0, 61660, 60;1, 76989, 64;
1787419806.438968740 0, 65850, 60;1, 76989, 58;
1787419808.687519687 0, 66388, 76;1, 76877, 67;
1787419810.926195996 0, 67028, 100;1, 76877, 87;
1787419813.121216530 0, 67816, 76;1, 76541, 96;
1787419815.298569896 0, 67880, 100;1, 76317, 81;
1787419817.470229686 0, 67880, 100;1, 75645, 99;
1787419819.685554896 0, 67880, 96;1, 70493, 93;
1787419821.909420558 0, 68452, 88;1, 74801, 40;
1787419824.129729151 0, 66182, 6;1, 73009, 0;
1787419827.416665513 0, 66726, 100;1, 73315, 45;
1787419829.606845969 0, 67366, 100;1, 72913, 43;
1787419831.798668045 0, 68142, 100;1, 72913, 31;
1787419834.018834214 0, 68848, 100;1, 72913, 42;
1787419836.231390152 0, 69166, 47;1, 72913, 15;
1787419838.721397089 0, 69166, 54;1, 72913, 5;
1787419841.459939853 0, 69166, 44;1, 72913, 18;
1787419843.664395321 0, 69550, 53;1, 72913, 9;
1787419845.980039661 0, 70392, 99;1, 72913, 20;
1787419848.231054928 0, 70830, 100;1, 72913, 30;
1787419850.425275800 0, 71342, 28;1, 72913, 29;
1787419852.701824465 0, 71598, 65;1, 72913, 47;
1787419854.929454626 0, 71982, 63;1, 72913, 35;
1787419857.108524844 0, 72622, 73;1, 72325, 35;
1787419859.301985510 0, 72878, 100;1, 60079, 22;
1787419861.504281960 0, 73134, 100;1, 60079, 25;
1787419863.702185025 0, 73774, 99;1, 44771, 98;
1787419865.964489516 0, 65312, 95;1, 45295, 97;
1787419868.169508900 0, 66296, 99;1, 46355, 96;
1787419870.368217253 0, 66616, 99;1, 47233, 97;
1787419872.714875347 0, 67896, 75;1, 47637, 95;
1787419874.899074024 0, 69804, 41;1, 47637, 30;
1787419877.251289295 0, 71216, 96;1, 47637, 33;
1787419879.606879478 0, 72440, 53;1, 64167, 84;
1787419881.853628482 0, 73156, 98;1, 64327, 58;
1787419884.046510986 0, 75476, 48;1, 64289, 57;
1787419886.313235107 0, 76334, 87;1, 64697, 97;
1787419888.591899496 0, 76334, 97;1, 64697, 99;
1787419891.245567546 0, 76334, 86;1, 64697, 89;
1787419893.417212859 0, 76334, 98;1, 64697, 99;
1787419895.678597539 0, 73916, 62;1, 68423, 70;
1787419898.253389342 0, 74319, 53;1, 68301, 30;
1787419900.488327916 0, 74319, 94;1, 68863, 99;
1787419902.779716526 0, 74319, 56;1, 67983, 29;
1787419905.151175700 0, 74063, 70;1, 67983, 0;
1787419907.337011466 0, 73423, 56;1, 67983, 0;
1787419909.561360859 0, 73167, 55;1, 67983, 0;
1787419911.722865346 0, 71375, 44;1, 67983, 0;
1787419913.902439787 0, 66655, 0;1, 67983, 0;
1787419916.278032820 0, 64325, 1;1, 67983, 0;
1787419918.601964059 0, 56015, 0;1, 67983, 0;
