Real trace file: /root/Prism-final-regression-diagnosis/exp/workloads/final-evaluation/bursty_r20_s0.pkl
[PRISM_DIRECT] 8227 requests, span 419.8s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed0
Generated 8227 requests
Request model_6#50 arrives at 1753709.991359904, sleeping for 0.0026430333964526653 seconds
Request model_6#51 arrives at 1753709.994514979, sleeping for 0.010125666856765747 seconds
Request model_1#16 arrives at 1753710.005176071, sleeping for 0.008430069545283914 seconds
Request model_6#52 arrives at 1753710.013830338, sleeping for 0.0280720388982445 seconds
Request model_1#17 arrives at 1753710.042517471, sleeping for 0.021967292996123433 seconds
Request model_5#3 arrives at 1753710.065437898, sleeping for 0.03198964451439679 seconds
Request model_3#8 arrives at 1753710.098203182, sleeping for 0.027682763058692217 seconds
Request model_5#4 arrives at 1753710.126069758, sleeping for 0.09509128308854997 seconds
Request model_5#5 arrives at 1753710.222104532, sleeping for 0.027374933240935206 seconds
Request model_6#53 arrives at 1753710.249826507, sleeping for 0.0053632850758731365 seconds
Request model_3#9 arrives at 1753710.255597242, sleeping for 0.00438156328164041 seconds
Request model_6#54 arrives at 1753710.26055623, sleeping for 0.006794073851779103 seconds
Request model_6#55 arrives at 1753710.268562902, sleeping for 0 seconds
Request model_1#18 arrives at 1753710.268879344, sleeping for 0.007706313394010067 seconds
Request model_6#56 arrives at 1753710.277692943, sleeping for 0.028037066804245114 seconds
Request model_1#19 arrives at 1753710.306352685, sleeping for 0.014217328978702426 seconds
Request model_1#20 arrives at 1753710.321083249, sleeping for 0.011616846080869436 seconds
Request model_1#21 arrives at 1753710.333757677, sleeping for 0.010074701393023133 seconds
Request model_6#57 arrives at 1753710.3444153, sleeping for 0.05629275110550225 seconds
Request model_1#22 arrives at 1753710.401094589, sleeping for 0.07299367315135896 seconds
Request model_5#6 arrives at 1753710.47479229, sleeping for 0.03624747530557215 seconds
Request model_1#23 arrives at 1753710.512566922, sleeping for 0.024217718513682485 seconds
Request model_1#24 arrives at 1753710.537241523, sleeping for 0.034682383527979255 seconds
