Real trace file: /workspace/prism-merge/exp/workloads/final-compare/bursty_r20_s42.pkl
[PRISM_DIRECT] 8498 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed42
Generated 8498 requests
Request model_5#46 arrives at 1621533.809761946, sleeping for 0.016159672988578677 seconds
Request model_6#11 arrives at 1621533.826308102, sleeping for 0.0013446088414639235 seconds
Request model_5#47 arrives at 1621533.828737053, sleeping for 0.01904580765403807 seconds
Request model_1#7 arrives at 1621533.849273655, sleeping for 0.0027884712908416986 seconds
Request model_1#8 arrives at 1621533.853067148, sleeping for 0.02257349854335189 seconds
Request model_5#48 arrives at 1621533.876156582, sleeping for 0.12593206390738487 seconds
Request model_5#49 arrives at 1621534.002857411, sleeping for 0.05056663020513952 seconds
Request model_5#50 arrives at 1621534.054616588, sleeping for 0.12086676247417927 seconds
Request model_5#51 arrives at 1621534.176602905, sleeping for 0.15038742613978684 seconds
Request model_1#9 arrives at 1621534.327383506, sleeping for 0.02704179845750332 seconds
Request model_1#10 arrives at 1621534.355582065, sleeping for 0.037159895757213235 seconds
Request model_3#8 arrives at 1621534.3934614, sleeping for 0.005914115579798818 seconds
Request model_3#9 arrives at 1621534.40024885, sleeping for 0.02225917740724981 seconds
Request model_2#5 arrives at 1621534.42287793, sleeping for 0.031352959806099534 seconds
Request model_5#52 arrives at 1621534.454513339, sleeping for 0.010975262150168419 seconds
Request model_5#53 arrives at 1621534.466352584, sleeping for 0.014494742266833782 seconds
Request model_5#54 arrives at 1621534.481022823, sleeping for 0.09346356661990285 seconds
Request model_6#12 arrives at 1621534.57577119, sleeping for 0.12517648050561547 seconds
Request model_5#55 arrives at 1621534.702250056, sleeping for 0.05560311395674944 seconds
Request model_5#56 arrives at 1621534.758571104, sleeping for 0.021757892332971096 seconds
Request model_5#57 arrives at 1621534.780725849, sleeping for 0.0431918369140476 seconds
Request model_5#58 arrives at 1621534.824849599, sleeping for 0.031276180408895016 seconds
Request model_5#59 arrives at 1621534.856887312, sleeping for 0.0029244599863886833 seconds
Request model_1#11 arrives at 1621534.860799717, sleeping for 0.0011730596888810396 seconds
Request model_5#60 arrives at 1621534.86235938, sleeping for 0.06760208844207227 seconds
Request model_5#61 arrives at 1621534.931007786, sleeping for 0.10035708406940103 seconds
Request model_5#62 arrives at 1621535.032476552, sleeping for 0.05251883971504867 seconds
Request model_6#13 arrives at 1621535.086880373, sleeping for 0.024254288524389267 seconds
Request model_6#14 arrives at 1621535.112048705, sleeping for 0.08252990152686834 seconds
Request model_5#63 arrives at 1621535.195052908, sleeping for 0.003992333775386214 seconds
Request model_5#64 arrives at 1621535.200174723, sleeping for 0.05849522398784757 seconds
Request model_5#65 arrives at 1621535.258825081, sleeping for 0.02134674252010882 seconds
Request model_5#66 arrives at 1621535.280608524, sleeping for 0.005001605721190572 seconds
Request model_5#67 arrives at 1621535.286451005, sleeping for 0.0007929846178740263 seconds
Request model_1#12 arrives at 1621535.288045969, sleeping for 0.025038182036951184 seconds
Request model_5#68 arrives at 1621535.313772156, sleeping for 0.04225353128276765 seconds
Request model_5#69 arrives at 1621535.357147289, sleeping for 0.08526614145375788 seconds
Request model_5#70 arrives at 1621535.44337214, sleeping for 0.03007989120669663 seconds
Request model_5#71 arrives at 1621535.47389857, sleeping for 0.02620753296650946 seconds
Request model_5#72 arrives at 1621535.501282082, sleeping for 0.030401568626984954 seconds
Request model_5#73 arrives at 1621535.531927762, sleeping for 0.012297686422243714 seconds
Request model_5#74 arrives at 1621535.545277661, sleeping for 0.18322364031337202 seconds
Request model_5#75 arrives at 1621535.729976771, sleeping for 0.15143855358473957 seconds
Request model_5#76 arrives at 1621535.88273403, sleeping for 0 seconds
Request model_5#77 arrives at 1621535.883705228, sleeping for 0.0033720682840794325 seconds
Request model_5#78 arrives at 1621535.887951716, sleeping for 0.05692547280341387 seconds
Request model_5#79 arrives at 1621535.94615093, sleeping for 0.02939831418916583 seconds
Request model_5#80 arrives at 1621535.975940493, sleeping for 0.002353206044062972 seconds
Request model_5#81 arrives at 1621535.978642117, sleeping for 0.0026664710603654385 seconds
Request model_1#13 arrives at 1621535.98238697, sleeping for 0.10181842488236725 seconds
