window_s,cond,cycles,rank1_switches,rank1_switches_per_min,rank1_lifetime_p50_s,rank1_lifetime_p95_s,rank1_Llama-3.2-3B_pct,rank1_Qwen2.5-3B_pct,rank1_Llama-3.1-8B_pct,rank1_Qwen2.5-7B_pct,rank1_small_pct
30,bursty_r10_s3,85,6,0.842,60.85,105.94,14.1,1.2,60.0,24.7,15.3
30,bursty_r10_s4,71,5,0.695,78.99,89.61,36.6,0.0,29.6,33.8,36.6
30,bursty_r8_s3,85,5,0.706,65.33,105.83,16.5,0.0,57.6,25.9,16.5
30,bursty_r8_s4,86,5,0.7,70.74,95.87,44.2,0.0,30.2,25.6,44.2
30,steady_r10_s3,86,0,0.0,430.34,430.34,0.0,0.0,100.0,0.0,0.0
30,steady_r10_s4,86,0,0.0,432.02,432.02,100.0,0.0,0.0,0.0,100.0
30,steady_r8_s3,85,3,0.423,70.84,249.34,7.1,0.0,90.6,2.4,7.1
30,steady_r8_s4,86,1,0.139,215.86,405.63,98.8,0.0,1.2,0.0,98.8
60,bursty_r10_s3,85,5,0.698,66.97,102.77,21.2,0.0,56.5,22.4,21.2
60,bursty_r10_s4,86,6,0.834,80.66,99.86,47.7,0.0,30.2,22.1,47.7
60,bursty_r8_s3,86,5,0.697,66.07,102.66,20.9,0.0,55.8,23.3,20.9
60,bursty_r8_s4,86,5,0.7,77.88,101.16,46.5,0.0,31.4,22.1,46.5
60,steady_r10_s3,86,0,0.0,431.23,431.23,0.0,0.0,100.0,0.0,0.0
60,steady_r10_s4,86,0,0.0,430.99,430.99,100.0,0.0,0.0,0.0,100.0
60,steady_r8_s3,86,6,0.839,10.03,237.03,4.7,0.0,95.3,0.0,4.7
60,steady_r8_s4,86,0,0.0,429.84,429.84,100.0,0.0,0.0,0.0,100.0
