workload,rate,seed,cond,rank1_switches_per_min_30,rank1_switches_per_min_60,rank1_switches_per_min_delta,rank1_lifetime_p50_s_30,rank1_lifetime_p50_s_60,rank1_lifetime_p50_s_delta,rank1_small_pct_30,rank1_small_pct_60,rank1_small_pct_delta,kvpr_optimal_LL_pct_30,kvpr_optimal_LL_pct_60,kvpr_optimal_LL_pct_delta,plan_LL_pct_30,plan_LL_pct_60,plan_LL_pct_delta,residency_LL_pct_30,residency_LL_pct_60,residency_LL_pct_delta,three_one_exposure_pct_30,three_one_exposure_pct_60,three_one_exposure_pct_delta,plan_changes_per_min_30,plan_changes_per_min_60,plan_changes_per_min_delta,plan_lifetime_p50_s_30,plan_lifetime_p50_s_60,plan_lifetime_p50_s_delta,migrations_30,migrations_60,migrations_delta,reversals_30,reversals_60,reversals_delta,ping_pong_30,ping_pong_60,ping_pong_delta
steady,8,3,steady_r8_s3,0.423,0.839,0.416,70.84,10.03,-60.81,7.1,4.7,-2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,8.1,-14.3,1.269,0.28,-0.989,22.88,157.6,134.72,6.0,2.0,-4.0,5.0,1.0,-4.0,5.0,1.0,-4.0
steady,8,4,steady_r8_s4,0.139,0.0,-0.139,215.86,429.84,213.98,98.8,100.0,1.2,96.5,100.0,3.5,97.7,98.8,1.1,91.9,97.7,5.8,14.0,7.0,-7.0,0.695,0.279,-0.416,7.98,11.21,3.23,5.0,2.0,-3.0,3.0,0.0,-3.0,2.0,0.0,-2.0
steady,10,3,steady_r10_s3,0.0,0.0,0.0,430.34,431.23,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,17.4,2.3,0.418,0.417,-0.001,109.47,107.12,-2.35,4.0,4.0,0.0,3.0,3.0,0.0,3.0,3.0,0.0
steady,10,4,steady_r10_s4,0.0,0.0,0.0,432.02,430.99,-1.03,100.0,100.0,0.0,98.8,98.8,0.0,98.8,98.8,0.0,97.7,97.7,0.0,14.0,7.0,-7.0,0.833,0.278,-0.555,5.33,5.92,0.59,4.0,2.0,-2.0,2.0,0.0,-2.0,1.0,0.0,-1.0
bursty,8,3,bursty_r8_s3,0.706,0.697,-0.009,65.33,66.07,0.74,16.5,20.9,4.4,15.3,18.8,3.5,15.3,18.8,3.5,20.0,19.8,-0.2,61.2,54.7,-6.5,1.975,2.37,0.395,30.14,15.37,-14.77,11.0,13.0,2.0,8.0,10.0,2.0,8.0,10.0,2.0
bursty,8,4,bursty_r8_s4,0.7,0.7,0.0,70.74,77.88,7.14,44.2,46.5,2.3,42.9,44.2,1.3,45.2,46.5,1.3,54.7,48.8,-5.9,64.0,62.8,-1.2,1.26,1.819,0.559,42.74,12.65,-30.09,11.0,11.0,0.0,7.0,7.0,0.0,7.0,7.0,0.0
bursty,10,3,bursty_r10_s3,0.842,0.698,-0.144,60.85,66.97,6.12,15.3,21.2,5.9,15.3,17.9,2.6,12.9,17.9,5.0,9.4,18.8,9.4,55.3,52.9,-2.4,2.525,2.512,-0.013,10.08,15.15,5.07,13.0,13.0,0.0,9.0,10.0,1.0,9.0,10.0,1.0
bursty,10,4,bursty_r10_s4,0.695,0.834,0.139,78.99,80.66,1.67,36.6,47.7,11.1,34.3,43.2,8.9,37.1,45.7,8.6,49.3,60.5,11.2,50.7,62.8,12.1,1.252,1.807,0.555,42.95,10.14,-32.81,10.0,11.0,1.0,7.0,7.0,0.0,7.0,6.0,-1.0
