window_s,workload,rate,seed,cond,cycle,timestamp,replay_match,rank1_model,optimum_is_colocated,separated_penalty,plan_colocated,residency_colocated,residency_shape,plan_id,migration,cand_model,wrate_model_3,wrate_model_4,wrate_model_5,wrate_model_6
30,steady,8,3,steady_r8_s3,1,1787644275.6728563,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,0.0007842530838919848,0.00021534897058323076,0.005305729117955757,0.0003567942647718672
30,steady,8,3,steady_r8_s3,2,1787644280.6763988,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,0.208611574470651,0.037931938716884966,0.292876247311158,0.22421922647644418
30,steady,8,3,steady_r8_s3,3,1787644285.686796,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,0.6904788222894721,0.071680038605344,0.7034335664585748,0.43855090122445184
30,steady,8,3,steady_r8_s3,4,1787644290.6954453,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,0.951298990760978,0.2001808420849549,1.232520874101123,0.7267384251035844
30,steady,8,3,steady_r8_s3,5,1787644295.704562,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,1.4002278632117187,0.34049502000445764,1.908682992893404,1.0649281797944108
30,steady,8,3,steady_r8_s3,6,1787644300.731095,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,1.8201393715584555,0.44423095165581516,2.5101404457048693,1.319169466590496
30,steady,8,3,steady_r8_s3,7,1787644305.7579727,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.3153391759588233,0.5108041528861547,3.1130835026693626,1.57769233774868
30,steady,8,3,steady_r8_s3,8,1787644310.7693586,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.6101062993473683,0.5720859398606284,3.6318776958230754,1.9963644171692567
30,steady,8,3,steady_r8_s3,9,1787644315.7810738,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.4558325141303308,0.6451501260636949,3.7424490906412724,2.0386698232253178
30,steady,8,3,steady_r8_s3,10,1787644320.8218246,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.576607489049695,0.638843642159697,4.019302036016205,2.0036531743133774
30,steady,8,3,steady_r8_s3,11,1787644325.854637,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.4277114392650603,0.5632875821957937,3.903743255827129,2.154321907685648
30,steady,8,3,steady_r8_s3,12,1787644330.8671756,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.192211441787782,0.49960643834704976,3.971974932284041,2.12649181429262
30,steady,8,3,steady_r8_s3,13,1787644335.8811023,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.267611773996254,0.5551351455873035,3.8608729645540465,2.2163019292961392
30,steady,8,3,steady_r8_s3,14,1787644340.9042492,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.0154183894475595,0.5715322667738789,3.8321159127347277,1.8935564006334398
30,steady,8,3,steady_r8_s3,15,1787644345.9186015,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.3678841325795865,0.588698483810413,3.8022977150918162,1.8361129104997282
30,steady,8,3,steady_r8_s3,16,1787644351.1812224,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.3488379862564948,0.5196950496116961,3.491488103361967,1.89019261557285
30,steady,8,3,steady_r8_s3,17,1787644356.1989508,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.6017035877342387,0.508035633404748,3.7095535701099482,1.7102668883457883
30,steady,8,3,steady_r8_s3,18,1787644361.2119172,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.6725104375942017,0.5192335940404429,3.4972182908093585,1.8813749771311843
30,steady,8,3,steady_r8_s3,19,1787644366.2297974,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.3442445039079844,0.4847780016529022,3.286474730244156,2.09259654203
30,steady,8,3,steady_r8_s3,20,1787644371.2646332,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.4441807540267924,0.4044534678508518,2.968449326913889,2.145860814860604
30,steady,8,3,steady_r8_s3,21,1787644376.296523,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.2410592052987677,0.3954090478124548,3.3675462711665207,2.2073310965501145
30,steady,8,3,steady_r8_s3,22,1787644381.34247,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.1823522601617102,0.375843255876146,3.411583822845554,2.172671096368252
30,steady,8,3,steady_r8_s3,23,1787644386.361706,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,1.758409752759051,0.41125239206945396,3.266206845013566,2.3089636188640426
30,steady,8,3,steady_r8_s3,24,1787644391.3823109,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,1.7840660141847227,0.4414009854157652,3.3192641361931234,2.2076342662304502
30,steady,8,3,steady_r8_s3,25,1787644396.408514,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,1.8005352713183642,0.44918431951751514,3.5294771238465303,2.0221526192316364
30,steady,8,3,steady_r8_s3,26,1787644401.4317293,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 1, ""model_5"": 0, ""model_6"": 1}",True,model_4,1.6090653097155339,0.4633050881774121,3.9536171095359114,1.9740364678804738
30,steady,8,3,steady_r8_s3,27,1787644407.2351367,True,model_5,False,0.0,False,False,1+3,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,1.2164904285705214,0.452784128653299,3.55812806108349,2.294029262565431
30,steady,8,3,steady_r8_s3,28,1787644412.2570457,True,model_5,False,0.0,False,False,1+3,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,1.3436515689845447,0.5215414221467931,3.598982175291749,2.299279223994636
30,steady,8,3,steady_r8_s3,29,1787644417.310037,True,model_5,False,0.0,False,False,1+3,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,1.3718846657865464,0.5237563890863077,3.2868991885735914,2.2024862457998715
30,steady,8,3,steady_r8_s3,30,1787644422.3563,True,model_5,False,0.0,False,False,1+3,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,1.659817797418355,0.5658106981065263,3.304938667574642,2.153401654961768
30,steady,8,3,steady_r8_s3,31,1787644427.4151409,True,model_5,False,0.0,False,False,1+3,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,1.71247474363611,0.5211414873878413,3.4542418849539165,1.9204664731028571
30,steady,8,3,steady_r8_s3,32,1787644432.4381201,True,model_5,False,0.0,False,False,1+3,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",True,model_4,2.0837604439010033,0.5591965341965941,3.4779054368199986,1.8758696857836399
30,steady,8,3,steady_r8_s3,33,1787644438.1400177,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.329455731468879,0.44715393230710254,3.6001494356977015,1.6658713466741433
30,steady,8,3,steady_r8_s3,34,1787644443.1678877,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.7537366498544427,0.45376822459320554,3.7696144237252076,1.5820761562981285
30,steady,8,3,steady_r8_s3,35,1787644448.1922667,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.8451581522052805,0.4999755468719074,3.8204433086752236,1.7110826131953494
30,steady,8,3,steady_r8_s3,36,1787644453.2216063,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.589603683011334,0.5981428957783781,3.5657683110133465,1.8324432121472736
30,steady,8,3,steady_r8_s3,37,1787644458.2512207,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.4969497829572393,0.6187853363181073,3.2953883551623218,1.8899888530730684
30,steady,8,3,steady_r8_s3,38,1787644463.2819712,True,model_5,False,0.0,False,False,2+2,"{""model_3"": 1, ""model_4"": 0, ""model_5"": 0, ""model_6"": 1}",False,,2.4595297072401063,0.5791922137918999,3.17091595005508,1.7707687793830638
