arm,cond,cycle,timestamp,current_shape,current_colocated,plan_colocated,plan_changed,migration_decision,migration_reason,candidate,cand_from,cand_to,cooldown_active,blocked,misplaced,kvpr0,kvpr1,peak_kvpr,alg1_order,rates,solve_resid,current,plan
NEW,steady8s1,11,1787638160.7434309,2+2,False,True,,,migration cooldown active,,,,True,[],"[""model_6"", ""model_4""]",0.049367188487053494,0.09244969620848513,0.09244969620848513,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.4965362068785386, ""model_4"": 0.6796047520546566, ""model_5"": 2.2001800497868014, ""model_6"": 1.95492654975557}",5.487571705113914e-08,"{""model_4"": 0, ""model_5"": 0, ""model_3"": 1, ""model_6"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,12,1787638165.7571652,2+2,False,True,,,migration cooldown active,,,,True,[],"[""model_6"", ""model_4""]",0.050311354797344686,0.09311677380117232,0.09311677380117232,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.7085086515529317, ""model_4"": 0.7133527832201474, ""model_5"": 2.221509001413238, ""model_6"": 1.782289454561282}",4.0016982746742004e-08,"{""model_4"": 0, ""model_5"": 0, ""model_3"": 1, ""model_6"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,13,1787638170.7669048,2+2,False,True,,MIGRATE,literal line-8 absolute delta exceeds tau,model_6,1,0,False,[],"[""model_6"", ""model_4""]",0.048756326032142173,0.08774686642818633,0.08774686642818633,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.3355402657773086, ""model_4"": 0.7689737159862449, ""model_5"": 2.075177044955142, ""model_6"": 1.8386116556515972}",5.263477186632984e-08,"{""model_4"": 0, ""model_5"": 0, ""model_3"": 1, ""model_6"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,14,1787638175.7791069,3+1,True,True,,,migration cooldown active,,,,True,[],"[""model_4""]",0.11413625366231513,0.0456740430837298,0.11413625366231513,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.345623655883207, ""model_4"": 0.6996044719593439, ""model_5"": 2.2295734899473696, ""model_6"": 2.0986131808664394}",3.533076034698756e-16,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,15,1787638180.7937734,3+1,True,True,,,migration cooldown active,,,,True,[],"[""model_4""]",0.11715732883881592,0.04378357636175906,0.11715732883881592,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.2071469684988503, ""model_4"": 0.6877912314120005, ""model_5"": 2.3186036245466672, ""model_6"": 2.1544770085543274}",3.4419704383958304e-16,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,16,1787638185.808663,3+1,True,True,,,migration cooldown active,,,,True,[],"[""model_4""]",0.11632943228035389,0.04179216238764426,0.11632943228035389,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 3.0612758948949415, ""model_4"": 0.5767951577488686, ""model_5"": 2.2954706455923786, ""model_6"": 2.252136570977308}",6.93293269983105e-16,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
NEW,steady8s1,17,1787638191.1949458,3+1,True,False,,,migration cooldown active,,,,True,[],"[""model_6""]",0.11524333704880743,0.03695587130765118,0.11524333704880743,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 2.7070175732854485, ""model_4"": 1.313133604801353, ""model_5"": 2.4502918212543277, ""model_6"": 1.313133604801353}",5.248703389253296e-16,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 1, ""model_4"": 0}"
NEW,steady8s1,18,1787638196.248677,3+1,True,False,,,migration cooldown active,,,,True,[],"[""model_6""]",0.11362716772205202,0.033340124276309085,0.11362716772205202,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 2.44216410323964, ""model_4"": 1.3325041977254433, ""model_5"": 2.3403571139302857, ""model_6"": 1.3325041977254433}",3.548905341819615e-16,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 1, ""model_4"": 0}"
NEW,steady8s1,19,1787638201.2663045,3+1,True,False,,MIGRATE,literal line-8 absolute delta exceeds tau,model_6,0,1,False,[],"[""model_6""]",0.11237865501777886,0.03410334668267105,0.11237865501777886,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 2.498070144505654, ""model_4"": 1.2887696866126075, ""model_5"": 2.3728281761321743, ""model_6"": 1.2887696866126075}",3.5883332332178845e-16,"{""model_6"": 0, ""model_4"": 0, ""model_5"": 0, ""model_3"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 1, ""model_4"": 0}"
NEW,steady8s1,20,1787638208.0064497,2+2,False,False,,,migration cooldown active,,,,True,[],[],0.04720803590370571,0.0749220779934056,0.0749220779934056,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 2.3508546370436463, ""model_4"": 0.5449516823938672, ""model_5"": 2.2088811463873417, ""model_6"": 2.06706031744641}",3.0156027068745753e-16,"{""model_4"": 0, ""model_5"": 0, ""model_3"": 1, ""model_6"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 1, ""model_4"": 0}"
NEW,steady8s1,21,1787638213.0215755,2+2,False,True,,,migration cooldown active,,,,True,[],"[""model_6"", ""model_4""]",0.04876347421785646,0.07852542217450893,0.07852542217450893,"[""model_3"", ""model_5"", ""model_6"", ""model_4""]","{""model_3"": 2.614251370434171, ""model_4"": 0.5883589596909726, ""model_5"": 2.2562087834041815, ""model_6"": 2.016141781738391}",1.151705100236273e-07,"{""model_4"": 0, ""model_5"": 0, ""model_3"": 1, ""model_6"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}"
