arm,cond,cycle,timestamp,critical,chosen_colocated,replay_match,chosen_peak_kvpr,best_peak_kvpr,best_separated_peak_kvpr,best_colocated_peak_kvpr,objective_margin_sep_minus_chosen,rel_margin_sep,chosen_rank,best_separated_rank,n_valid,colocated_is_optimal,separated_strictly_better,chosen_plan,replay_plan,rates
NEW,steady8s1,1,1787638109.3454728,False,True,True,0.0007494570406483163,0.0007494570406483163,0.0009370449879927236,0.0007494570406483163,0.00018758794734440726,0.25029846564939157,1,5,14,True,False,"{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 0}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 0}","{""model_3"": 0.05489772822748917, ""model_4"": 0.00021535958886120094, ""model_5"": 0.0007427897214635638, ""model_6"": 0.0003568132422145751}"
NEW,steady8s1,2,1787638114.7001376,True,False,True,0.008280989989081517,0.008280989989081517,0.008280989989081517,0.009858224275890403,0.0,0.0,1,1,14,False,False,"{""model_6"": 0, ""model_5"": 1, ""model_3"": 1, ""model_4"": 0}","{""model_6"": 0, ""model_5"": 1, ""model_3"": 1, ""model_4"": 0}","{""model_3"": 0.23986940751610566, ""model_4"": 0.0385480227936688, ""model_5"": 0.2418351331964233, ""model_6"": 0.2499593286293436}"
NEW,steady8s1,3,1787638119.7074566,False,False,True,0.0180974705247301,0.0180974705247301,0.0180974705247301,0.021161896177359404,0.0,0.0,1,1,14,False,False,"{""model_5"": 0, ""model_3"": 1, ""model_6"": 1, ""model_4"": 0}","{""model_5"": 0, ""model_3"": 1, ""model_6"": 1, ""model_4"": 0}","{""model_3"": 0.5726167873959904, ""model_4"": 0.30239014264926994, ""model_5"": 0.7533074201673589, ""model_6"": 0.30239014264927}"
NEW,steady8s1,4,1787638124.7124517,False,False,False,0.026138223985421594,0.026138223985421594,0.026138223985421594,0.03029241953181218,0.0,0.0,1,1,14,False,False,"{""model_3"": 1, ""model_5"": 0, ""model_6"": 1, ""model_4"": 0}","{""model_3"": 1, ""model_5"": 0, ""model_4"": 1, ""model_6"": 0}","{""model_3"": 1.0151595990207534, ""model_4"": 0.5261277454008546, ""model_5"": 0.9850616680396662, ""model_6"": 0.5261277454008546}"
NEW,steady8s1,5,1787638129.7260132,False,False,True,0.039762346490966965,0.039762346490966965,0.039762346490966965,0.04649526280814778,0.0,0.0,1,1,14,False,False,"{""model_5"": 0, ""model_3"": 1, ""model_6"": 1, ""model_4"": 0}","{""model_5"": 0, ""model_3"": 1, ""model_6"": 1, ""model_4"": 0}","{""model_3"": 1.4331664927351808, ""model_4"": 0.709843999111985, ""model_5"": 1.6096520998054182, ""model_6"": 0.7098439991119853}"
NEW,steady8s1,6,1787638134.7454715,False,False,True,0.05394730861480435,0.05394730861480435,0.05394730861480435,0.06308214965149016,0.0,0.0,1,1,14,False,False,"{""model_5"": 0, ""model_3"": 1, ""model_6"": 1, ""model_4"": 0}","{""model_5"": 0, ""model_3"": 1, ""model_6"": 1, ""model_4"": 0}","{""model_3"": 2.0065675332150636, ""model_4"": 0.9438104988693503, ""model_5"": 2.2031509589399496, ""model_6"": 0.9438104988693505}"
NEW,steady8s1,7,1787638139.7558072,False,False,True,0.06383278766576463,0.06383278766576463,0.06383278766576463,0.07342825314959249,0.0,0.0,1,1,14,False,False,"{""model_3"": 1, ""model_5"": 0, ""model_6"": 1, ""model_4"": 0}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 1, ""model_4"": 0}","{""model_3"": 2.658281845929303, ""model_4"": 1.1057331783228452, ""model_5"": 2.557361434854677, ""model_6"": 1.1057331783228455}"
NEW,steady8s1,8,1787638145.686184,False,False,True,0.08290290013756195,0.08290290013756195,0.08290290013756195,0.08979198176756108,0.0,0.0,1,1,14,False,False,"{""model_3"": 1, ""model_5"": 0, ""model_6"": 1, ""model_4"": 0}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 1, ""model_4"": 0}","{""model_3"": 3.144406721787491, ""model_4"": 0.4989599267881315, ""model_5"": 2.7353155894709125, ""model_6"": 1.7441117509725341}"
NEW,steady8s1,9,1787638150.7049117,False,True,True,0.0863230236614171,0.0863230236614171,0.08763779379723406,0.0863230236614171,0.0013147701358169617,0.015230816531333005,1,3,14,True,False,"{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}","{""model_3"": 3.381250958631857, ""model_4"": 0.5435362746879853, ""model_5"": 2.519903376263932, ""model_6"": 1.786469026782779}"
NEW,steady8s1,10,1787638155.7306623,False,True,True,0.08361904055237246,0.08361904055237246,0.08738720338064494,0.08361904055237246,0.003768162828272484,0.04506345448812463,1,3,14,True,False,"{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}","{""model_3"": 1, ""model_5"": 0, ""model_6"": 0, ""model_4"": 1}","{""model_3"": 3.433347794426001, ""model_4"": 0.571992857776247, ""model_5"": 2.451883881386247, ""model_6"": 1.7195956767948029}"
