workload,rate,arm,model,model_name,n_requests,n_decode_steps,tpot_p50,tpot_p95,tpot_p99,itl_mean,itl_p50,itl_p95,itl_p99,itl_max,longgap_threshold_s,longgap_count,longgap_pct_of_steps,longgap_time_s,decode_time_s,longgap_share_of_decode_pct
bursty,2,prototype,model_3,Llama-3.2-3B,464,72713,0.014770771754120046,0.026923691338681163,0.036727475811990255,0.016060528458054165,0.01089167594909668,0.040795755386352536,0.06827387809753419,0.3085658550262451,0.06827387809753419,728,1.001,70.62,1167.8,6.05
bursty,2,prism,model_3,Llama-3.2-3B,464,72711,0.014933066095229442,0.029325136542320253,0.03761966645717622,0.017097125456918164,0.011051177978515625,0.042903900146484375,0.07191991806030261,3.04714298248291,0.06827387809753419,837,1.151,91.64,1243.1,7.37
bursty,2,prototype,model_4,Qwen2.5-3B,253,38043,0.019232162735936194,0.028080748202832972,0.030958250761032088,0.02093846724054225,0.01871657371520996,0.04655501842498779,0.07483747482299812,0.4694640636444092,0.07483747482299812,381,1.001,41.7,796.6,5.24
bursty,2,prism,model_4,Qwen2.5-3B,253,38029,0.018672235550418977,0.03032837716432718,0.03706455886363983,0.021741723640626667,0.01330113410949707,0.04854369163513177,0.08231377601623537,4.439620018005371,0.07483747482299812,503,1.323,99.14,826.8,11.99
bursty,2,prototype,model_5,Llama-3.1-8B,476,77460,0.022344691563496548,0.036695101462742866,0.0405515853029031,0.024419117487895835,0.022312283515930176,0.055013179779052734,0.08841907978057865,0.524458646774292,0.08841907978057865,775,1.001,98.29,1891.5,5.2
bursty,2,prism,model_5,Llama-3.1-8B,476,77456,0.019205597730783314,0.03295340415657427,0.03953115992686328,0.022644417239993695,0.013417840003967285,0.05465376377105713,0.08806893825531006,3.295403480529785,0.08841907978057865,765,0.988,107.41,1753.9,6.12
bursty,2,prototype,model_6,Qwen2.5-7B,524,87857,0.02163615415493647,0.03457944657449699,0.038925917140616224,0.02352593119237764,0.02090311050415039,0.05450568199157714,0.08851469039916994,0.651090145111084,0.08851469039916994,879,1.0,110.53,2066.9,5.35
bursty,2,prism,model_6,Qwen2.5-7B,524,87847,0.020015977323055267,0.03377546036409008,0.04472815646575047,0.022832146396237676,0.020117759704589844,0.05278754234313965,0.08727169036865234,2.9255590438842773,0.08851469039916994,845,0.962,136.59,2005.7,6.81
bursty,4,prototype,model_3,Llama-3.2-3B,863,135593,0.01573609689186359,0.031839612532311524,0.034976450353325014,0.017946982066699348,0.011185884475708008,0.047669267654418944,0.0842869472503662,0.4423487186431885,0.0842869472503662,1356,1.0,161.37,2433.5,6.63
bursty,4,prism,model_3,Llama-3.2-3B,863,135589,0.016798460681135483,0.03217657506465912,0.04268283276722349,0.019216425719239823,0.011219024658203125,0.05282130241394043,0.09519410133361816,3.710836887359619,0.0842869472503662,1918,1.415,260.28,2605.5,9.99
bursty,4,prototype,model_4,Qwen2.5-3B,522,85454,0.018822617518405117,0.03077517852898759,0.03358455085440684,0.020444477279926106,0.013141870498657227,0.05229551792144803,0.0883682894706726,0.2419755458831787,0.0883682894706726,855,1.001,97.19,1747.1,5.56
bursty,4,prism,model_4,Qwen2.5-3B,522,85415,0.021503840068545502,0.03622163102790049,0.039516585518600066,0.025953655045296137,0.020865678787231445,0.057270598411560056,0.09355330467224121,6.076513767242432,0.0883682894706726,1113,1.303,303.99,2216.8,13.71
bursty,4,prototype,model_5,Llama-3.1-8B,861,143095,0.027722273021936417,0.0500915595463344,0.06359540576238576,0.028814392419076157,0.025473356246948242,0.06549651622772217,0.1279597568511963,1.4460320472717285,0.1279597568511963,1431,1.0,319.31,4123.2,7.74
bursty,4,prism,model_5,Llama-3.1-8B,861,143095,0.01961157761567028,0.05052253764162781,0.05946767484986936,0.024778606681779745,0.013494491577148438,0.05936167240142819,0.11506797313690185,1.429762363433838,0.1279597568511963,1147,0.802,253.75,3545.7,7.16
bursty,4,prototype,model_6,Qwen2.5-7B,1065,171462,0.025284669338128507,0.04497268745053729,0.05117529768566519,0.026353467195039674,0.021884441375732422,0.06265352964401245,0.12537527084350586,0.7623038291931152,0.12537527084350586,1714,1.0,329.35,4518.6,7.29
