Real trace file: /root/Prism-final-regression-diagnosis/exp/results/baseline-readiness/raw/migration-D2/workload/bursty_r20_s1.pkl
[PRISM_DIRECT] 8423 requests, span 419.9s
Starting TP benchmark: paper-migration-only_bursty_rate20_seed1
Generated 8423 requests
Request model_2#0 arrives at 1686724.732640348, sleeping for 0.060317052295431495 seconds
Request model_6#0 arrives at 1686724.793833172, sleeping for 0.05283963237889111 seconds
Request model_5#0 arrives at 1686724.848790821, sleeping for 0.12749171862378716 seconds
Request model_5#1 arrives at 1686724.976673507, sleeping for 0.07111316779628396 seconds
Request model_2#1 arrives at 1686725.049547994, sleeping for 0.06054971204139292 seconds
Request model_2#2 arrives at 1686725.110441775, sleeping for 0.007690815720707178 seconds
Request model_2#3 arrives at 1686725.118478472, sleeping for 0.0277611690107733 seconds
Request model_2#4 arrives at 1686725.147479048, sleeping for 0.08818581188097596 seconds
Request model_3#0 arrives at 1686725.236443028, sleeping for 0.04586673341691494 seconds
Request model_2#5 arrives at 1686725.283249919, sleeping for 0.003119257977232337 seconds
Request model_2#6 arrives at 1686725.287278718, sleeping for 0.10003222734667361 seconds
Request model_2#7 arrives at 1686725.388424305, sleeping for 0.06400218419730663 seconds
Request model_2#8 arrives at 1686725.453335295, sleeping for 0.07008873810991645 seconds
Request model_2#9 arrives at 1686725.523936155, sleeping for 0.027568383142352104 seconds
Request model_2#10 arrives at 1686725.552585118, sleeping for 0.09927189419977367 seconds
Request model_2#11 arrives at 1686725.652376195, sleeping for 0.1179261936340481 seconds
Request model_5#2 arrives at 1686725.772462276, sleeping for 0.066724116448313 seconds
Request model_3#1 arrives at 1686725.839573031, sleeping for 0.052308000857010484 seconds
Request model_2#12 arrives at 1686725.893508123, sleeping for 0.007640486350283027 seconds
Request model_2#13 arrives at 1686725.901395, sleeping for 0.0038686771877110004 seconds
Request model_2#14 arrives at 1686725.906079443, sleeping for 0.06201433832757175 seconds
Request model_2#15 arrives at 1686725.968860997, sleeping for 0.10835364321246743 seconds
Request model_2#16 arrives at 1686726.07784555, sleeping for 0.07919637067243457 seconds
Request model_2#17 arrives at 1686726.157819416, sleeping for 0.11253588227555156 seconds
Request model_2#18 arrives at 1686726.270837897, sleeping for 0.02432613424025476 seconds
Request model_3#2 arrives at 1686726.295768764, sleeping for 0.14606432360596955 seconds
Request model_2#19 arrives at 1686726.442760195, sleeping for 0.03127474314533174 seconds
Request model_6#1 arrives at 1686726.47450929, sleeping for 0.04836116195656359 seconds
Request model_2#20 arrives at 1686726.523300596, sleeping for 0.014999471139162779 seconds
Request model_6#2 arrives at 1686726.538982157, sleeping for 0.008260529721155763 seconds
Request model_2#21 arrives at 1686726.547657268, sleeping for 0.033219780307263136 seconds
Request model_2#22 arrives at 1686726.581345197, sleeping for 0.04458127124235034 seconds
Request model_6#3 arrives at 1686726.627015381, sleeping for 0.04192231968045235 seconds
Request model_6#4 arrives at 1686726.669696863, sleeping for 0.21110674575902522 seconds
Request model_3#3 arrives at 1686726.881673925, sleeping for 0.08554301341064274 seconds
Request model_2#23 arrives at 1686726.968032317, sleeping for 0.2078735704999417 seconds
Request model_2#24 arrives at 1686727.176462054, sleeping for 0.042482676450163126 seconds
Request model_5#3 arrives at 1686727.219622549, sleeping for 0.05452910624444485 seconds
Request model_2#25 arrives at 1686727.274484838, sleeping for 0.008257180685177445 seconds
Request model_2#26 arrives at 1686727.283428631, sleeping for 0.027738181874155998 seconds
Request model_2#27 arrives at 1686727.312175025, sleeping for 0.029763134429231286 seconds
Request model_2#28 arrives at 1686727.342194468, sleeping for 0.045422766357660294 seconds
Request model_3#4 arrives at 1686727.388322504, sleeping for 0.011857538484036922 seconds
Request model_2#29 arrives at 1686727.401314406, sleeping for 0.012914502527564764 seconds
Request model_2#30 arrives at 1686727.415997091, sleeping for 0.008638102561235428 seconds
Request model_3#5 arrives at 1686727.424944214, sleeping for 0.05896615935489535 seconds
Request model_5#4 arrives at 1686727.485702715, sleeping for 0.013770441059023142 seconds
Request model_2#31 arrives at 1686727.50057629, sleeping for 0.026291920337826014 seconds
Request model_2#32 arrives at 1686727.528341977, sleeping for 0.06592335063032806 seconds
Request model_5#5 arrives at 1686727.59517847, sleeping for 0.04587846505455673 seconds
Request model_2#33 arrives at 1686727.642149713, sleeping for 0.0001718152780085802 seconds
