arm,cond,start,end,duration_s,end_cause,memory_blocked_cycles
old,steady8s1,1787607891.6619616,1787607923.2666855,31.6,superseded_by_new_plan,0
old,steady8s1,1787607953.3474362,1787607985.4653628,32.12,superseded_by_new_plan,0
old,steady8s1,1787608016.0123277,1787608046.183672,30.17,swap_completed,0
old,steady8s1,1787608081.4134288,1787608113.3873432,31.97,swap_completed,4
old,steady8s2,1787609074.1310253,1787609105.4113595,31.28,swap_completed,0
old,steady8s2,1787609185.7411108,1787609215.916557,30.18,swap_completed,0
old,steady8s2,1787609261.1703248,1787609292.3753548,31.21,superseded_by_new_plan,0
old,steady8s2,1787609363.2741523,1787609393.5975766,30.32,superseded_by_new_plan,0
old,steady8s2,1787609464.6163626,1787609494.9513586,30.33,superseded_by_new_plan,0
old,steady10s1,1787610249.83832,1787610283.476051,33.64,superseded_by_new_plan,0
old,steady10s1,1787610313.6133945,1787610344.0028448,30.39,swap_completed,0
old,steady10s1,1787610379.2153904,1787610413.4164019,34.2,swap_completed,0
old,steady10s1,1787610463.9528174,1787610494.2139835,30.26,swap_completed,3
old,steady10s1,1787610526.8125658,1787610557.110039,30.3,superseded_by_new_plan,0
old,steady10s2,1787620554.6668968,1787620584.7428157,30.08,superseded_by_new_plan,0
old,steady10s2,1787620770.971077,1787620801.646879,30.68,swap_completed,0
old,steady10s2,1787620867.7952614,1787620898.178406,30.38,superseded_by_new_plan,0
new,steady8s1,1787638114.7001376,1787638145.686184,30.99,superseded_by_new_plan,0
new,steady8s1,1787638175.7791069,1787638208.0064497,32.23,superseded_by_new_plan,0
new,steady8s1,1787638238.1285253,1787638268.2862167,30.16,swap_completed,0
new,steady8s1,1787638298.499838,1787638354.3155055,55.82,superseded_by_new_plan,8
new,steady8s2,1787638953.7680619,1787638984.76467,31.0,superseded_by_new_plan,0
new,steady8s2,1787639065.566757,1787639101.8179371,36.25,superseded_by_new_plan,0
new,steady10s1,1787639377.2571433,1787639411.0426714,33.79,superseded_by_new_plan,0
new,steady10s1,1787639461.612478,1787639491.7857218,30.17,swap_completed,0
new,steady10s1,1787639525.8942978,1787639558.7811992,32.89,superseded_by_new_plan,0
new,steady10s1,1787639589.1208386,1787639619.7478626,30.63,swap_completed,0
new,steady10s1,1787639651.9922347,1787639682.3546205,30.36,swap_completed,0
new,steady10s2,1787639982.5609255,1787640038.0912898,55.53,superseded_by_new_plan,0
new,steady10s2,1787640295.8053029,1787640326.1766748,30.37,swap_completed,0
