arm,cond,model,first_t,second_t,interval_s,path
old,steady8s1,model_6,1787607886.452763,1787607916.7574716,30.3,1->0 then 0->1
old,steady8s1,model_6,1787607916.7574716,1787607948.3370922,31.58,0->1 then 1->0
old,steady8s1,model_6,1787607948.3370922,1787607978.4184785,30.08,1->0 then 0->1
old,steady8s1,model_6,1787607978.4184785,1787608010.5967417,32.18,0->1 then 1->0
old,steady8s1,model_5,1787608076.3882182,1787608106.5621896,30.17,0->1 then 1->0
old,steady8s1,model_5,1787608106.5621896,1787608138.8126953,32.25,1->0 then 0->1
old,steady8s2,model_6,1787609067.5272422,1787609099.243375,31.72,1->0 then 0->1
old,steady8s2,model_6,1787609099.243375,1787609358.2291777,258.99,0->1 then 1->0
old,steady8s2,model_4,1787609180.712751,1787609210.8882802,30.18,0->1 then 1->0
old,steady8s2,model_4,1787609210.8882802,1787609256.1420496,45.25,1->0 then 0->1
old,steady8s2,model_4,1787609256.1420496,1787609286.381818,30.24,0->1 then 1->0
old,steady8s2,model_4,1787609286.381818,1787609459.3355734,172.95,1->0 then 0->1
old,steady8s2,model_6,1787609358.2291777,1787609388.5573213,30.33,1->0 then 0->1
old,steady8s2,model_6,1787609388.5573213,1787609489.878533,101.32,0->1 then 1->0
old,steady10s1,model_6,1787610244.7481675,1787610274.8818693,30.13,1->0 then 0->1
old,steady10s1,model_6,1787610274.8818693,1787610404.4313362,129.55,0->1 then 1->0
old,steady10s1,model_4,1787610308.5958288,1787610338.98414,30.39,0->1 then 1->0
old,steady10s1,model_4,1787610338.98414,1787610374.19243,35.21,1->0 then 0->1
old,steady10s1,model_4,1787610374.19243,1787610489.173493,114.98,0->1 then 1->0
old,steady10s1,model_6,1787610404.4313362,1787610552.0628297,147.63,1->0 then 0->1
old,steady10s1,model_5,1787610458.8898191,1787610519.482461,60.59,0->1 then 1->0
old,steady10s2,model_4,1787620549.66283,1787620579.731,30.07,0->1 then 1->0
old,steady10s2,model_4,1787620579.731,1787620765.9338882,186.2,1->0 then 0->1
old,steady10s2,model_4,1787620765.9338882,1787620796.604929,30.67,0->1 then 1->0
old,steady10s2,model_4,1787620796.604929,1787620862.716518,66.11,1->0 then 0->1
old,steady10s2,model_4,1787620862.716518,1787620893.1213422,30.4,0->1 then 1->0
new,steady8s1,model_6,1787638109.3454728,1787638139.7558072,30.41,1->0 then 0->1
new,steady8s1,model_6,1787638139.7558072,1787638170.7669048,31.01,0->1 then 1->0
new,steady8s1,model_6,1787638170.7669048,1787638201.2663045,30.5,1->0 then 0->1
new,steady8s1,model_6,1787638201.2663045,1787638233.1065848,31.84,0->1 then 1->0
new,steady8s1,model_6,1787638233.1065848,1787638551.612842,318.51,1->0 then 0->1
new,steady8s1,model_5,1787638293.4703722,1787638348.9173431,55.45,0->1 then 1->0
new,steady8s2,model_4,1787638948.6957302,1787638978.9380603,30.24,0->1 then 1->0
new,steady8s2,model_4,1787638978.9380603,1787639060.500512,81.56,1->0 then 0->1
new,steady8s2,model_4,1787639060.500512,1787639095.950215,35.45,0->1 then 1->0
new,steady8s2,model_4,1787639095.950215,1787639163.2402213,67.29,1->0 then 0->1
new,steady8s2,model_4,1787639163.2402213,1787639193.7207057,30.48,0->1 then 1->0
new,steady10s1,model_6,1787639371.264318,1787639402.394636,31.13,1->0 then 0->1
new,steady10s1,model_6,1787639402.394636,1787639516.9842134,114.59,0->1 then 1->0
new,steady10s1,model_4,1787639456.2400613,1787639486.7560291,30.52,0->1 then 1->0
new,steady10s1,model_4,1787639486.7560291,1787639614.688559,127.93,1->0 then 0->1
new,steady10s1,model_6,1787639516.9842134,1787639551.0936306,34.11,1->0 then 0->1
new,steady10s1,model_4,1787639614.688559,1787639677.303264,62.61,0->1 then 1->0
new,steady10s2,model_4,1787639977.5570076,1787640032.7640445,55.21,0->1 then 1->0
new,steady10s2,model_4,1787640032.7640445,1787640290.749755,257.99,1->0 then 0->1
new,steady10s2,model_4,1787640290.749755,1787640321.1165743,30.37,0->1 then 1->0
