arm,cond,span_s,cycles,unique_plans,plan_changes,plan_changes_per_min,plan_lifetime_p50_s,plan_lifetime_p95_s,migrations,migrations_per_min,ping_pong,ping_pong_per_min,consec_identical,consec_1model,consec_2model,consec_more,cooldown_wait_same_plan_cycles,cooldown_wait_new_plan_cycles
old,steady8s1,429.6,85,8,22,3.07,5.25,46.75,9,1.26,6,0.84,62,5,17,0,6,34
old,steady8s2,432.4,86,3,26,3.61,8.33,58.2,10,1.39,8,1.11,59,10,16,0,4,26
old,steady10s1,429.2,84,5,21,2.94,10.08,39.22,10,1.4,7,0.98,62,1,19,1,14,25
old,steady10s2,430.0,86,3,14,1.95,10.32,102.65,6,0.84,5,0.7,71,10,4,0,2,10
new,steady8s1,478.0,95,5,12,1.51,12.6,145.3,9,1.13,6,0.75,82,4,8,0,10,20
new,steady8s2,430.9,86,3,10,1.39,23.49,138.92,6,0.84,5,0.7,75,4,6,0,1,10
new,steady10s1,432.9,84,6,17,2.36,10.05,43.92,10,1.39,6,0.83,66,1,16,0,17,22
new,steady10s2,430.6,86,2,4,0.56,30.13,227.57,4,0.56,3,0.42,81,4,0,0,0,5
