Real trace file: /root/Prism-final-regression-diagnosis/exp/results/baseline-readiness/raw/migration-D2/workload/bursty_r20_s1.pkl
[PRISM_DIRECT] 8423 requests, span 419.9s
Starting TP benchmark: paper-faithful-v6_bursty_rate20_seed1
Generated 8423 requests
Request model_2#55 arrives at 1697709.542717182, sleeping for 0.004243488656356931 seconds
Request model_2#56 arrives at 1697709.547441455, sleeping for 0.013726167380809784 seconds
Request model_2#57 arrives at 1697709.562159386, sleeping for 0.2696527549996972 seconds
Request model_2#58 arrives at 1697709.832867666, sleeping for 0.053901582257822156 seconds
Request model_6#6 arrives at 1697709.887547512, sleeping for 0.01994374906644225 seconds
Request model_2#59 arrives at 1697709.908568396, sleeping for 0.0032030849251896143 seconds
Request model_2#60 arrives at 1697709.912548123, sleeping for 0.041718579130247235 seconds
Request model_2#61 arrives at 1697709.954502922, sleeping for 0.025115323485806584 seconds
Request model_2#62 arrives at 1697709.980204518, sleeping for 0.022878704592585564 seconds
Request model_3#8 arrives at 1697710.003898391, sleeping for 0.09911381197161973 seconds
Request model_2#63 arrives at 1697710.103654966, sleeping for 0.011695640860125422 seconds
Request model_3#9 arrives at 1697710.11576326, sleeping for 0.04002080322243273 seconds
Request model_2#64 arrives at 1697710.156722191, sleeping for 0.0020838063210248947 seconds
Request model_5#7 arrives at 1697710.159453149, sleeping for 0.020384405739605427 seconds
Request model_2#65 arrives at 1697710.180438694, sleeping for 0.07831382192671299 seconds
Request model_5#8 arrives at 1697710.259420296, sleeping for 0.014196534641087055 seconds
Request model_2#66 arrives at 1697710.274121787, sleeping for 0.06555460207164288 seconds
Request model_2#67 arrives at 1697710.340829326, sleeping for 0.12645518244244158 seconds
Request model_2#68 arrives at 1697710.467580647, sleeping for 0.11550308228470385 seconds
Request model_2#69 arrives at 1697710.584011807, sleeping for 0.21946884016506374 seconds
Request model_2#70 arrives at 1697710.804175309, sleeping for 0.04048021091148257 seconds
Request model_6#7 arrives at 1697710.844917409, sleeping for 0.027258978690952063 seconds
Request model_2#71 arrives at 1697710.872626749, sleeping for 0.01589376968331635 seconds
Request model_2#72 arrives at 1697710.889346414, sleeping for 0.23577727214433253 seconds
Request model_2#73 arrives at 1697711.12598922, sleeping for 0.010773217538371682 seconds
Request model_2#74 arrives at 1697711.137788651, sleeping for 0.03247934253886342 seconds
Request model_2#75 arrives at 1697711.170490836, sleeping for 0.04705342999659479 seconds
Request model_2#76 arrives at 1697711.218182764, sleeping for 0.02742721908725798 seconds
Request model_3#10 arrives at 1697711.245872294, sleeping for 0.042487254831939936 seconds
Request model_2#77 arrives at 1697711.288595717, sleeping for 0.059111406560987234 seconds
Request model_2#78 arrives at 1697711.349582967, sleeping for 0.013069974491372705 seconds
Request model_2#79 arrives at 1697711.364280518, sleeping for 0.07902270508930087 seconds
Request model_2#80 arrives at 1697711.444245057, sleeping for 0.0386409645434469 seconds
Request model_2#81 arrives at 1697711.48399017, sleeping for 0.05118658556602895 seconds
Request model_6#8 arrives at 1697711.535713535, sleeping for 0.0211918200366199 seconds
Request model_2#82 arrives at 1697711.557436384, sleeping for 0.012671672040596604 seconds
Request model_2#83 arrives at 1697711.572182426, sleeping for 0.01730889524333179 seconds
Request model_2#84 arrives at 1697711.589991138, sleeping for 0.06201118044555187 seconds
Request model_2#85 arrives at 1697711.653596435, sleeping for 0.07055955682881176 seconds
Request model_2#86 arrives at 1697711.724365311, sleeping for 0.024782689986750484 seconds
Request model_2#87 arrives at 1697711.750079098, sleeping for 0.024876019917428493 seconds
Request model_3#11 arrives at 1697711.776070307, sleeping for 0.09115751530043781 seconds
Request model_2#88 arrives at 1697711.867791227, sleeping for 0.08703883201815188 seconds
Request model_3#12 arrives at 1697711.955942042, sleeping for 0 seconds
Request model_2#89 arrives at 1697711.956431606, sleeping for 0.020207117777317762 seconds
Request model_6#9 arrives at 1697711.977625751, sleeping for 0.032912279246374965 seconds
Request model_2#90 arrives at 1697712.011593475, sleeping for 0.018916195956990123 seconds
Request model_2#91 arrives at 1697712.031696543, sleeping for 0.04515612870454788 seconds
Request model_2#92 arrives at 1697712.077333416, sleeping for 0.0923426894005388 seconds
Request model_2#93 arrives at 1697712.170413146, sleeping for 0.05207066028378904 seconds
Request model_2#94 arrives at 1697712.224147685, sleeping for 0.08217372605577111 seconds
Request model_6#10 arrives at 1697712.307380157, sleeping for 0.022621141280978918 seconds
Request model_2#95 arrives at 1697712.33113446, sleeping for 0.017407163744792342 seconds
Request model_5#9 arrives at 1697712.349088364, sleeping for 0.033836883027106524 seconds
Request model_3#13 arrives at 1697712.383839892, sleeping for 0.04801246407441795 seconds
Request model_3#14 arrives at 1697712.432563867, sleeping for 0.0683936020359397 seconds
Request model_3#15 arrives at 1697712.50142919, sleeping for 0.15016782307066023 seconds
Request model_2#96 arrives at 1697712.65276934, sleeping for 0.05503900977782905 seconds
Request model_2#97 arrives at 1697712.708858245, sleeping for 0.05673405481502414 seconds
Request model_2#98 arrives at 1697712.766421591, sleeping for 0.011983102187514305 seconds
Request model_5#10 arrives at 1697712.779136108, sleeping for 0.04378531104885042 seconds
Request model_2#99 arrives at 1697712.823318952, sleeping for 0.0004383181221783161 seconds
Request model_2#100 arrives at 1697712.823921436, sleeping for 0.001350779552012682 seconds
Request model_3#16 arrives at 1697712.825581697, sleeping for 0.11004184419289231 seconds
Request model_2#101 arrives at 1697712.936493359, sleeping for 0.018073964165523648 seconds
Request model_5#11 arrives at 1697712.956226625, sleeping for 0.017390917288139462 seconds
Request model_2#102 arrives at 1697712.973931177, sleeping for 0.017841683235019445 seconds
Request model_2#103 arrives at 1697712.992797927, sleeping for 0.022284508449956775 seconds
Request model_2#104 arrives at 1697713.015499582, sleeping for 0.001528048887848854 seconds
Request model_2#105 arrives at 1697713.017229774, sleeping for 0.047576896380633116 seconds
Request model_2#106 arrives at 1697713.065946259, sleeping for 0.03212884603999555 seconds
Request model_2#107 arrives at 1697713.098667864, sleeping for 0.007868029410019517 seconds
Request model_2#108 arrives at 1697713.107389333, sleeping for 0.0413312753662467 seconds
Request model_2#109 arrives at 1697713.148905209, sleeping for 0.11666147178038955 seconds
Request model_2#110 arrives at 1697713.266316436, sleeping for 0.003686870215460658 seconds
Request model_6#11 arrives at 1697713.271095018, sleeping for 0.07838624413125217 seconds
Request model_5#12 arrives at 1697713.350336523, sleeping for 0.11945553170517087 seconds
Request model_2#111 arrives at 1697713.471656056, sleeping for 0.006113697309046984 seconds
Request model_6#12 arrives at 1697713.478414103, sleeping for 0.025497643742710352 seconds
Request model_2#112 arrives at 1697713.504902845, sleeping for 0.04437889065593481 seconds
Request model_5#13 arrives at 1697713.549554092, sleeping for 0.017452008556574583 seconds
Request model_2#113 arrives at 1697713.567265683, sleeping for 0.008135742973536253 seconds
Request model_5#14 arrives at 1697713.575972083, sleeping for 0.036602933425456285 seconds
Request model_2#114 arrives at 1697713.613619402, sleeping for 0.16041120421141386 seconds
Request model_2#115 arrives at 1697713.774454787, sleeping for 0.01314720930531621 seconds
Request model_2#116 arrives at 1697713.787809359, sleeping for 0.06433250545524061 seconds
Request model_2#117 arrives at 1697713.852564224, sleeping for 0.29506232286803424 seconds
Request model_5#15 arrives at 1697714.148160155, sleeping for 0.0006925289053469896 seconds
Request model_2#118 arrives at 1697714.149986397, sleeping for 0.07543916301801801 seconds
Request model_2#119 arrives at 1697714.225723998, sleeping for 0.1426911917515099 seconds
Request model_2#120 arrives at 1697714.36864547, sleeping for 0.04730500397272408 seconds
Request model_3#17 arrives at 1697714.416471158, sleeping for 0.12076986790634692 seconds
Request model_2#121 arrives at 1697714.538408636, sleeping for 0.01490550278685987 seconds
Request model_2#122 arrives at 1697714.553734052, sleeping for 0.05472161807119846 seconds
Request model_2#123 arrives at 1697714.6088448, sleeping for 0.012342231348156929 seconds
Request model_2#124 arrives at 1697714.621556117, sleeping for 0.09217640687711537 seconds
Request model_5#16 arrives at 1697714.714599937, sleeping for 0.0015184436924755573 seconds
Request model_2#125 arrives at 1697714.716316538, sleeping for 0.0033913739025592804 seconds
Request model_2#126 arrives at 1697714.720578328, sleeping for 0.12238735775463283 seconds
Request model_3#18 arrives at 1697714.843619683, sleeping for 0.026388505706563592 seconds
Request model_2#127 arrives at 1697714.871236743, sleeping for 0.03741444670595229 seconds
Request model_2#128 arrives at 1697714.909061243, sleeping for 0.0008153198286890984 seconds
Request model_2#129 arrives at 1697714.910781345, sleeping for 0.0019537319894880056 seconds
Request model_6#13 arrives at 1697714.913478263, sleeping for 0.087496274150908 seconds
Request model_2#130 arrives at 1697715.002229313, sleeping for 0.02962469053454697 seconds
Request model_2#131 arrives at 1697715.032088828, sleeping for 0.012961152009665966 seconds
Request model_2#132 arrives at 1697715.046804469, sleeping for 0.020448168506845832 seconds
Request model_2#133 arrives at 1697715.067942674, sleeping for 0.005817756289616227 seconds
Request model_3#19 arrives at 1697715.074676181, sleeping for 0.011298021534457803 seconds
Request model_2#134 arrives at 1697715.086431782, sleeping for 0.020630697021260858 seconds
Request model_2#135 arrives at 1697715.10808096, sleeping for 0.23263075691647828 seconds
Request model_3#20 arrives at 1697715.341585455, sleeping for 0.020424469374120235 seconds
Request model_3#21 arrives at 1697715.362418468, sleeping for 0.03301520738750696 seconds
Request model_2#136 arrives at 1697715.396407381, sleeping for 0.00042674969881772995 seconds
Request model_2#137 arrives at 1697715.397133156, sleeping for 0.0017533940263092518 seconds
Request model_2#138 arrives at 1697715.399955096, sleeping for 0.020926264580339193 seconds
Request model_2#139 arrives at 1697715.421172792, sleeping for 0.06125316978432238 seconds
Request model_2#140 arrives at 1697715.483401299, sleeping for 0.020406019408255816 seconds
Request model_2#141 arrives at 1697715.504392064, sleeping for 0.18877740972675383 seconds
Request model_2#142 arrives at 1697715.693576033, sleeping for 0.04217491461895406 seconds
Request model_2#143 arrives at 1697715.736638849, sleeping for 0.027966871624812484 seconds
Request model_3#22 arrives at 1697715.765529598, sleeping for 0.05991298635490239 seconds
Request model_2#144 arrives at 1697715.826290105, sleeping for 0.07245571236126125 seconds
Request model_2#145 arrives at 1697715.898994755, sleeping for 0.005651203449815512 seconds
Request model_5#17 arrives at 1697715.905751631, sleeping for 0.042861116817221045 seconds
Request model_3#23 arrives at 1697715.949953975, sleeping for 0.17787760472856462 seconds
Request model_2#146 arrives at 1697716.128358581, sleeping for 0.11627989006228745 seconds
Request model_2#147 arrives at 1697716.245556686, sleeping for 0.021982005797326565 seconds
Request model_2#148 arrives at 1697716.269649192, sleeping for 0.13516990444622934 seconds
Request model_2#149 arrives at 1697716.405356774, sleeping for 0.03980155615136027 seconds
Request model_2#150 arrives at 1697716.446241385, sleeping for 0.005970853613689542 seconds
Request model_2#151 arrives at 1697716.452977541, sleeping for 0.024913637898862362 seconds
Request model_2#152 arrives at 1697716.478682578, sleeping for 0.016856177477166057 seconds
