experiment,arm,workload,rate,seed,path,exists,size_bytes,size_mb,classification,verification_status,trace_sha,runtime_hash,note
tau,prism-T5,bursty,10,3,exp/results/4het-tau-final/raw/prism-T5/bursty/rate_10/seed_3,True,52287966,49.9,AUTHORITATIVE_FINAL,PASS,e7afd7e09bac67809ac6ab6dd1fc732c631f90bbc2ba9945d135adf90370b8b0,49f47ebd7c75aecd,counted in final statistics
tau,prism-T5,bursty,10,4,exp/results/4het-tau-final/raw/prism-T5/bursty/rate_10/seed_4,True,51935373,49.5,AUTHORITATIVE_FINAL,PASS,c913720ee52bb33408ca6e9da5e414d1904922114ce88d3d223a729ded62f220,49f47ebd7c75aecd,counted in final statistics
many_model,prototype,bursty,2,7,exp/results/many-model-final/raw/prototype/bursty/rate_2/seed_7,True,13337880,12.7,AUTHORITATIVE_FINAL,PASS,29754202a3e35afa21f6a3624254d41d9492f5d789931100c25d01aa7af5fc0e,49f47ebd7c75aecd,counted in final statistics
many_model,prototype,bursty,2,8,exp/results/many-model-final/raw/prototype/bursty/rate_2/seed_8,True,13837574,13.2,AUTHORITATIVE_FINAL,PASS,186fb2c07b22958096d6ddaad501d4a829a0a49297bb66dceb3a731ea49d8f20,49f47ebd7c75aecd,counted in final statistics
many_model,prototype,bursty,4,7,exp/results/many-model-final/raw/prototype/bursty/rate_4/seed_7,True,24998623,23.8,AUTHORITATIVE_FINAL,PASS,712a1f1dc04fa7a6a108f3dfc5f0d16138c9f7400d6c5b34e77b0f124b984512,49f47ebd7c75aecd,counted in final statistics
many_model,prototype,bursty,4,8,exp/results/many-model-final/raw/prototype/bursty/rate_4/seed_8,True,25526978,24.3,AUTHORITATIVE_FINAL,PASS,b80795b59a75cb8cf9c12a833c710f291b797a0780323c9fe9e17f9d34be07bd,49f47ebd7c75aecd,counted in final statistics
many_model,prototype,bursty,6,7,exp/results/many-model-final/raw/prototype/bursty/rate_6/seed_7,True,35784537,34.1,AUTHORITATIVE_FINAL,PASS,14454c567878afb689ccc4ca9c5bcdea05475146cbf639726600953771c3e415,49f47ebd7c75aecd,counted in final statistics
many_model,prototype,bursty,6,8,exp/results/many-model-final/raw/prototype/bursty/rate_6/seed_8,True,36143564,34.5,AUTHORITATIVE_FINAL,PASS,1a2461795fae5453292400f2febd5846d9dd5b474031b7c81c8eb77dbf74c9d0,49f47ebd7c75aecd,counted in final statistics
many_model,prototype,bursty,8,7,exp/results/many-model-final/raw/prototype/bursty/rate_8/seed_7,True,46470006,44.3,AUTHORITATIVE_FINAL,PASS,a734fd700713eb509361820ad177d2e565fb3016746269e94ea3a1d9311c230a,49f47ebd7c75aecd,counted in final statistics
many_model,prototype,bursty,8,8,exp/results/many-model-final/raw/prototype/bursty/rate_8/seed_8,True,47397815,45.2,AUTHORITATIVE_FINAL,PASS,d902cb7cda27a940005a71d9a8f792214f78766f44c50ea00e0096f7603042e5,49f47ebd7c75aecd,counted in final statistics
many_model,prototype,bursty,10,7,exp/results/many-model-final/raw/prototype/bursty/rate_10/seed_7,True,56447173,53.8,AUTHORITATIVE_FINAL,PASS,b6b540a4fdd129fb9529c2693aaf465c08f3fcb347409e098686c9fd82c36c46,49f47ebd7c75aecd,counted in final statistics
many_model,prototype,bursty,10,8,exp/results/many-model-final/raw/prototype/bursty/rate_10/seed_8,True,57071461,54.4,AUTHORITATIVE_FINAL,PASS,c76d4cda6d50b5cdf7e96da37ca5294b035a55b938db4c669750c95aad338b04,49f47ebd7c75aecd,counted in final statistics
many_model,prism,bursty,2,7,exp/results/many-model-final/raw/prism/bursty/rate_2/seed_7,True,15478144,14.8,AUTHORITATIVE_FINAL,PASS,29754202a3e35afa21f6a3624254d41d9492f5d789931100c25d01aa7af5fc0e,49f47ebd7c75aecd,counted in final statistics
many_model,prism,bursty,2,8,exp/results/many-model-final/raw/prism/bursty/rate_2/seed_8,True,15956351,15.2,AUTHORITATIVE_FINAL,PASS,186fb2c07b22958096d6ddaad501d4a829a0a49297bb66dceb3a731ea49d8f20,49f47ebd7c75aecd,counted in final statistics
many_model,prism,bursty,4,7,exp/results/many-model-final/raw/prism/bursty/rate_4/seed_7,True,28819465,27.5,AUTHORITATIVE_FINAL,PASS,712a1f1dc04fa7a6a108f3dfc5f0d16138c9f7400d6c5b34e77b0f124b984512,49f47ebd7c75aecd,counted in final statistics
many_model,prism,bursty,4,8,exp/results/many-model-final/raw/prism/bursty/rate_4/seed_8,True,29326883,28.0,AUTHORITATIVE_FINAL,PASS,b80795b59a75cb8cf9c12a833c710f291b797a0780323c9fe9e17f9d34be07bd,49f47ebd7c75aecd,counted in final statistics
many_model,prism,bursty,6,7,exp/results/many-model-final/raw/prism/bursty/rate_6/seed_7,True,41179712,39.3,AUTHORITATIVE_FINAL,PASS,14454c567878afb689ccc4ca9c5bcdea05475146cbf639726600953771c3e415,49f47ebd7c75aecd,counted in final statistics
many_model,prism,bursty,6,8,exp/results/many-model-final/raw/prism/bursty/rate_6/seed_8,True,41624827,39.7,AUTHORITATIVE_FINAL,PASS,1a2461795fae5453292400f2febd5846d9dd5b474031b7c81c8eb77dbf74c9d0,49f47ebd7c75aecd,counted in final statistics
many_model,prism,bursty,8,7,exp/results/many-model-final/raw/prism/bursty/rate_8/seed_7,True,53462546,51.0,AUTHORITATIVE_FINAL,PASS,a734fd700713eb509361820ad177d2e565fb3016746269e94ea3a1d9311c230a,49f47ebd7c75aecd,counted in final statistics
